"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","","",21,3
"2","A New Supplemental Poverty Measure for the United States","I3",5,4
"3","Advances in International Macroeconomics","F4",10,4
"4","Advances in Public Policy Analysis and Race/Ethnicity","J1",11,6
"5","AEA Committee on the Status of Minority Groups in the Economics Profession--Dissertation Session","Y9",5,5
"6","AFA/AFE Panel - Innovation and Finance","G3",9,3
"7","Africa Development Issues","O1",8,6
"8","Agglomeration and Entrepreneurship","O4",10,4
"9","Agricultural Export Restrictions","Q1",5,3
"10","Agricultural Extension, Transactions Costs and Supply Response","Q1",13,3
"11","AILR/LERA Best Papers Session","J3",6,5
"12","Analyst and Stock Price Information","G1",14,4
"13","Andrew Brimmer Policy Forum","E5",5,5
"14","Anomalies","G1",9,3
"15","Anomalies - Individuals or Institutions","G1",6,3
"16","Applications of Semiparametric and Nonparametric Analysis","C1",11,5
"17","Appraisal and Depreciation","R3",9,4
"18","Are For-Profit Healthcare Providers and Payers Different? Recent Research and Policy Implications","I1",7,3
"19","Asset Prices","E2",12,5
"20","Asset Pricing Theory","G1",12,4
"21","Auction Theory","D4",7,3
"22","Bailouts, Incentives, and Regulation","E6",8,4
"23","Banking Regulation and Risk Sharing","G2",9,5
"24","Bankruptcy and Distress","G3",12,4
"25","Banks and the Macroeconomy: Transmission Channels","E2",9,4
"26","Banks, Credit Constraints and International Business Cycles","F3",9,4
"27","Bargaining and Competition in Health Care Markets","A1",6,3
"28","Behavioral Corporate Finance - The Role of CEO Traits and Biases","G3",7,3
"29","Behavioral Economics and Consumer Regulation","D0",7,3
"30","Behavioral Finance - Individual Behavior","G1",8,4
"31","Behavioral Finance: Corporate","G3",6,3
"32","Behind the Scenes: Current Research on Unions as Organizations","J5",6,3
"33","Beyond GDP, Beyond Sarkozy? Towards A National Success Indicator","H8",4,4
"34","Board of Directors","G3",12,4
"35","Borrowing and Lending","G2",7,4
"36","Broadband and the Economy","L5",6,3
"37","Can Fiscal Adjustments Contribute to Solve Global Imbalances?","F4",7,4
"38","Capital Structure","G3",5,3
"39","Capital Structure - Beyond Debt and Equity","G3",8,4
"40","Capital: Human and Otherwise","N7",6,4
"41","Caring Labor and the Macroeconomy","J4",7,4
"42","Causal Effects of Vietnam-Era Military Service on Health and Welfare","I1",9,4
"43","Chapter-Advisor Session","I2",9,4
"44","Chatting, Bonding, Bribing - How Social Interaction Affects Other-Regarding Behavior","D6",9,4
"45","Choice Theory","D0",7,4
"46","City Size and Land Development","R2",9,4
"47","Claiming and Eligibility for Social Insurance Programs Using Administrative Data","H3",10,4
"48","Climate Change Policy Design","Q5",5,3
"49","Climate Mitigation and Adaptation","Q4",9,4
"50","Community Unionism: A Cross-National Comparative Analysis","J5",4,4
"51","Competition, Fares and Quality of Service in the Airline Industry","L9",9,4
"52","Competitiveness and the Environment","Q5",8,4
"53","Computational Macro and Monetary Economics","E3",8,3
"54","Conflict: Beginnings, Ends, and Aftermaths","O1",6,4
"55","Conglomerates and Alliances: New Perspectives","G3",9,4
"56","Consumer Demand and Conservation","Q3",9,5
"57","Consumer Financial Protection","K2",11,4
"58","Consumer Responses to Financial Market Incentives","D1",11,4
"59","Contests: Theory and Experiments","D7",6,4
"60","Continuous Time Econometrics","C1",9,4
"61","Contract Theory, Political Economy","D7",9,4
"62","Contributed Papers in Consumer Hospital Choice, Health Expenditures in China, and Hospital Outpatient Payment Effects","I1",8,3
"63","Cooperation, Reciprocity and Altruism in Developing Countries: The Household, the Village, and Beyond","O2",6,3
"64","Corporate Finance Theory","G3",7,3
"65","Corporate Governance","G3",6,3
"66","Corporate Governance - Theory","G3",6,3
"67","Corporate Governance, Ownership, and Activism","G3",6,3
"68","Correlation and Contagion in Financial Markets","G0",6,3
"69","Country-Specific Studies on Aspects of Economic Development in Africa","O1",11,6
"70","Creating a New Balance in the Corporate World: Promoting Stable Employment and Long-Term Growth","L2",4,4
"71","Credit Ratings and the Financial Crisis","G2",10,4
"72","Crisis and Capital Structure Interventions","G1",6,3
"73","Critical Issues in National Climate Policy Design","Q5",7,4
"74","Crossing the United States Border","J1",9,5
"75","Culture, Institutions and Development","Z1",5,4
"76","Decentralization, Local Governance and Public Goods Provision in Developing Countries","H7",7,4
"77","Demand for Liquidity","E4",8,4
"78","Design and Incentive Effects of Certification and Disclosure Programs","L5",11,4
"79","Determinants and Consequences of Human Capital Investment","J2",9,3
"80","Determinants of Corporate Investment and Innovation","G3",9,4
"81","Determinants of Derivatives' Returns","G1",9,4
"82","Determinants of M&A Activity","G3",7,3
"83","Development I: Household Choices","O1",7,4
"84","Development II: Industrial Organization","O1",11,4
"85","Discontinuity and Heterogeneity in Data","C2",9,4
"86","Disentangling the Effects of History, Culture, and Institutions","O1",4,4
"87","Dynamic Games","C7",9,4
"88","Dynamic Macroeconomics, Finance, and Monetary Policy","E2",11,5
"89","Dynamic Models of Asset Pricing","G1",6,3
"90","Econometric Analysis of Complex Data","C8",7,4
"91","Econometric Inference in Inequality based models","C1",8,4
"92","Econometric Methods","C0",8,4
"93","Econometric Methods in Industrial Organization","L1",12,4
"94","Econometric Theory for Decision-making","C1",6,4
"95","Economic Analysis of Illegal and Legal Immigration","F2",9,4
"96","Economic Development and Institutional Change","O1",4,4
"97","Economic History","N4",13,5
"98","Economic Impacts of the September 11 Attacks: A Ten-Year Retrospective","H8",8,4
"99","Economic Policy Responses to Climate Change","Q5",10,4
"100","Economic Policy, Productivity and Growth","O4",9,5
"101","Economic Theory Methods","C6",7,4
"102","Economic Underpinnings of Recycling and Waste Disposal Policies","Q5",6,3
"103","Economics as a Moral Science","A2",4,4
"104","Economics of Ancient Societies","N4",6,5
"105","Economics of Education","I2",12,5
"106","Economics of Immigration","J2",7,4
"107","Economics of Race, Health, and Energy: Implications for African American Economic Welfare","I1",8,6
"108","Economics of the Arts","Z1",9,4
"109","Economics of the Automobile Sector","L9",11,4
"110","Economies of the GCC Countries: Oil, Stocks, and Sustainability","O5",9,5
"111","Education in Developing Countries: Results from Randomized Control Trials in China","O1",10,3
"112","Education Production Functions: Inputs and Outputs","I2",7,4
"113","Effects of Institutions on Wages","J5",10,6
"114","Efficient Public Finance in the Institutional Framework","H5",6,5
"115","Emerging Models of Employment Relationships in China: Challenges and Opportunities","J8",6,4
"116","Empirical IO","L1",9,4
"117","Empirical IO 1","L0",8,4
"118","Empirical IO 2","L0",10,4
"119","Empirical Issues in Financial Intermediation","G2",10,3
"120","Empirical Links Between Equity and Credit Markets","G1",8,3
"121","Empirical Macroeconomics","E3",8,4
"122","Empirical Macroeconomics 2","E4",9,4
"123","Empirical Methods in Health Economics","I1",10,4
"124","Empirics of Growth","O4",13,4
"125","Employee Ownership and Shared Capitalism: New Directions and Debates for the 21st Century","J5",5,5
"126","Energy Conservation and Electricity Demand","Q4",5,3
"127","Entrepreneurship and Job Creation","J2",8,4
"128","Entry, Exit and Pricing","L8",9,5
"129","Environmental Policy Evaluation","Q5",6,4
"130","Equity and Medical Utilization","I1",7,3
"131","Ethnicity, Identity, and the Labor Market","J1",15,4
"132","European Economic Association Lecture","O3",2,1
"133","Evaluating Empirical Tools for Horizontal Merger Analysis","L4",6,3
"134","Evidence on Asset Price Bubbles","E3",7,3
"135","Exchange Rate Modelling","F3",7,4
"136","Exchange Rates","F3",10,5
"137","Executive Compensation and Turnover","G3",9,3
"138","Experimenting with Organizations","D2",10,4
"139","Experiments in Firms","L2",10,4
"140","Expertise, Strategic Sophistication, and Strategic Behavior","C9",10,4
"141","Explaining and Taming Financial Crises and Business Cycles","E6",6,5
"142","Explorations in Race and Gender","J7",5,4
"143","Export Entry and Growth","F1",14,4
"144","Externalities and Housing","R5",8,4
"145","Family Economics: New Results on Mothers' Labor Market Success and Children's Long-Run Wellbeing","J1",11,4
"146","Field Experiments in Economics: The Theory, The Firm, and The Policymaker","C9",9,3
"147","Field Experiments on Financial Decisions Among the Poor","D1",10,4
"148","Financial Crises and Macroeconomics (AEJ-Macro Session)","E3",6,3
"149","Financial Crises and Systemic Runs","G1",6,3
"150","Financial Crises, Systemic Risk and Macroprudential Regulation","E6",5,3
"151","Financial Crisis","G1",8,4
"152","Financial Econometrics","G1",9,4
"153","Financial Frictions and Asset Pricing","G0",7,3
"154","Financial Innovation and Securitization","G2",14,4
"155","Financial Institutions and Risk Taking","G2",10,4
"156","Financial Institutions-Theory","G2",9,4
"157","Financial Integration and International Portfolios","F3",9,4
"158","Financial Market Reactions to News","G1",12,5
"159","Financial Markets and State and Local Government Borrowing","H7",7,4
"160","Financial Regulation and Policy","G1",11,4
"161","Firms in the International Economy","F4",7,3
"162","Fiscal Interventions","E6",10,5
"163","Fiscal Limits","E6",7,4
"164","Five Unrelated but Interesting Papers","??",13,5
"165","Forensic Economics I","K4",4,3
"166","Forensic Economics III","K4",8,3
"167","Forensic Economics IV","K4",6,3
"168","Frontier Issues in Utility Regulation","Q4",12,5
"169","Frontiers of Feminist Economics","B5",9,4
"170","Frontiers of Matching Theory","C7",14,4
"171","Frontiers of Productivity and Output Measurement","O4",10,3
"172","Game Theory and Auctions","C7",7,5
"173","Gender and Labor Markets","J7",5,4
"174","Gender and Professional Work","J7",5,3
"175","Gender and Social Policy","J7",10,4
"176","Gender and the Economics of the Household and Family","J4",6,4
"177","Gender Constructions","J7",8,4
"178","Gender Differences","J7",11,5
"179","Gender in Asia","O1",7,4
"180","Gender, Labor and the Global Economy","J7",5,4
"181","Global Financial Contagion","F3",9,4
"182","Global Production, Sourcing and FDI: Causes and Effects","F2",12,4
"183","Global Real and Financial Imbalances","J3",5,4
"184","Global Rebalancing and Asia","F4",7,4
"185","Global Trade Dynamics in an Integrated World","F1",11,4
"186","Going Green: Design Efficiency and Real Estate Value","Q5",9,4
"187","Graduate-Student Session","H2",4,4
"188","Groups in Economic Decision Making","C9",9,4
"189","Growing New Ph.D. Economists","A2",3,1
"190","Health Care Reform Issues","I1",9,3
