session_title,paper_title,author
 Richard T. Ely Lecture,Inequality at Birth: Some Causes and Consequences,[' Janet Currie ']
 Recessions and Retirement,"Recessions, Retirement, and Social Security","[' Courtney C. Coile ', ' Phillip B. Levine ']"
 Recessions and Retirement,What Explains Changes in Retirement Plans during the Great Recession?,"[' Gopi Shah Goda', ' John B. Shoven ', ' Sita Nataraj Slavov ']"
 Recessions and Retirement,Time to Retire? The Effect of State Fiscal Policies on Retirement Decisions,"[' Tami Gurley-Calvez ', ' Brian Hill ']"
 Recessions and Retirement,Crash and Wait? The Impact of the Great Recession on the Retirement Plans of Older Americans,[' Brooke Helppie McFall ']
 Evaluating Empirical Tools for Horizontal Merger Analysis,Does Concentration Matter? Measurement of Petroleum Merger Price Effects,"[' Daniel Hosken', ' Louis Silvia ', ' Christopher Taylor ']"
 Evaluating Empirical Tools for Horizontal Merger Analysis,More Evidence on the Performance of Merger Simulations,[' Matthew C. Weinberg ']
 Evaluating Empirical Tools for Horizontal Merger Analysis,Challenges in Merger Simulation Analysis,"[' Christopher R. Knittel ', ' Konstantinos Metaxoglou ']"
 Economic Underpinnings of Recycling and Waste Disposal Policies,The Effect of Bottle Laws on Income: New Empirical Results,[' Bevin Ashenmiller ']
 Economic Underpinnings of Recycling and Waste Disposal Policies,"Promoting Recycling: Private Values, Social Norms, and Economic Incentives","[' W. Kip Viscusi', ' Joel Huber ', ' Jason Bell ']"
 Economic Underpinnings of Recycling and Waste Disposal Policies,The Environmental Consequences of Global Reuse,"[' Thomas Kinnaman ', ' Hide-Fumi Yokoo ']"
 Energy Conservation and Electricity Demand,The Diffusion of Energy Efficiency in Building,"[' Nils Kok', ' Marquise McGraw ', ' John M. Quigley ']"
 Energy Conservation and Electricity Demand,Do Residential Customers Respond to Hourly Prices? Evidence from a Dynamic Pricing Experiment,[' Frank A. Wolak ']
 Energy Conservation and Electricity Demand,Electricity Consumption and Durable Housing: Understanding Cohort Effects,"[' Dora L. Costa ', ' Matthew E. Kahn ']"
 Economics of the Automobile Sector,Is an Automaker's Road to Bankruptcy Paved with Customers' Beliefs?,"[' Ali Hortaçsu', ' Gregor Matvos', ' Chaehee Shin', ' Chad Syverson ', ' Sriram Venkataraman ']"
 Economics of the Automobile Sector,Consumers' Perceptions and Misperceptions of Energy Costs,[' Hunt Allcott ']
 Economics of the Automobile Sector,"Fuel Economy, Car Class Mix, and Safety",[' Mark R. Jacobsen ']
 Economics of the Automobile Sector,Forecasting Gasoline Prices Using Consumer Surveys,"[' Soren T. Anderson', ' Ryan Kellogg', ' James M. Sallee ', ' Richard T. Curtin ']"
 Credit Ratings and the Financial Crisis,Credit Ratings and Security Prices in the Subprime MBS Market,"[' Adam Ashcraft', ' Paul Goldsmith-Pinkham', ' Peter Hull ', ' James Vickery ']"
 Credit Ratings and the Financial Crisis,Credit Ratings Accuracy and Analyst Incentives,"[' Heski Bar-Isaac ', ' Joel Shapiro ']"
 Credit Ratings and the Financial Crisis,Did Credit Rating Agencies Make Unbiased Assumptions on CDOs?,"[' John M. Griffin ', ' Dragon Yongjun Tang ']"
 Credit Ratings and the Financial Crisis,Credit Ratings and the Evolution of the Mortgage-Backed Securities Market,"[' Jie He', ' Jun Qian ', ' Philip E. Strahan ']"
 Topics in Wine Economics,Wine Retail Price Dispersion in the United States: Searching for Expensive Wines?,"[' David A. Jaeger ', ' Karl Storchmann ']"
 Topics in Wine Economics,"Climate, Grapevine Phenology, Wine Production, and Prices: Pauillac (1800-2009)","[' Jean-Michel Chevet', ' Sébastien Lecocq ', ' Michael Visser ']"
 Topics in Wine Economics,Isolating the Symbolic Implications of Employee Mobility: Price Increases after Hiring Winemakers from Prominent Wineries,"[' Peter W. Roberts', ' Mukti Khaire ', ' Christopher I. Rider ']"
 Topics in Wine Economics,What Is the Value of Terroir?,"[' Robin Cross', ' Andrew J. Plantinga ', ' Robert N. Stavins ']"
 Economics as a Moral Science,The Restoration of Welfare Economics,[' Anthony B. Atkinson ']
 Economics as a Moral Science,Markets and Morality,[' Jagdish Bhagwati ']
 Economics as a Moral Science,Economics: A Moral Inquiry with Religious Origins,[' Benjamin M. Friedman ']
 Economics as a Moral Science,Economists as Worldly Philosophers,"[' Robert J. Shiller ', ' Virginia M. Shiller ']"
 Growing New PhD Economists,"Completion Rates and Time-to-Degree in Economics PhD Programs (with comments by David Colander, N. Gregory Mankiw, Melissa P. McInerney, James M. Poterba)","[' Wendy A. Stock', ' John J. Siegfried ', ' T. Aldrich Finegan ']"
 Frontiers of Productivity and Output Measurement,A Bright Idea for Measuring Economic Growth,"[' Vernon Henderson', ' Adam Storeygard ', ' David N. Weil ']"
 Frontiers of Productivity and Output Measurement,Does Quality Adjustment Matter for Technologically Stable Products? An Application to the CPI for Food,"[' John S. Greenlees ', ' Robert McClell', '']"
