paper_title,author
"Inflation Persistence, the NAIRU, and the Great Recession",Mark W. Watson
The Natural Rate of Interest and Its Usefulness for Monetary Policy,Robert Barsky
The Future of US Economic Growth,John G. Fernald
Recovery from Financial Crises: Evidence from 100 Episodes,Carmen M. Reinhart
Why Has US Policy Uncertainty Risen since 1960?,Scott R. Baker
The Role of Policy in the Great Recession and the Weak Recovery,John B. Taylor
Housing Assignment with Restrictions: Theory and Evidence from Stanford University's Campus,Tim Landvoigt
Why Is Housing Finance Still Stuck in Such a Primitive Stage?,Robert J. Shiller
"The Mortgage Mess, the Press, and the Politics of Inattention",Andrew Caplin
Mandated Risk Retention in Mortgage Securitization: An Economist's View,Paul Willen
Is It Too Late to Bail Out the Troubled Countries in the Eurozone?,Juan Carlos Conesa
Renegotiation Policies in Sovereign Defaults,Cristina Arellano
Sovereign Debt Booms in Monetary Unions,Mark Aguiar
The Distribution of Wealth and the MPC: Implications of New European Data,Christopher D. Carroll
Measuring How Fiscal Shocks Affect Durable Spending in Recessions and Expansions,David Berger
A Tale of Two Stimulus Payments: 2001 versus 2008,Greg Kaplan
Consumption Inequality over the Last Half Century: Some Evidence Using the New PSID Consumption Measure,Orazio Attanasio
"Health, Human Capital, and Life Cycle Labor Supply",Charles Hokayem
Estimates of Annual Consumption Expenditures and Its Major Components in the PSID in Comparison to the CE,Patricia Andreski
The Intergenerational Correlation of Consumption Expenditures,Kerwin Kofi Charles
Is the United States Still a Land of Opportunity? Recent Trends in Intergenerational Mobility,Raj Chetty
How Risky Are Recessions for Top Earners?,Fatih Guvenen
Year-End Tax Planning of Top Management: Evidence from High-Frequency Payroll Data,Claus Thustrup Kreiner
Macro-perspective on Asset Grants Programs: Occupational and Wealth Mobility,Francisco J. Buera
Agricultural Productivity Differences across Countries,Douglas Gollin
The Aggregate Impact of Household Saving and Borrowing Constraints: Designing a Field Experiment in Uganda,Joseph P. Kaboski
A Reassessment of Real Business Cycle Theory,Ellen R. McGrattan
Can Intangible Capital Explain Cyclical Movements in the Labor Wedge?,François Gourio
The Value and Ownership of Intangible Capital,Andrea L. Eisfeldt
Weak Identification in Maximum Likelihood: A Question of Information,Isaiah Andrews
Physician Payment Reform and Hospital Referrals,Kate Ho
Estimation of an Education Production Function under Random Assignment with Selection,Eleanor Jawon Choi
Treatment Effects and Informative Missingness with an Application to Bank Recapitalization Programs,Angela Vossmeyer
The Determinants of the Macroeconomic Implications of Aging,Louise Sheiner
"Aging in Europe: Reforms, International Diversification, and Behavioral Reactions",Axel Börsch-Supan
The Growing Gap in Life Expectancy: Using the Future Elderly Model to Estimate Implications for Social Security and Medicare,Dana P. Goldman
Macroeconomic Consequences of Population Aging in the United States: Overview of a National Academy Report,Ronald D. Lee
Disparities in Wealth Accumulation and Loss from the Great Recession and Beyond,Signe-Mary McKernan
Gender and Business Outcomes of Black and Hispanic New Entrepreneurs in the United States,Marie T. Mora
Does the US Labor Market Reward International Experience?,Susan Pozo
Entrepreneurial Innovation: Killer Apps in the iPhone Ecosystem,Pai-Ling Yin
Learning from the Doers: Developing Country Lessons for Advanced Economy Growth,Anusha Chari
Forty Years of Leverage: What Have We Learned about Sovereign Debt?,Peter Boone
Demand and Defective Growth Patterns: The Role of the Tradable and Non-tradable Sectors in an Open Economy,Sandile Hlatshwayo
"Rainfall Forecasts, Weather, and Wages over the Agricultural Production Cycle",Mark R. Rosenzweig
Dynamics of Demand for Index Insurance: Evidence from a Long-Run Field Experiment,Shawn Cole
Bundling Health Insurance and Microfinance in India: There Cannot Be Adverse Selection If There Is No Demand,Abhijit Banerjee
"Together at Last: Trade Costs, Demand Structure, and Welfare",Monika Mrázová
Monopolistic Competition and Optimum Product Selection,Antonella Nocco
Welfare and Trade without Pareto,Keith Head
Missing Gains from Trade?,Marc J. Melitz
The Impact of Medicaid on Labor Market Activity and Program Participation: Evidence from the Oregon Health Insurance Experiment,Katherine Baicker
Disability Insurance and Health Insurance Reform: Evidence from Massachusetts,Nicole Maestas
The Accelerated Benefits Demonstration: Impacts on the Employment of Disability Insurance Beneficiaries,Michelle Stegman Bailey
"Unilateral Divorce, the Decreasing Gender Gap, and Married Women's Labor Force Participation",Raquel Fernández
Marry Your Like: Assortative Mating and Income Inequality,Jeremy Greenwood
Labor Supply and Household Dynamics,Maurizio Mazzocco
The Myth of Immigrant Women as Secondary Workers: Evidence from Canada,Alícia Adserà
All for One? Family Size and Children's Educational Distribution under Credit Constraints,Jeanne Lafortune
Are Female Supervisors More Female-Friendly?,Steven Bednar
Race and Marriage in the Labor Market: A Discrimination Correspondence Study in a Developing Country,Eva O. Arceo-Gomez
The Declining Fortunes of the Young since 2000,Paul Beaudry
Trends in Earnings Differentials across College Majors and the Changing Task Composition of Jobs,Joseph G. Altonji
"Return of the Solow Paradox? IT, Productivity, and Employment in US Manufacturing",Daron Acemoglu
"Ability-Tracking, Instructional Time, and Better Pedagogy: The Effect of Double-Dose Algebra on Student Achievement",Kalena E. Cortes
Using School Choice Lotteries to Test Measures of School Effectiveness,David J. Deming
Gender and Race Heterogeneity: The Impact of Students with Limited English on Native Students' Performance,Timothy M. Diette
Implementation Details for Frequent Batch Auctions: Slowing Down Markets to the Blink of an Eye,Eric Budish
Getting More Organs for Transplantation,Judd B. Kessler
