firstname,total_male,total_female,prob_male,prob_female,total_names,male_75,female_75,male_95,female_95
"MICHAEL",8564,10,.9988337,.0011663,8574,1,0,1,0
"DAVID",6164,8,.9987038,.0012962,6172,1,0,1,0
"JOHN",6478,13,.9979972,.0020028,6491,1,0,1,0
"JENNIFER",3,3933,.0007622,.9992378,3936,0,1,0,1
"CHRIS",3688,122,.967979,.032021,3810,1,0,1,0
"JESSICA",1,2965,.0003372,.9996628,2966,0,1,0,1
"LISA",2,3159,.0006327,.9993673,3161,0,1,0,1
"MIKE",3226,5,.9984525,.0015475,3231,1,0,1,0
"ANTHONY",3576,4,.9988827,.0011173,3580,1,0,1,0
"JAMES",3510,13,.9963099,.00369,3523,1,0,1,0
"ROBERT",3687,3,.999187,.000813,3690,1,0,1,0
"JASON",3064,2,.9993477,.0006523,3066,1,0,1,0
"BRIAN",2910,1,.9996565,.0003435,2911,1,0,1,0
"KEVIN",3022,5,.9983482,.0016518,3027,1,0,1,0
"ANDREW",2778,5,.9982034,.0017966,2783,1,0,1,0
"MICHELLE",2,2503,.0007984,.9992016,2505,0,1,0,1
"DANIEL",2802,6,.9978632,.0021368,2808,1,0,1,0
"MARIA",3,2725,.0010997,.9989003,2728,0,1,0,1
"NICOLE",2,2213,.0009029,.999097,2215,0,1,0,1
"ALEX",2203,205,.9148671,.0851329,2408,1,0,0,0
"MELISSA",2,2107,.0009483,.9990517,2109,0,1,0,1
"ERIC",2417,1,.9995865,.0004136,2418,1,0,1,0
"SARAH",3,1837,.0016304,.9983696,1840,0,1,0,1
"MARK",2561,5,.9980515,.0019486,2566,1,0,1,0
"JOE",2578,4,.9984508,.0015492,2582,1,0,1,0
"JOSEPH",2870,4,.9986082,.0013918,2874,1,0,1,0
"STEPHANIE",1,2043,.0004892,.9995108,2044,0,1,0,1
"PAUL",2526,0,1,0,2526,1,0,1,0
"PETER",2514,4,.9984114,.0015886,2518,1,0,1,0
"JONATHAN",2402,2,.999168,.0008319,2404,1,0,1,0
"CHRISTOPHER",2423,3,.9987634,.0012366,2426,1,0,1,0
"LAUREN",4,1554,.0025674,.9974326,1558,0,1,0,1
"LAURA",0,1822,0,1,1822,0,1,0,1
"ELIZABETH",0,2022,0,1,2022,0,1,0,1
"MATTHEW",2048,3,.9985373,.0014627,2051,1,0,1,0
"RICHARD",2395,0,1,0,2395,1,0,1,0
"MATT",1845,3,.9983766,.0016234,1848,1,0,1,0
"STEVEN",2202,2,.9990926,.0009074,2204,1,0,1,0
"MARY",2,2036,.0009814,.9990187,2038,0,1,0,1
"ADAM",1802,4,.9977852,.0022148,1806,1,0,1,0
"KAREN",5,1875,.0026596,.9973404,1880,0,1,0,1
"AMY",2,1429,.0013976,.9986024,1431,0,1,0,1
"CHRISTINE",1,1669,.0005988,.9994012,1670,0,1,0,1
"AMANDA",4,1461,.0027304,.9972696,1465,0,1,0,1
"RACHEL",2,1377,.0014503,.9985497,1379,0,1,0,1
"SUSAN",0,1877,0,1,1877,0,1,0,1
"RYAN",1653,34,.9798459,.0201541,1687,1,0,1,0
