"","author","year"
"1","Ming-Feng Hsieh","2011"
"2","Fuhito Kojima","2011"
"3","V. Kerry Smith","2011"
"4","Rudiger Fahlenbrach","2011"
"5","Zinat S. Alam","2011"
"6","V. Ravi Anshuman","2011"
"7","Kuntara Pukthuanthong","2011"
"8","P. Jean-Jacques Herings","2011"
"9","Raford Body","2011"
"10","Erdogan Bakir","2011"
"11","Armağan Gezici","2011"
"12","Rojhat B. Avsar","2011"
"13","Luis Locay","2011"
"14","Tanju Yorulmazer","2011"
"15","Stergios Skaperdas","2011"
"16","University of Missouri-Kansas City","2011"
"17","Bingxin Yu","2011"
"18","Liangzhi You","2011"
"19","Yinghua Li","2011"
"20","Chuan-Yang Hwang","2011"
"21","Gara M. Afonso","2011"
"22","Victor Zhorin","2011"
"23","Chunlin Liu","2011"
"24","Cédric Tille","2011"
"25","Erling Steigum","2011"
"26","Paavo Monkkonen","2011"
"27","Almos Telegdy","2011"
"28","Miguel Fuentes","2011"
"29","Thesia I. Garner","2011"
"30","Xudong An","2011"
"31","Bakhrom Mirkasimov","2011"
"32","Nurgul Ukueva","2011"
"33","Xuepeng Liu","2011"
"34","Jinhyun Lee","2011"
"35","Kaustav Misra","2011"
"36","Tithi Chattopadhyay","2011"
"37","Xuguang Sheng","2011"
"38","Shincihi Sakata","2011"
"39","İsmail H. Genc","2011"
"40","Yuemei Ji","2011"
"41","R.J. Briggs","2011"
"42","Andres Aradillas-Lopez","2011"
"43","Norihiko Yamano","2011"
"44","Xianwen Shi","2011"
"45","Tiemei Li","2011"
"46","Balázs Égert","2011"
"47","Subal C. Kumbhakar","2011"
"48","Suyong Song","2011"
"49","Halbert White","2011"
"50","Narly Dwarkasing","2011"
"51","Davig Troy","2011"
"52","Mou Yigun","2011"
"53","Zhiyi Qian","2011"
"54","Gérard Roland","2011"
"55","Robynn Cox","2011"
"56","Ragan Petrie","2011"
"57","Sohini Paul","2011"
"58","Ott Toomet","2011"
"59","Arnstein Mykletun","2011"
"60","Jean-Sebastien Michel","2011"
"61","Dogan Tirtiroglu","2011"
"62","Harjeet Bhabra","2011"
"63","Evsen Turkay","2012"
"64","Firouz Gahvari","2012"
"65","Pohan Fong","2012"
"66","Ruy Lama","2012"
"67","Temel Taskin","2012"
"68","I. J. Alexander Dyck","2012"
"69","Giullaume Hollard","2012"
"70","Péter Kondor","2012"
"71","Lixin Colin Xu","2012"
"72","Tilman Borgers","2012"
"73","Gurdip S. Bakshi","2012"
"74","Jiaping Qiu","2012"
"75","T. Mandy Tham","2012"
"76","Xiaoxin Zhang","2012"
"77","Krishnamurthy Iyer","2012"
"78","Xuguang (Simon) Sheng","2012"
"79","Biswo Poudel","2012"
"80","Charles-Olivier Amedee--Manesme","2012"
"81","Yin-Wong Cheung","2012"
"82","Maxim Mironov","2012"
"83","Xudong An","2012"
"84","P. Sai-wing Ho","2012"
"85","Jose Luis Moraga-Gonzalez","2012"
"86","Babur I. De los Santos","2012"
"87","Fenaba Addo","2012"
"88","Garett Jones","2012"
"89","Jaap Weel","2012"
"90","Jan-Marc Berk","2012"
"91","Hedibert F. Lopez","2012"
"92","Zhaoxia Xu","2012"
"93","Yongheng Deng","2012"
"94","Enno Mammen","2012"
"95","Rudiger Bachmann","2012"
"96","Zhiwei Xu","2012"
"97","Maharouf Oyolola","2012"
"98","Youchang Wu","2012"
"99","Nigar Hashimzade","2012"
"100","Parantap Basu","2012"
"101","Tzu-Ying Daphne Chen","2012"
"102","Yulei He","2012"
"103","Yoosoon Chang","2012"
"104","Ithak Harpaz","2012"
"105","Seung-Gyu Sim","2012"
"106","M. Tugrul Vehbi","2012"
"107","Marieta Velikova","2012"
"108","Norihiko Yamano","2012"
"109","Radhakrishnan Gopalan","2012"
"110","Rukmani Gounder","2012"
"111","Rajshri Jayaraman","2012"
"112","Kivilcim M. Ozcan","2012"
"113","Aysegul Dinccag","2012"
"114","M. Hakan Berument","2012"
"115","Javaeria Qureshi","2012"
"116","Kyungmin Kim","2012"
"117","Pierre-Andre Chiappori","2012"
"118","Evridiki Tsounta","2012"
"119","M. Belen Sbrancia","2012"
"120","S. Ali Abbas","2012"
"121","Jörg Rocholl","2012"
"122","Nilopa Shah","2012"
"123","Kieu Trang Nguyen","2012"
"124","Xiangmin (Helen) Liu","2012"
"125","Nicolas Schutz","2013"
"126","Patten Mahler","2013"
"127","Andrés Romeu","2013"
"128","Hanzhe Zhang","2013"
"129","Hanwei Huang","2013"
"130","Chun-Yu Ho","2013"
"131","Suhua Tian","2013"
"132","Danièle Meulders","2013"
"133","Zhichun Jenny Ying","2013"
"134","Tomas Dvorak","2013"
"135","Lujing Su","2013"
"136","Iciar Dominguez Lacasa","2013"
"137","Ji-Liang Shiu","2013"
"138","Hildegunn Kyvik Nordas","2013"
"139","Jose Cordero","2013"
"140","Guangzhong Li","2013"
"141","Yangru Wu","2013"
"142","Kaustav Misra","2013"
"143","Mywish Maredia","2013"
"144","Adrian Stoian","2013"
"145","Alois Stutzer","2013"
"146","Orsetta Causa","2013"
"147","Oguzhan Ozbas","2013"
"148","Bjorn Eraker","2013"
"149","Ainhoa Aparicio Fenoll","2013"
"150","Aureo de Paula","2013"
"151","Lígia Pinto","2013"
"152","Patricia Ruggles","2013"
"153","Sjoerd van Bekkum","2013"
"154","Leonce Bargeron","2013"
"155","Malherbe Frederic","2013"
"156","Migiwa Tanaka","2013"
"157","Aysit Tansel","2013"
"158","Nicolás M. Depetris Chauvin","2013"
"159","Ivan P. Png","2013"
"160","Xingliang Ma","2013"
"161","Guanming Shi","2013"
"162","Iftekhar Hasan","2013"
"163","Western Michigan University","2013"
"164","Loriano Mancini","2013"
"165","Eiichiro Kazumori","2013"
"166","Yixiao Sun","2013"
"167","Wooyoung Lim","2013"
"168","Malokele Nanivazo","2013"
"169","Leonce Ndikumana","2013"
"170","Jooyeoun Suh","2013"
"171","Ruiqing Miao","2013"
"172","Aubhik Khan","2013"
"173","Bilgehan Karabay","2013"
"174","University of Dubai","2013"
"175","Patricia Justino","2013"
"176","Sung-Jin Cho","2013"
