"","author","year"
"1","Jianguo Wei","2011"
"2","Xiaoyang Li","2011"
"3","Ozkan Eren","2011"
"4","Simon Dubecq","2011"
"5","Dolore Bushati","2011"
"6","Sunoong Hwang","2011"
"7","Andres Erosa","2011"
"8","Takahiko Kiso","2011"
"9","Kenshi Taketa","2011"
"10","Fenghua Song","2011"
"11","H. Allen Klaiber","2011"
"12","Josepth H. Cook","2011"
"13","Julapa A Jaqtiani","2011"
"14","Victor DeMiguel","2011"
"15","W.Keener Hughen","2011"
"16","Futoshi Yamauchi","2011"
"17","Ceyhun Elgin","2011"
"18","Mwangi wa Githinji","2011"
"19","Cecile Jackson","2011"
"20","Bereket Kebede","2011"
"21","Junsen Zhang","2011"
"22","Albrecht Ritschl","2011"
"23","Liuren Wu","2011"
"24","Zhenguo Lin","2011"
"25","Nuray Güner","2011"
"26","Firouz Gahvari","2011"
"27","Kankana Mukherjee","2011"
"28","Shang-jin Wei","2011"
"29","Zheyu Yang","2011"
"30","Hongjun Yan","2011"
"31","Jinfan Zhang","2011"
"32","Kyoungrae Jung","2011"
"33","Rana Hendy","2011"
"34","Raul Caruso","2011"
"35","Khusrav Gaibulloev","2011"
"36","Erte Xiao","2011"
"37","Emcet Tas","2011"
"38","H. Holly Wang","2011"
"39","Hongyan Li","2011"
"40","D. Wade Hands","2011"
"41","Nake M Kamrany","2011"
"42","M. Taft","2011"
"43","Menzie Chinn","2011"
"44","Sayeh Nikpay","2011"
"45","Shahe Emran","2011"
"46","Hadiye Aslan","2011"
"47","Siddarth Bhaskar Shenai","2011"
"48","Andreq W. Lo","2011"
"49","Yongqiang Chu","2011"
"50","Yufeng Han","2011"
"51","Shigenori Shiratsuka","2011"
"52","Jerry Hurley","2011"
"53","Shanhong Wu","2011"
"54","Thorvaldur Gylfason","2011"
"55","Jaakko Kiander","2011"
"56","Effi Benmelech","2011"
"57","Jose Faias","2011"
"58","Pab Jotikasthira","2011"
"59","Simon Chang","2011"
"60","Seonghoon Kim","2011"
"61","V. V. Chari","2011"
"62","Daylian Cain","2011"
"63","Victor Ginsburgh","2011"
"64","Bjorn Ockert","2011"
"65","Wiji Arulampalam","2011"
"66","C . Fritz Foley","2011"
"67","S.J. Koopman","2011"
"68","K.W. Chau","2011"
"69","Thies Lindenthal","2011"
"70","Nigar Hashimzade","2011"
"71","Jose Rangel","2011"
"72","V. Joseph Hotz","2011"
"73","Ivan A. Canay","2011"
"74","Monica Bielski Boris","2011"
"75","Tin-Chun Lin","2011"
"76","Akpan Hogan Ekpo","2011"
"77","Misak Avetisyan","2011"
"78","Shin-Yi Chou","2011"
"79","Jin-Tan Liu","2011"
"80","Taehyun Ahn","2011"
"81","Sang-Wook Stanley Cho","2011"
"82","Ambarish Chandra","2011"
"83","Feixue Xie","2011"
"84","S. \Vish\ Viswanathan","2011"
"85","Johsua Matthew Pollet","2011"
"86","Xuanjuan Chen","2011"
"87","Lixin Colin Xu","2011"
