,author,year,
1,Jianguo Wei,2011,Male
2,Xiaoyang Li,2011,Male
3,Ozkan Eren,2011,Male
4,Simon Dubecq,2011,Male
5,Dolore Bushati,2011,Female
6,Sunoong Hwang,2011,Male
7,Andres Erosa,2011,Male
8,Takahiko Kiso,2011,Male
9,Kenshi Taketa,2011,Male
10,Fenghua Song,2011,Male
11,H. Allen Klaiber,2011,Male
12,Josepth H. Cook,2011,Male
13,Julapa A Jaqtiani,2011,Female
14,Victor DeMiguel,2011,Male
15,W.Keener Hughen,2011,Male
16,Futoshi Yamauchi,2011,Male
17,Ceyhun Elgin,2011,Male
18,Mwangi wa Githinji,2011,Male
19,Cecile Jackson,2011,Female
20,Bereket Kebede,2011,Male
21,Junsen Zhang,2011,Male
22,Albrecht Ritschl,2011,Male
23,Liuren Wu,2011,Male
24,Zhenguo Lin,2011,Male
25,Nuray Güner,2011,Female
26,Firouz Gahvari,2011,Male
27,Kankana Mukherjee,2011,Female
28,Shang-jin Wei,2011,Male
29,Zheyu Yang,2011,
30,Hongjun Yan,2011,Male
31,Jinfan Zhang,2011,Male
32,Kyoungrae Jung,2011,Female
33,Rana Hendy,2011,Female
34,Raul Caruso,2011,Male
35,Khusrav Gaibulloev,2011,Male
36,Erte Xiao,2011,Female
37,Emcet Tas,2011,Male
38,H. Holly Wang,2011,Female
39,Hongyan Li,2011,Male
40,D. Wade Hands,2011,Male
41,Nake M Kamrany,2011,Male
42,M. Taft,2011,Male
43,Menzie Chinn,2011,Male
44,Sayeh Nikpay,2011,Female
45,Shahe Emran,2011,Male
46,Hadiye Aslan,2011,Female
47,Siddarth Bhaskar Shenai,2011,Male
48,Andreq W. Lo,2011,Male
49,Yongqiang Chu,2011,Male
50,Yufeng Han,2011,Male
51,Shigenori Shiratsuka,2011,Male
52,Jerry Hurley,2011,Male
53,Shanhong Wu,2011,Female
54,Thorvaldur Gylfason,2011,Male
55,Jaakko Kiander,2011,Male
56,Effi Benmelech,2011,Male
57,Jose Faias,2011,Male
58,Pab Jotikasthira,2011,Male
59,Simon Chang,2011,Male
60,Seonghoon Kim,2011,Male
61,V. V. Chari,2011,Male
62,Daylian Cain,2011,Male
63,Victor Ginsburgh,2011,Male
64,Bjorn Ockert,2011,Male
65,Wiji Arulampalam,2011,Female
66,C . Fritz Foley,2011,Male
67,S.J. Koopman,2011,Male
68,K.W. Chau,2011,Male
69,Thies Lindenthal,2011,Male
70,Nigar Hashimzade,2011,Female
71,Jose Rangel,2011,Male
72,V. Joseph Hotz,2011,Male
73,Ivan A. Canay,2011,Male
74,Monica Bielski Boris,2011,Female
75,Tin-Chun Lin,2011,Male
76,Akpan Hogan Ekpo,2011,Male
77,Misak Avetisyan,2011,Male
78,Shin-Yi Chou,2011,Female
79,Jin-Tan Liu,2011,Male
80,Taehyun Ahn,2011,Male
81,Sang-Wook Stanley Cho,2011,Male
82,Ambarish Chandra,2011,Male
83,Feixue Xie,2011,Female
84,S. \Vish\ Viswanathan,2011,Male
85,Johsua Matthew Pollet,2011,Male
86,Xuanjuan Chen,2011,Female
87,Lixin Colin Xu,2011,Male
88,Lucija Muehlenbachs,2011,Female
89,Kose John,2011,Male
90,Sanjukta Roy,2011,Female
91,Carsten Burhop,2011,Male
92,Jinewn Xu,2011,Female
93,Victor Aguirregabiria,2011,Male
94,Hernan Roman,2011,Male
95,Andrés Aradillas-Lopez,2011,Male
96,Serafeim Tsoukas,2011,Male
97,Yunsung Eom,2011,Male
98,Tore Ellingsen,2011,Male
99,Varadarajan Chari,2011,Male
100,Simon Burgess,2011,Male
101,Horag Choi,2011,Male
102,Sudipto Dasgupta,2011,Male
103,Chitru S. Fernando,2011,Male
104,Chung-Ming Kuan,2011,Male
105,Savina Rizova,2011,Female
106,Gábor Kézdi,2011,Male
107,Baban Hasnat,2011,Male
108,Joao Macieira,2011,Male
109,Aureo de Paula,2011,Male
110,Minsoo Jeong,2011,Male
111,Ernst-Ludwig von Thadden,2011,Male
112,Gurnain Kaur Pasricha,2011,Female
113,Nicolas Robert Ziebarth,2011,Male
114,Rodney J. Andrews,2011,Male
115,Simon Evenett,2011,Male
116,Sriya Iyer,2011,Male
117,Tirthankar Chakravarty,2011,Male
118,Yajun Wang,2011,Female
119,Jiro Yoshida,2011,Male
120,Corjan Brink,2011,Male
121,C. Lanier Benkard,2011,Male
122,Garbriel Y. Weintraub,2011,Male
123,Valentyn Panchenko,2011,Male
124,Danielken Molina,2011,Male
125,Hector F. Calvo Pardo,2011,Male
126,Dmitris Batzilis,2011,Male
127,Stepán Jurajda,2011,Male
128,Torberg Falch,2011,Male
129,Kai-Uwe Kuhn,2011,Male
130,Jianfeng Shen,2011,Male
131,Huasheng Gao,2011,Male
132,Veljko Fotak,2011,Male
133,Jerry Cao,2011,Male
134,Carsten Holz,2011,Male
135,Korkut Alp Erturk,2011,Male
136,Taisuke Otsu,2011,Male
137,Ivan Fernandez-Val,2011,Male
138,Abderrahim Taamouti,2011,Male
139,Kyoo Kim,2011,Male
140,René Garcia,2011,Male
141,C. Jeffrey Waddoups,2011,Male
142,Jevgenijs Steinbuks,2012,Male
143,Unni Pillai,2012,Male
144,Climent Quintana-Domeque,2012,Male
145,Keshab Bhattarai,2012,Male
146,TaoXiong Liu,2012,Male
147,Bihua Zhou,2012,Male
148,Eizman Galit,2012,Female
149,Semoon Chang,2012,Male
150,Huju Liu,2012,Male
151,Reinhard Neck,2012,Male
152,Hülya K. K. Eraslan,2012,Female
153,Stian Reimers,2012,Male
154,Atay Kizilaslan,2012,Male
155,Ruben Hernandez-Murillo,2012,Male
156,Libo Sun,2012,Female
157,Jarko Fidrmuc,2012,Male
158,Elisheba Spiller,2012,Female
159,Veronica Rappoport,2012,Female
160,Miguel Almeida Ferreira,2012,Male
161,Tanjim Hossain,2012,Male
162,Elisabet Rutstrom,2012,Female
163,Renata Kosova,2012,Female
164,Thouraya Triki,2012,Female
165,Abebe Shimeles,2012,Male
166,Douglason Godwin Omotor,2012,Male
167,Ithai Z. Lurie,2012,Male
168,Patricia K. Tong,2012,Female
169,Armagan Gezici,2012,Male
170,Marie-Helene Hubert,2012,Female
171,Xiaoguang Chen,2012,Male
172,Amee Kamdar,2012,Female
173,Victor Iajya,2012,Male
174,Fali Huang,2012,Female
175,Kangoh Lee,2012,Male
176,Daiji Kawaguchi,2012,Male
177,Shumi M. Akhtar II,2012,Female
178,Baozhong Yang,2012,Male
179,Sreedhar T. Bharath,2012,Male
180,Jose M. Marin,2012,Male
181,M. Martin Boyer,2012,Male
182,J. David Cummins,2012,Male
183,Jinzhao Chen,2012,Male
184,Sokbae (Simon) Lee,2012,Male
185,Yoon-Jae Whang,2012,Male
186,Hyun-Woong Park,2012,Male
187,C.-Y. Cynthia Lin,2012,Female
188,Yanqun Zhang,2012,Male
189,Jose Berrospide,2012,Male
190,Byung-Cheol Kim,2012,Male
191,Rodney Green,2012,Male
192,Ahmend Rahman,2012,Male
193,Hanno N. Lustig,2012,Male
194,Tanakorn Makaew,2012,Male
195,Berhanu Nega,2012,Male
196,Lixiu Zhang,2012,Male
197,Joyee Deb,2012,Female
198,Matthijs R. Wildenbeest,2012,Male
199,Swarna S. Vepa,2012,Female
200,Zine Barka,2012,Female
201,Zhun Xu,2012,Male
202,Annemie Maertens,2012,Female
203,Zhenxing Huang,2012,Male
