"","author","year"
"1","Yingquan Song","2011"
"2","Girijasankar Mallik","2011"
"3","Hays Golden","2011"
"4","Ishani Tewari","2011"
"5","W. Kip Viscusi","2011"
"6","Nlson Camanho","2011"
"7","Pragyan Deb","2011"
"8","Hanno N. Lustig","2011"
"9","Sendhi Mullainathan","2011"
"10","Stuti Khemani","2011"
"11","Godsway Cudjoe","2011"
"12","Iciar Dominguez Lacasa","2011"
"13","R. Vijay Krishna","2011"
"14","Kyungmin Kim","2011"
"15","Gunseli Berik","2011"
"16","Lídia Farré","2011"
"17","Francesc Ortega","2011"
"18","Junjian Yi","2011"
"19","P.K.G. Harischandra","2011"
"20","Narayana Kocherlakota","2011"
"21","Yoshifumi Konishi","2011"
"22","Danling Jiang","2011"
"23","Oguzhan Ozbas","2011"
"24","Zacharias Sautner","2011"
"25","Ngoc-Khanh Tran","2011"
"26","Yingchun Liu","2011"
"27","Ruijue Peng","2011"
"28","Kiat Ying Seah","2011"
"29","Zackary Hawley","2011"
"30","Jarl G. Kallberg","2011"
"31","Luis Felipe Céspedes","2011"
"32","Vinish Kathuria","2011"
"33","Xiangguo Yao","2011"
"34","Guoen Liu","2011"
"35","Daifeng He","2011"
"36","Seung-Hyun Hong","2011"
"37","Cahit Guven","2011"
"38","Rukmani Gounder","2011"
"39","M. Majbouri","2011"
"40","Boso Seo","2011"
"41","Inhyuck \Steve\ Ha","2011"
"42","Monica Hartmann","2011"
"43","Shaianne T. Osterreich","2011"
"44","Thankom G. Arun","2011"
"45","Atrayee Ghosh Roy","2011"
"46","Zhigang Li","2011"
"47","Le Wang","2011"
"48","Faustine Perrin","2011"
"49","Xinya Zhang","2011"
"50","M. Sieffert","2011"
"51","Derekh Cornwell","2011"
"52","Fengwei Liu","2011"
"53","Yew-Kwang Ng","2011"
"54","Yunwei Gai","2011"
"55","T. Aldrich Finegan","2011"
"56","L. Randall Wray","2011"
"57","Kosali Simon","2011"
"58","Xiao-yuan Dong","2011"
"59","Nidhiya Menon","2011"
"60","Ranjula Bali Swain","2011"
"61","Jouchi Nakajima","2011"
"62","Stefie Schurer","2011"
"63","Miguel Martinez Lucio","2011"
"64","J. David Brown","2011"
"65","Jörg Mayer","2011"
"66","Ulf Rinne","2011"
"67","Jesus Taurina","2011"
"68","Belton Fleisher","2011"
"69","Suqin Ge","2011"
"70","Kellin Chandler Stanfield","2011"
"71","Yu-Wei Hsieh","2011"
"72","M. Urquiola","2011"
"73","Victor Rios Rull","2011"
"74","Donggyu Sul","2011"
"75","Orley Ashenfelter","2011"
"76","Julia Cage","2011"
"77","Renata Kosova","2011"
"78","Jose Fernandez","2011"
"79","Jialin Yu","2011"
"80","G. Mujtaba Mian","2011"
"81","Jooyeoun Suh","2011"
"82","Keshab Bhattarai","2011"
"83","Mathijs Cosemans","2011"
"84","Xiaoxia Shi","2011"
"85","Kyoungwon Seo","2011"
"86","Xiangmin (Helen) Liu","2011"
