,author,year,gender
1,Yingquan Song,2011,M
2,Girijasankar Mallik,2011,M
3,Hays Golden,2011,M
4,Ishani Tewari,2011,F
5,W. Kip Viscusi,2011,M
6,Nlson Camanho,2011,M
7,Pragyan Deb,2011,M
8,Hanno N. Lustig,2011,M
9,Sendhi Mullainathan,2011,M
10,Stuti Khemani,2011,F
11,Godsway Cudjoe,2011,M
12,Iciar Dominguez Lacasa,2011,F
13,R. Vijay Krishna,2011,M
14,Kyungmin Kim,2011,M
15,Gunseli Berik,2011,F
16,LÃ_dia FarrÃ©,2011,F
17,Francesc Ortega,2011,M
18,Junjian Yi,2011,M
19,P.K.G. Harischandra,2011,
20,Narayana Kocherlakota,2011,M
21,Yoshifumi Konishi,2011,M
22,Danling Jiang,2011,F
23,Oguzhan Ozbas,2011,M
24,Zacharias Sautner,2011,M
25,Ngoc-Khanh Tran,2011,M
26,Yingchun Liu,2011,F
27,Ruijue Peng,2011,F
28,Kiat Ying Seah,2011,F
29,Zackary Hawley,2011,M
30,Jarl G. Kallberg,2011,M
31,Luis Felipe CÃ©spedes,2011,M
32,Vinish Kathuria,2011,M
33,Xiangguo Yao,2011,
34,Guoen Liu,2011,M
35,Daifeng He,2011,F
36,Seung-Hyun Hong,2011,M
37,Cahit Guven,2011,M
38,Rukmani Gounder,2011,F
39,M. Majbouri,2011,M
40,Boso Seo,2011,
41,Inhyuck \Steve\ Ha,2011,M
42,Monica Hartmann,2011,F
43,Shaianne T. Osterreich,2011,F
44,Thankom G. Arun,2011,M
45,Atrayee Ghosh Roy,2011,F
46,Zhigang Li,2011,M
47,Le Wang,2011,M
48,Faustine Perrin,2011,F
49,Xinya Zhang,2011,F
50,M. Sieffert,2011,
51,Derekh Cornwell,2011,M
52,Fengwei Liu,2011,
53,Yew-Kwang Ng,2011,M
54,Yunwei Gai,2011,M
55,T. Aldrich Finegan,2011,M
56,L. Randall Wray,2011,M
57,Kosali Simon,2011,F
58,Xiao-yuan Dong,2011,F
59,Nidhiya Menon,2011,M
60,Ranjula Bali Swain,2011,F
61,Jouchi Nakajima,2011,M
62,Stefie Schurer,2011,F
63,Miguel Martinez Lucio,2011,M
64,J. David Brown,2011,M
65,JÃ¶rg Mayer,2011,M
66,Ulf Rinne,2011,M
67,Jesus Taurina,2011,
68,Belton Fleisher,2011,M
69,Suqin Ge,2011,F
70,Kellin Chandler Stanfield,2011,M
71,Yu-Wei Hsieh,2011,M
72,M. Urquiola,2011,M
73,Victor Rios Rull,2011,M
74,Donggyu Sul,2011,M
75,Orley Ashenfelter,2011,M
76,Julia Cage,2011,F
77,Renata Kosova,2011,F
78,Jose Fernandez,2011,M
79,Jialin Yu,2011,M
80,G. Mujtaba Mian,2011,M
81,Jooyeoun Suh,2011,F
82,Keshab Bhattarai,2011,M
83,Mathijs Cosemans,2011,M
84,Xiaoxia Shi,2011,F
85,Kyoungwon Seo,2011,M
86,Xiangmin (Helen) Liu,2011,F
87,Semoon Chang,2011,M
88,LÃ©once Ndikumana,2011,M
89,Gyun Cheol Gu,2011,
90,Ta-Chen Wang,2011,M
91,Johanna Francis,2011,F
92,Yongzheng Liu,2011,M
93,Leonard Waverman,2011,M
94,Mariassunta Giannetti,2011,F
95,Gharad Bryan,2011,M
96,In Gu Khang,2011,
97,Kalena E. Cortes,2011,F
98,Iuliana Pascu,2011,F
99,Adlar J. Kim,2011,M
100,Narasimhan Jegadeesh,2011,M
101,Jorg Rocholl,2011,M
102,Xiaozu Wang,2011,M
103,W. Robert Brazelton,2011,M
104,Sevinc Rede,2011,
105,Myeong-Su Yun,2011,M
106,Saibal Kar,2011,M
107,Xiaoshu Xu,2011,F
108,Lixin Ye,2011,M
109,Stephan Lauermann,2011,M
110,Jaap H. Abbring,2011,M
111,Bartholomew Moore,2011,M
112,Jose Signoret,2011,M
113,University of Massachusetts-Amherst,2011,
114,Udoma Afanghide,2011,
115,Ivan Ariel de Jesus,2011,M
116,Simon Gervais,2011,M
117,Ayca Ozdogan,2011,F
118,Nisvan Erkal,2011,F
119,Xiaozheng Wang,2011,
120,Ayelen Banegas,2011,F
121,Matias Braun,2011,M
122,Debraj Ray,2011,M
123,Jin-Huei Yeh,2011,M
124,Ruey S. Tsay,2011,M
125,Radhakrishnan Gopalan,2011,M
126,Kazuto Sumita,2011,M
127,M. Shahid Ebrahim,2011,M
128,Hartmut Lehmann,2011,M
129,Anne-Gael Vaubourg,2011,F
130,J. Scott Holladay,2011,M
131,Hsien-Ming Lien,2011,M
132,Heski Bar-Isaac,2011,M
133,Viegi Nicola,2011,M
134,F. Andrew Hanssen,2011,M
135,Hwan-sik Choi,2011,M
136,Lorens Helmchen,2011,M
137,N. Meltem Daysal,2011,F
138,Chander K Velu,2011,M
139,Jose Anchorena,2011,M
140,Hong Liu,2011,M
141,Jose Fillat,2011,M
142,Sheharyar Bokhari,2011,M
143,Hein Bogaard,2011,M
144,Antoon Spithoven,2011,M
145,Tomoki Fujii,2011,M
146,Murillo Campello,2011,M
147,Rodney Green,2011,M
148,Shakun Datta,2011,F
149,Kalena Cortes,2011,F
150,Climent Quintana-Domeque,2011,M
151,Jaanika MerikÃ_ll,2011,F
152,Simen Markussen,2011,M
153,Ambrus Kecskes,2011,M
154,Jarko Fidrmuc,2011,M
155,Iikka Korhonen,2011,M
156,Jesus Ferreiro,2011,M
157,Ke-Li Xu,2011,M
158,Taoufik Bouezmarni,2011,M
159,Haiping Zhang,2011,M
160,Tae-Hee Jo,2011,M
161,Luis Orea,2012,M
162,Nidhiya Menon,2012,F
163,AngGang Hu,2012,M
164,Kerk L. Phillips,2012,M
165,Ake Blomqvist,2012,M
166,Kosali Simon,2012,F
167,Seonghoon Cho,2012,M
168,Wiola Dziuda,2012,F
169,Batchimeg Sambalaibat,2012,F
170,Chuan-Yang Hwang,2012,M
171,Krishnamoorthy Narasimhan,2012,M
172,Allaudeen Hameed,2012,M
173,Worrawat Sritrakul,2012,
174,Carsten Sprenger,2012,M
175,Iikka Korhonen,2012,M
176,Jinqiang Yang,2012,M
177,"Morehouse College, Atlanta",2012,
178,Xiaowen Fu,2012,M
179,Hayri Onal,2012,M
180,Niven Winchester,2012,M
181,Aaditya Mattoo,2012,M
