author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Aaron Sojourner,What’s My Account Really Worth? The Effect of Lifetime Income Disclosure on Retirement Savings,University of Minnesota,Jan 08 2012,8:00 AM,"Hyatt Regency, Toronto",American Economic Association,Informing Household Saving Decisions: Plan Features and Interventions,H3,Annamaria Lusardi,Dartmouth College,James Choi,Yale University,Scott Weisbenner,University of Illinois,Anya C. Savikhin,University of Chicago,,,,,Aaron Sojourner,Male,,,,,,NA,NA,NA,NA,NA,
Abhijit Banerjee,Targeting the Poor: Evidence from a Field Experiment in Indonesia,Massachusetts Instituteof Technology,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus H",American Economic Association,Including Communities in the Development Process,O1,Rema Hanna,Harvard University,Chris Blattman,Yale University,Sandip Sukhtankar,Dartmouth College,Martina Bjorkman-Nyqvist,Universita Bocconi,Rema Hanna,Harvard University,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA,
Adair Morse,Large Investors' Influence in Private Equity Funds,University of Chicago,Jan 06 2012,8:00 AM,"Hyatt Regency, Grand Suite 3",Econometric Society,Private Equity and Asset Management,G1,Steven Kaplan,University of Chicago,Wayne Ferson,University of Southern California,Andrew Metrick,Yale University,Per Stromberg,Stockholm School of Economics,Alexander Ljungqvist,New York University,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA,
Adair Morse,Sovereign Wealth Fund Portfolios,University of Chicago,Jan 07 2012,10:15 AM,"Hyatt Regency, Gold Coast",American Economic Association,Sovereign Wealth Funds: Threat or Salvation?,G2,Will Goetzmann,Yale University,Josh Rauh,Northwestern University,Patrick Bolton,Columbia University,Udaibir Saran Das,International Monetary Fund,Re-Jin Guo,University of Illinois-Chicago,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA,
Adam Ashcraft,Shadow Banking,Federal Reserve Bank of New York,Jan 08 2012,8:00 AM,"Hyatt Regency, Acapulco",American Economic Association,Funding of Shadow Banks,G2,Stefan Nagel,Stanford University,Viral V. Acharya,New York University,Gary B. Gorton,Yale University,Suresh Sundaresan,Columbia University,Philip E. Strahan,Boston College,,,ADAM ASHCRAFT,Male,,,,,,NA,NA,NA,NA,NA,
Adam Copeland,"Exchange Rate Pass-Through, Markups, and Inventories",Federal Reserve Bank of New York,Jan 06 2012,10:15 AM,"Hyatt Regency, Columbus G",American Economic Association,Exchange Rates,F3,Mario Crucini,Vanderbilt University,,,,,,,,,,,ADAM COPELAND,Male,,,,,,NA,NA,NA,NA,NA,
Adam Copeland,Durable Goods Productin and Inventory Dynamics: An Application to the Automobile Industry,Federal Reserve Bank of New York,Jan 07 2012,8:00 AM,"Hyatt Regency, Burnham",International Society for Inventory Research,Inventories and Business Cycles,E3,James Kahn,Yeshiva University,Jon Willis,Federal Reserve Bank of Kansas City,Francois Gourio,Boston University,Daniele Coen-Pirani,University of Pittsburgh,Pierre-Daniel Sarte,Federal Reserve Bank of Richmond,,,ADAM COPELAND,Male,,,,,,NA,NA,NA,NA,NA,
Adam Copeland,Repo runs: Evidence from the tri-party repo market,Federal Reserve Bank of New York,Jan 08 2012,8:00 AM,"Hyatt Regency, Acapulco",American Economic Association,Funding of Shadow Banks,G2,Stefan Nagel,Stanford University,Viral V. Acharya,New York University,Gary B. Gorton,Yale University,Suresh Sundaresan,Columbia University,Philip E. Strahan,Boston College,,,ADAM COPELAND,Male,,,,,,NA,NA,NA,NA,NA,
Adam Szeidl,Treasure Hunt,University of California-Berkeley,Jan 08 2012,10:15 AM,"Hyatt Regency, McCormick",Econometric Society,Network Games,D8,David Miller,University of California-San Diego,,,,,,,,,,,ADAM SZEIDL,Male,,,,,,NA,NA,NA,NA,NA,
Adi Sunderam,Are There Too Many Safe Securities? Securitization and the Incentives for Information Production,Harvard Business School,Jan 06 2012,8:00 AM,"Swissotel, Zurich C",American Finance Association,Corporate Finance Theory,G3,Andres Almazan,University of Texas at Austin,Adolfo De Motta,McGill University,Aydogan Alti,University of Texas-Austin,Denis Gromb,INSEAD,,,,,Adi Sunderam,Male,,,,,,NA,NA,NA,NA,NA,
