author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Aaron Chatterji,Eponymous Entrepreneurs,Duke University,Jan 03 2014,2:30 PM,"Philadelphia Marriott, Meeting Room 306",National Economic Association,Innovations in Innovation and Entrepreneurship,O3,Keoka Grayson,Hobart and William Smith Colleges,Bruce A. Weinberg,Ohio State University,Pai-Ling Yin,Massachusetts Institute of Technology,Michael Roach,Duke University,,,,,Aaron Chatterji,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Come Play with Me: Experimental Evidence of Information Diffusion About Rival Goods,Massachusetts Institute of Technology,Jan 05 2014,8:00 AM,"Pennsylvania Convention Center, 201-A",American Economic Association,Strategic Learning: Theory and Evidence,D8,Abhijit Banerjee,Massachusetts Institute of Technology,Matthew Elliott,California Institute of Technology,Arun Chandrasekhar,Stanford University,Juan Pablo Xandri,Princeton University,Petra Persson,Stanford University,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Adverse Selection in the Market for Catastrophic Health Insurance: Some Evidence from India,Massachusetts Institute of Technology,Jan 03 2014,8:00 AM,"Pennsylvania Convention Center, 201-C",American Economic Association,The Demand for Insurance in Developing Countries,O1,Benjamin Olken,Massachusetts Institute of Technology,Seema Jayachandran,Northwestern University,Tavneet Suri,Massachusetts Institute of Technology,Jishnu Das,World Bank,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,"Windfall or Downfall: Capital, Credit and Micro-Entrepreneurs' Returns",Massachusetts Institute of Technology,Jan 05 2014,1:00 PM,"Pennsylvania Convention Center, 103-C",American Economic Association,Experiments with Small Enterprises,O1,Nathan Fiala,DIW Berlin,,,,,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Teaching Economics Online: Experience With a MOOC on Development Economics,Massachusetts Institute of Technology,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 201-B",American Economic Association,Economics Education in the Digital Age: The Implications of Online Technologies and MOOCs,A1,Nancy Rose,Massachusetts Institute of Technology,Gail Hoyt,University of Kentucky,John Siegfried,Vanderbilt University,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhiroop Mukherjee,Performance-Chasing Behavior and Mutual Funds: New Evidence from Multi-Fund Managers,Hong Kong University of Science and Technology,Jan 04 2014,10:15 AM,"Loews Philadelphia Hotel, Commonwealth Hall C",American Finance Association,Mutual Funds and Investment Choice,G1,William Goetzmann,Yale University,Roy Zuckerman,Rutgers University,Philipp Illeditsch,University of Pennsylvania,Masahiro Watanabe,University of Alberta,Hong Zhang,INSEAD,,,Abhiroop Mukherjee,Male,,,,,,NA,NA,NA,NA,NA
Abhiroop Mukherjee,"First Impressions: \System 1\"" Thinking and the Cross-Section of Stock Returns""",Hong Kong University of Science and Technology,Jan 03 2014,8:00 AM,"Loews Philadelphia Hotel, Regency Ballroom B",American Finance Association,Behavioral Asset Pricing,G1,Nicholas Barberis,Yale University,Dong Lou,London School of Economics,Byoung-Hyoun Hwang,Purdue University,Kent Daniel,Columbia University,,,,,Abhiroop Mukherjee,Male,,,,,,NA,NA,NA,NA,NA
Adair Morse,How Pervasive is Corporate Fraud?,University of California-Berkeley,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 107-B",American Economic Association,New Perspectives on Corporate Governance,G3,Luigi Zingales,University of Chicago,Franklin Allen,University of Pennsylvania,Amit Seru,University of Chicago,Frank Partnoy,University of California-San Diego,,,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA
Adam Leive,Sticker Shock for Individual Insurance From Health Reform,University of Pennsylvania,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 112-A",Health Economics Research Organization,Implementation of the Affordable Care Act,I1,Michael Chernew,Harvard University,Martin S. Gaynor,Carnegie-Mellon University,Joseph P. Newhouse,Harvard University,Cory S. Capps,"Bates White-Washington, DC",,,,,Adam Leive,Male,,,,,,NA,NA,NA,NA,NA
Adam Sacarny,Healthcare Exceptionalism? Productivity and Allocation in the United States Healthcare Sector,Massachusetts Institute of Technology,Jan 04 2014,10:15 AM,"Pennsylvania Convention Center, 201-C",American Economic Association,Healthcare Performance and Competition,I1,John Van Reenen,London School of Economics,,,,,,,,,,,Adam Sacarny,Male,,,,,,NA,NA,NA,NA,NA
