"author","gender"
"Aaron Pacitti","Male"
"Aarti Rughoo","Female"
"Abdoul Mijiyawa","Male"
"Abdullah Yavas","Male"
"Abdullah Al-Hassan","Male"
"Abena D. Oduro","Female"
"Abigail S. Hornstein","Female"
"Abigail Payne","Female"
"Abigail Adams","Female"
"Aboubacar Badamassi","Male"
"Abu Shonchoy","Male"
"Achim Mattes","Male"
"Adam Greenberg","Male"
"Adam M. Rosen","Male"
"Adam Biener","Male"
"Adam D. Nowak","Male"
"Adrienne Mack","Female"
"Ahmed Smahi","Male"
"Ahmed Kamaly","Male"
"Ajay Shenoy","Male"
"Ajay Palvia","Male"
"Ajit Zacharias","Male"
"Al Campbell","Male"
"Alain Durré","Male"
"Alain Monfort","Male"
"Alan Spearot","Male"
"Alan de Brauw","Male"
"Alan Dye","Male"
"Alan Benson","Male"
"Albert Menkveld","Male"
"Albert Queralto","Male"
"Albert Guangzhou Hu","Male"
"Albert S. Kyle","Male"
"Albert Park","Male"
"Alberto Rossi","Male"
"Albino Barrera","Male"
"Alejandro Drexler","Male"
"Alejandro Riano","Male"
"Alejandro Graziano","Male"
"Aleksandr Yankelevich","Male"
"Alessandra Casella","Female"
"Alessandro Graniero","Male"
"Alessandro Bonanno","Male"
"Alessandro Caiani","Male"
"Alessandro Olper","Male"
"Alessandro Roncaglia","Male"
"Alex Weckenman","?"
"Alex Cukierman","?"
"Alex Vasquez","?"
"Alexander Field","Male"
"Alexander Vostroknutov","Male"
"Alexander Rieber","Male"
"Alexander Cappelen","Male"
"Alexander Philipov","Male"
"Alexander Stremitzer","Male"
"Alexander Hillert","Male"
"Alexander Chinco","Male"
"Alexander Schandlbauer","Male"
"Alexandra Waugh","Female"
"Alexandra Tabova","Female"
"Alexandra Brown","Female"
"Alexandra de Filippo","Female"
"Alexandros P. Vardoulakis","Male"
"Alexandru Nichifor","Male"
"Alexey Kushnir","Male"
"Alexis Le Chapelain","?"
"Alfonso Flores-Lagunes","Male"
"Alfredo Burlando","Male"
"Ali Palida","?"
"Ali Alsadiq","?"
"Ali M. Kutan","?"
"Ali Protik","?"
"Ali Coskun Tuncer","?"
"Ali Tarhan","?"
"Ali Fakih","?"
"Alice Kassens","Female"
"Alicia Munnell","Female"
"Alicia Adsera","Female"
"Alicia Giron","Female"
"Allen C. Goodman","Male"
"Allen N. Berger","Male"
"Allen Hicken","Male"
"Allen Monks","Male"
"Alok Kumar","Male"
"Alvaro Sandroni","Male"
"Alvaro Novo","Male"
"Alvin E. Roth","Male"
"Amanda Ross","Female"
"Ameet Morjaria","Male"
"Amir Shoham","Male"
"Amit Kramer","Male"
"Amitava Dutt","Male"
"Amrita Nain","Female"
"Amy Schwartz","Female"
"Ana Herrera","Female"
"Ana Ferrer","Female"
"Ana Fernandes","Female"
"Anders Munk-Nielsen","Male"
"Andre Guettler","Male"
"Andre Trindade","Male"
"Andrea Polo","?"
"Andrea Lopez","?"
"Andrea Canidio","?"
"Andrea Jones-Rooy","?"
"Andrea Fumagalli","?"
"Andreas Knorr","Male"
"Andreas Pollak","Male"
"Andreas Hubener","Male"
"Andreas Menzel","Male"
"Andreas Steiner","Male"
"Andrei Miu","Male"
"Andrej Svorenčík","Male"
"Andrew Burns","Male"
"Andrew Yates","Male"
"Andrew Hanson","Male"
"Andrew Schotter","Male"
"Andrew Detzel","Male"
"Andrew Martin","Male"
"Andrew Ludwig","Male"
"Andrew Wyatt Beauchamp","Male"
"Andrew Johnston","Male"
"Andrew Weaver","Male"
"Andrew Cumbers","Male"
"Andrew Hanks","Male"
"Andrew F. Newman","Male"
"Andrey Pavlov","Male"
"Andriy Zapechelnyuk","Male"
"Andriy Bodnaruk","Male"
"Andrzej Skrzypacz","Male"
"Andy Naranjo","Male"
"Angel Lopez","?"
"Angela Maddaloni","Female"
"Angelika Dimoka","Female"
"Angelo Ranaldo","Male"
"Anita Cassard","Female"
"Anjali Adukia","Female"
"Ankur Pareek","Male"
"Ann Harrison","Female"
