"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron Swoboda","Measuring the Effect of Blended Learning: Evidence from a Selective Liberal Arts College","Carleton College","Jan 03 2016","10:15 AM","Hilton Union Square, Golden Gate 5","American Economic Association","Research in Economic Education: Efficacy of Interventions in Economic Education","A2","Sam Allgood","University of Nebraska-Lincoln","Robert Rebelein","Vassar College","William Bosshardt","Florida Atlantic University","Wayne Grove","Le Moyne College","Christiana E. Hilmer","San Diego State University","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abdul","Abdul Munasib","The Disparate Influence of State Renewable Portfolio Standards (RPS) on U.S. Renewable Electricity Generation Capacity","University of Georgia-Griffin","Jan 03 2016","2:30 PM","Hilton Union Square, Golden Gate 5","American Economic Association","Mitigation of Greenhouse Gases","Q4","Maximilian Auffhammer","University of California-Berkeley","","","","","","","","","","","ABDUL",110,1,0.990991,0.009009,111,1,0,1,0
"Abdulaziz","Abdulaziz Shifa","Colonial Legacy, State Building and the Salience of Ethnicity in Sub-Saharan Africa","Syracuse University","Jan 03 2016","10:15 AM","Hilton Union Square, Union Square 15","Econometric Society","Political Economy in Developing Economies","A1","Sandip Sukhtankar","Dartmouth College","","","","","","","","","","","ABDULAZIZ",5,0,1,0,5,1,0,1,0
"Abdullah","Abdullah Yavas","Empirical Evidence that Real Estate Agents Price their Informational Monopoly","University of Wisconsin-Madison","Jan 05 2016","10:15 AM","Parc 55, Powell II","American Real Estate & Urban Economic Association/American Economic Association","Agency and Brokerage (R3, J4)","","Edward Coulson","University of Nevada-Las Vegas","Matthew O. Jackson","Stanford University","Chad Syverson","University of Chicago","James Albrecht","Georgetown University","Sebastien Gay","University of Chicago","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abdullah","Abdullah Al-Bahrani","Art of Econ: A Guide to Differentiated Assessment of Students' Learning in Principles Level Couses","Northern Kentucky University","Jan 04 2016","12:30 PM","Hilton Union Square, Continental – Parlor 2","National Association of Economic Educators","Improving the Learning in Economics Courses","A2","Carlos J. Asarta","University of Delaware","Amanda Brooke Jennings","University of Delaware","Kim Holder","University of West Georgia","Austin S. Jennings","University of Delaware","Erin A. Yetter","Federal Reserve Bank of St. Louis","Helen H. Roberts","University of Illinois-Chicago","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abdullah","Abdullah Al-Bahrani","Putting Yourself in the Picture: Using Student-Generated Photos to Enhance Introductory Economics Courses","Northern Kentucky University","Jan 05 2016","10:15 AM","Hilton Union Square, Union Square 22","National Association of Economic Educators","Online versus Face to Face Teaching","A2","Helen H. Roberts","University of Illinois-Chicago","John R. Swinton","Georgia College and State University","Carlos J. Asarta","University of Delaware","Kim Holder","University of West Georgia","Helen H. Roberts","University of Illinois-Chicago","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abhishek","Abhishek Chakravarty","Democracy and Demography: Societal Effects of Fertility Limits on Local Leaders","University of Essex","Jan 03 2016","10:15 AM","Hilton Union Square, Union Square 15","Econometric Society","Political Economy in Developing Economies","A1","Sandip Sukhtankar","Dartmouth College","","","","","","","","","","","ABHISHEK",51,0,1,0,51,1,0,1,0
"Abigail","Abigail Payne","The Sensitivity of Charitable Giving to the Timing and Salience of Tax Credits","McMaster University","Jan 03 2016","2:30 PM","Marriott Marquis, Walnut","Association for the Study of Generosity in Economics","Charitable Giving and Natural Disasters (D6, H4)","","Abigail Payne","McMaster University","Sarah Jacobson","Williams College","Andreas Madestam","Stockholm University","Andreas Lange","University of Hamburg","","","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abou","Abou Bakr Boussalem","Financial Development and the Oil Curse: Evidence from Algeria","Tlemcen University","Jan 05 2016","10:15 AM","Hilton Union Square, Union Square 18","Middle East Economic Association","Natural Resources and Environmental Issues in MENA Countries (Q2, Q5)","","Rahel Schomaker","Cologne Business School","Jeffrey Nugent","University of Southern California","Durdane Sirin Saracoglu","Middle East Technical University","Mine Cinar","Loyola University","Emin Koksal","Bahcesehir University","A. Suut Dogruel","Marmara University","ABOU",5,0,1,0,5,1,0,1,0
"Adam","Adam Nowak","Strip Clubs and Property Values","West Virginia University","Jan 04 2016","10:15 AM","Parc 55, Mission II & III","American Real Estate & Urban Economic Association","Local Externalities (R5, K2)","","Janet Kohlhase","University of Houston","Ralph Mastromonaco","University of Oregon","Allen Klaiber","Ohio State University","Dionissi Aliprantis","Federal Reserve Bank of Cleveland","Elisheba Spiller","Environmental Defense Fund","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam McCloskey","Estimation and Inference with a (Nearly) Singular Jacobian","Brown University","Jan 03 2016","8:00 AM","Hilton Union Square, Union Square 16","Econometric Society","Model Specification and Testing","A1","Christoph Rothe","Columbia University","","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
