"","author","year"
"1","Brigham Russell Frandsen","2011"
"2","Ruiqing Miao","2011"
"3","Tewodaj Mogues","2011"
"4","Berhanu Nega","2011"
"5","Wolfram Elsner","2011"
"6","Elisheba Spiller","2011"
"7","Leeat Yariv","2011"
"8","Rudiger von Arnim","2011"
"9","Simon Ville","2011"
"10","Hide-Fumi Yokoo","2011"
"11","Libertad González","2011"
"12","Tansel Yilmazer","2011"
"13","Mingjun Huang","2011"
"14","Sushanta Mallick","2011"
"15","Yanmin Qian","2011"
"16","Maoyong Fan","2011"
"17","Jose Lopez","2011"
"18","Tack Yun","2011"
"19","Niven Winchester","2011"
"20","Shangjin Wei","2011"
"21","Laping Wu","2011"
"22","Jevgenijs Steinbuks","2011"
"23","Floris Heukelom","2011"
"24","A. G. Malliaris","2011"
"25","Lucjan Orlowski","2011"
"26","Géraldine Henningsen","2011"
"27","Geresom Okecho","2011"
"28","Joseé Randriamamonjy","2011"
"29","Wanchuan Lin","2011"
"30","Luis M Pinet-Peralta","2011"
"31","Rafat Fazeli","2011"
"32","Vai-Lam Mui","2011"
"33","Sanjukta Chaudhuri","2011"
"34","A.G. Malliaris","2011"
"35","Andres Neumeuer","2011"
"36","Guoshu Ma","2011"
"37","Cesar Sosa-Padilla","2011"
"38","Dhiman Das","2011"
"39","Raghuram G. Rajan","2011"
"40","Rajashri Chakrabarti","2011"
"41","Giorgo Sertsios","2011"
"42","Jing-Zhi Huang","2011"
"43","Yongheng Deng","2011"
"44","W. Bentley Macleod","2011"
"45","Jörg Rocholl","2011"
"46","Patricia A. Erickson","2011"
"47","Nicolas Sahuguet","2011"
"48","Kyung-Hong Park","2011"
"49","Lopo L. Rego","2011"
"50","Yingmei Cheng","2011"
"51","C.Y. Yiu","2011"
"52","Qun Bao","2011"
"53","University of Wisconsin","2011"
"54","Nune Hovhannisyan","2011"
"55","Fanmin Kong","2011"
"56","Yujie Cai","2011"
"57","Gernot Kohler","2011"
"58","F. Gregory Hayden","2011"
"59","M.V. Lee Badgett","2011"
"60","Young-Joo Kim","2011"
"61","Tanmoy Mukherjee","2011"
"62","Pierre-Guillaume Méon","2011"
"63","Ivan Haščič","2011"
"64","Nusret Cakici","2011"
"65","Nabamita Dutta","2011"
"66","Yingyao Hu","2011"
"67","Taeyoung Doh","2011"
"68","Jaehoon Hahn","2011"
"69","Rosmy J. Louis","2011"
"70","Akpan Ekpo","2011"
"71","P.J. Lamberson","2011"
"72","Ariell Reshef","2011"
"73","Kyung-Hwan Kim","2011"
"74","Gábor Kertesi","2011"
"75","Chicheng Ma","2011"
