,author,year,gender
394,Çaglar Özden,2016,M
408,A Gallant,2016,M
24,A. G. Malliaris,2011,M
260,A. H. van der Weijde,2014,M
325,A. Mark Fendrick,2015,M
34,A.G. Malliaris,2011,M
314,Abderrezak Benhabib,2015,M
307,Abhiroop Mukhopadhyay,2015,M
538,Adji Fatou Diagne,2019,F
70,Akpan Ekpo,2011,M
200,Akpan Ekpo,2013,M
87,Akpan H. Ekpo,2012,M
81,Allaudeen Hameed,2011,M
329,Almas Heshmati,2015,M
401,Ambrus Kecskes,2016,M
426,Amitrajeet A. Batabyal,2018,M
115,Amitrajeet Batabyal,2012,M
235,Amitrajeet Batabyal,2014,M
216,Amrei Lahno,2014,
217,André F. Veiga,2014,M
198,Andres Almazan,2013,M
35,Andres Neumeuer,2011,M
559,Andres Silva,2019,M
166,Aniela Pietrasz Pietrasz,2013,F
283,Anjeza Kadilli,2015,F
234,Anzelika Zaiceva,2014,F
141,Ararat L. Osipian,2012,M
460,Areerat Kichkha,2018,F
72,Ariell Reshef,2011,M
149,Asuman Ozdaglar,2013,F
241,Ata Can Bertay,2014,M
79,Atheender Venkataramani,2011,M
411,Aubhik Khan,2016,M
335,Avihai Lifschitz,2015,M
519,Ayca Tekin-Koru,2019,F
192,Ayse Imrohoroglu,2013,F
476,Ayushi Narayan,2018,F
248,B. Can Karahasan,2014,M
402,Badi Baltagi,2016,M
203,Balázs Égert,2013,M
486,Batchimeg Sambalaibat,2018,F
4,Berhanu Nega,2011,M
429,Bernardus V. Doornik,2018,M
231,Bibek Adhikari,2014,M
91,Binkai Chen,2012,M
193,Bishnupriya Gupta,2013,F
157,Bjorn Imbierowicz,2013,M
288,Bochao Zhang,2015,M
146,Brendan Sweeney,2012,M
1,Brigham Russell Frandsen,2011,M
78,C.J. Krizan,2011,
51,C.Y. Yiu,2011,M
273,Cédric Jean-Laurent Elie Gorinas,2014,??
240,Carsteb Hubensack,2014,M
405,Carsten A. Holz,2016,M
37,Cesar Sosa-Padilla,2011,M
397,Chamna Yoon,2016,M
117,Changsik Kim,2012,
196,Charalampos Makatsoris,2013,M
265,Cherly Grim,2014,F
75,Chicheng Ma,2011,M
176,Chicheng Ma,2013,M
323,Ching-to Albert Ma,2015,M
459,Chrismin Tang,2018,
419,Ciril Bosch-Rosa,2018,M
334,Clément de Chaisemartin,2015,M
336,Cléo Chassonnery-Zaigouche,2015,F
353,Clas Wihlborg,2016,M
504,Cloé Garnache,2019,F
256,Codrina Rada,2014,F
375,D. Andrew Austin,2016,M
383,D. Wade Hands,2016,M
228,Dadhi Adhikari,2014,M
347,Daehyun Kim,2016,M
326,Danielken Molina,2015,M
529,Danqi Hu,2019,F
124,Daxuan Zhao,2012,M
