author,firstname,gender
"ALBERT ANDO","ALBERT","Male"
"ALEXANDER MICHAELIDES","ALEXANDER","Male"
"GUGLIELMO WEBER","GUGLIELMO","Male"
"STEFAN HOCHGUERTEL","STEFAN","Male"
"ROB ALESSIE","ROB","Male"
"AMIR YARON","AMIR","Male"
"KJETIL STORESLETTEN","KJETIL","Male"
"CHRIS TELMER","CHRIS","Male"
"DIRK KRUEGER","DIRK","Male"
"JESÚS FERNÁNDEZ-VILLAVERDE","JE","Male"
"CAROL BERTAUT","CAROL","Female"
"MICHAEL HALIASSOS","MICHAEL","Male"
"MARK HUGGETT","MARK","Male"
"GUSTAVO VENTURA","GUSTAVO","Male"
"VINCENZO QUADRINI","VINCENZO","Male"
"MICO MRKAIC","MICO","Male"
"MARCO CAGETTI","MARCO","Male"
"MARIACRISTINA DE NARDI","MARIACRISTINA","Female"
"SULE ALAN","SULE","Female"
"MARTIN BROWNING","MARTIN","Male"
"JEREMY TOBACMAN","JEREMY","Male"
"ANDREA REPETTO","ANDREA","Female"
"MARIOS ANGELETOS","MARIOS","Male"
"DAVID LAIBSON","DAVID","Male"
"MUHAMMET FAITH GUVENEN","MUHAMMET","Male"
"NICHOLAS SOULELES","NICHOLAS","Male"
"JOHN JONES","JOHN","Male"
"ERIC FRENCH","ERIC","Male"
"LUIGI PISTAFERRI","LUIGI","Male"
"GIUSEPPE BERTOLA","GIUSEPPE","Male"
"LUIGI GUISO","LUIGI","Male"
"STEVE VENTI","STEVE","Male"
"DAVID WISE","DAVID","Male"
"ARIE KAPTEYN","ARIE","Male"
"MICHAEL HURD","MICHAEL","Male"
"CHRISTINA PAXSON","CHRISTINA","Female"
"DOUG MILLER","DOUG","Male"
"JEROME BOURDIEU","JEROME","Male"
"GILLES POSTEL-VINAY","GILLES","Male"
"AKIKO SUWA-EISENMANN","AKIKO","Female"
"ANTHONY WEBB","ANTHONY","Male"
"JAMES POTERBA","JAMES","Male"
"ROBERT JENSEN","ROBERT","Male"
"JULIA CORONADO","JULIA","Female"
"MARIA PEROZEK","MARIA","Female"
"LEONARD BURMAN","LEONARD","Male"
"NORMA COE","NORMA","Female"
"WILLIAM GALE","WILLIAM","Male"
"CHARLES JONES","CHARLES","Male"
"DEBORAH LUCAS","DEBORAH","Female"
"OWEN LAMONT","OWEN","Male"
"HARRISON HONG","HARRISON","Male"
"JOSEPH CHEN","JOSEPH","Male"
"JEREMY STEIN","JEREMY","Male"
"LEONID KOGAN","LEONID","Male"
"JOHN HEATON","JOHN","Male"
"YEUNG LEWIS CHAN","YEUNG","Male"
"ADAM REED","ADAM","Male"
"MATTHEW RICHARDSON","MATTHEW","Male"
"KENNETH FRENCH","KENNETH","Male"
"ELI OFEK","ELI","Male"
"PIETRO VERONESI","PIETRO","Male"
"ALEXANDER DAVID","ALEXANDER","Male"
"MARTIN LETTAU","MARTIN","Male"
"ARVIND KRISHNAMURTHY","ARVIND","Male"
"DARRELL DUFFIE","DARRELL","Male"
"JOHN CAMPBELL","JOHN","Male"
"GREGORY DUFFEE","GREGORY","Male"
"W. ERWIN DIEWERT","ERWIN","Male"
"CHRISTIAN EHEMAN","CHRISTIAN","Male"
"J. CHRISTINA WANG","CHRISTINA","Female"
"DENNIS FIXLER","DENNIS","Male"
"CHARLES FLEISCHMAN","CHARLES","Male"
"WILLIAM GULLICKSON","WILLIAM","Male"
"MICHAEL HARPER","MICHAEL","Male"
"BRIAN SLIKER","BRIAN","Male"
"LARRY ROSENBLUM","LARRY","Male"
"FRANK WYKOFF","FRANK","Male"
"RANDAL KINOSHITA","RANDAL","Male"
"STEVE BERRY","STEVE","Male"
"DAN SICHEL","DAN","Male"
"DIETMAR MOCH","DIETMAR","Male"
"JACK TRIPLETT","JACK","Male"
"DANIEL WILSON","DANIEL","Male"
"DAVID POPP","DAVID","Male"
"M. ISHAQ NADIRI","ISHAQ","Male"
"CHARLES HULTEN","CHARLES","Male"
"MARSHALL REINSDORF","MARSHALL","Male"
"RALPH BRADLEY","RALPH","Male"
"WALTER OI","WALTER","Male"
"SHANTANU DUTTA","SHANTANU","Male"
"GEORG MULLER","GEORG","Male"
"MARK BERGEN","MARK","Male"
"DANIEL LEVY","DANIEL","Male"
"MARK DOMS","MARK","Male"
"MELVYN FUSS","MELVYN","Male"
"CHRISTOPHER FORMAN","CHRISTOPHER","Male"
"EDUARDO LEY","EDUARDO","Male"
"DAVID JOHNSON","DAVID","Male"
"MARTIN SCHNEIDER","MARTIN","Male"
"CHRISTOPHER HOUSE","CHRISTOPHER","Male"
"TOM COOLEY","TOM","Male"
"RAMON MARIMON","RAMON","Male"
"JIANG WANG","JIANG","Male"
"LU ZHANG","LU","Male"
"JOAO GOMES","JOAO","Male"
"VALERY POLKOVNICHENKO","VALERY","Male"
"ADRIANO RAMPINI","ADRIANO","Male"
"NARAYANA KOCHERLAKOTA","NARAYANA","Male"
"TONI WHITED","TONI","Female"
"RUSS COOPER","RUSS","Male"
"JOAO EJARQUE","JOAO","Male"
"ANDREW WEISS","ANDREW","Male"
"ARTURO GALINDO","ARTURO","Male"
"JENNY MINIER","JENNY","Female"
"FABIO SCHIANTARELLI","FABIO","Male"
"BURTON HOLLIFIELD","BURTON","Male"
"RICARDO CABALLERO","RICARDO","Male"
"CRAIG BURNSIDE","CRAIG","Male"
"STEVE BOND","STEVE","Male"
"INESSA LOVE","INESSA","Female"
"R.GLENN HUBBARD","GLENN","Male"
"CHARLES HIMMELBERG","CHARLES","Male"
"STANLEY ZIN","STANLEY","Male"
"BRYAN ROUTLEDGE","BRYAN","Male"
"ERZO LUTTMER","ERZO","Male"
"RICHARD LYONS","RICHARD","Male"
"PETER BLAIR HENRY","PETER","Male"
"ANUSHA CHARI","ANUSHA","Female"
"CARA LOWN","CARA","Female"
"DONALD MORGAN","DONALD","Male"
"JANICE EBERLY","JANICE","Female"
"STEPHEN BOND","STEPHEN","Male"
"JOHN VAN REENEN","JOHN","Male"
"NICHOLAS BLOOM","NICHOLAS","Male"
"ANDREW ABEL","ANDREW","Male"
"ANDREA EISFELDT","ANDREA","Female"
"KATHY YUAN","KATHY","Female"
"LUIGI ZINGALES","LUIGI","Male"
"PAOLA SAPIENZA","PAOLA","Female"
"NICK SOULELES","NICK","Male"
"ANN HUFF STEVENS","ANN","Female"
"MARIANNE PAGE","MARIANNE","Female"
"JOSEPH HOTZ","JOSEPH","Male"
"JANET CURRIE","JANET","Female"
"LENA EDLUND","LENA","Female"
"THOMAS KANE","THOMAS","Male"
"DOUGLAS STAIGER","DOUGLAS","Male"
"SUSAN DYNARSKI","SUSAN","Female"
"DAN LEVY","DAN","Male"
"MICHAEL KREMER","MICHAEL","Male"
"PAUL GOMPERS","PAUL","Male"
"ANDREW METRICK","ANDREW","Male"
"SENDHIL MULLAINATHAN","SENDHIL","Male"
"JOY ISHII","JOY","Female"
"BERNADETTE MINTON","BERNADETTE","Female"
"JEFF WURGLER","JEFF","Male"
"KAREN WRUCK","KAREN","Female"
"MATTHIAS KAHL","MATTHIAS","Male"
"MANJU PURI","MANJU","Female"
"AYDOGAN ALTI","AYDOGAN","Male"
"AMNON LEVY","AMNON","Male"
"THOMAS HUBBARD","THOMAS","Male"
"GEORGE BAKER","GEORGE","Male"
"CHESTER SPATT","CHESTER","Male"
"ROBERT MCDONALD","ROBERT","Male"
"SIMEON DJANKOV","SIMEON","Male"
"ANDREI SHLEIFER","ANDREI","Male"
"TATIANA NENOVA","TATIANA","Female"
"CARLEE MCLEISH","CARLEE","Female"
"REBECCA MENES","REBECCA","Female"
"RYAN JOHNSON","RYAN","Male"
"PAUL RHODE","PAUL","Male"
"KOLEMAN STRUMPH","KOLEMAN","Male"
"JOHN WALLIS","JOHN","Male"
"CHRISTOPHER MEISSNER","CHRISTOPHER","Male"
"MELISSA THOMASSON","MELISSA","Female"
"WILLIAM COLLINS","WILLIAM","Male"
"PETER ROUSSEAU","PETER","Male"
"RICHARD SYLLA","RICHARD","Male"
"EMMANUEL SAEZ","EMMANUEL","Male"
"THOMAS PIKETTY","THOMAS","Male"
"CAROLYN MOEHLING","CAROLYN","Female"
"SHAWN KANTOR","SHAWN","Male"
