author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,,
Adair Morse,The Timing of Paychecks: Implications for Household Expenditure and Indebtedness,University of Chicago,Jan 08 2011,8:00 AM,"Sheraton, Columbine",American Economic Association,Household Finance -- Consumer Credit,G1,Annette Vissing-Jorgensen,Northwestern University,Vikrant Vig,London Business School,Manju Puri,Duke University,Ulrike Malmendier,University of California-Berkeley,Justine Hastings,Yale University,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA,,
Adam Ashcraft,"Disagreement, Opacity and Rating Shopping in Structured Finance Markets",Federal Reserve Bank of New York,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 14",American Economic Association,Credit Ratings and the Financial Crisis,G2,Patrick Bolton,Columbia University,Marcus Opp,University of California-Berkeley,Marco Pagano,University of Naples Federico II,Chester Spatt,Carnegie Mellon University,Effi Benmelech,Harvard University,,,ADAM ASHCRAFT,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Ashcraft,Two Monetary Tools: Interest Rates and Haircuts,Federal Reserve Bank of New York,Jan 08 2011,2:30 PM,"Sheraton, Columbine",American Economic Association,Monetary Policy in Financial Crises,E5,Robin Greenwood,Harvard Business School,Tobias Adrian,Federal Reserve Bank of New York,Wei Xiong,Princeton University,Eric Swanson,Federal Reserve Bank of San Francisco,Viral Acharya,New York University,,,ADAM ASHCRAFT,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Isen,"Women’s Education and Family Behavior: Trends in Marriage, Divorce, and Fertility",University of Pennsylvania,Jan 08 2011,8:00 AM,"Sheraton, Governor's Square 17",American Economic Association,Marriage and Divorce: Perspectives from Four Countries,J1,Daniel Hamermesh,University of Texas-Austin,Jungmin Lee,Florida International University and Sogang University,Martin Halla,University of Linz,Shelly Lundberg,University of Washington,Betsey Stevenson,University of Pennsylvania,,,Adam Isen,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Storeygard,A Bright Idea for Measuring Economic Growth,Brown University,Jan 09 2011,8:00 AM,"Sheraton, Governor's Square 9",American Economic Association,Frontiers of Productivity and Output Measurement,O4,Matthew Shapiro,University of Michigan,Charles Jones,Stanford University,Emi Nakamura,Columbia University,Ana Aizcorbe,Bureau of Economic Analysis,,,,,Adam Storeygard,Male,,,,,,NA,NA,NA,NA,NA,,
Adam Szeidl,Measuring Trust in Peruvian Shantytowns,University of California-Berkeley,Jan 08 2011,8:00 AM,"Sheraton, Director's Row E",American Economic Association,"Reciprocity, Trust and Social Ties",A1,Raghuram Rajan,University of Chicago,Alberto Bisin,New York University,Gustavo Manso,Massachusetts Institute of Technology,Giacomo de Giorgi,Stanford University,,,,,ADAM SZEIDL,Male,,,,,,NA,NA,NA,NA,NA,,
Adriana Lleras-Muney,Does Staying in School (and Not Working) Prevent Teen Smoking and Drinking?,University of California-Los Angeles,Jan 07 2011,2:30 PM,"Sheraton, Denver",American Economic Association,Determinants and Consequences of Human Capital Investment,J2,Jens Ludwig,University of Chicago,Jens Ludwig,University of Chicago,Nora Gordon,Georgetown University,Jacob Vigdor,Duke University,,,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA,,
Adriana Lleras-Muney,Child Gender and Parental Investments in India: Are Boys and Girls Treated Differently?,University of California-Los Angeles,Jan 09 2011,1:00 PM,"Sheraton, Director's Row H",American Economic Association,Gender Differences,J7,Alexandra Bernasek,Colorado State University,,,,,,,,,,,ADRIANA LLERAS-MUNEY,Female,,,,,,NA,NA,NA,NA,NA,,
Adriano A. Rampini,Collateral and Capital Structure,Duke University,Jan 08 2011,2:30 PM,"Marriott, Colorado Salons G & H",American Finance Association,Capital Structure - Beyond Debt and Equity,G3,Gustavo Manso,Massachusetts Institute of Technology,Murillo Campello,University of Illinois-Urbana-Champaign,Hui Chen,Massachusetts Institute of Technology,Dmitry Livdan,University of California-Berkeley,Stewart Myers,Massachusetts Institute of Technology,,,Adriano A. Rampini,Male,ADRIANO RAMPINI,,,,,NA,NA,NA,NA,NA,,
Adrien Verdelhan,Sovereign Risk Premia,Massachusetts Institute of Technology,Jan 07 2011,10:15 AM,"Sheraton, Majestic Ballroom",American Economic Association,Sovereign Credit Risk,E6,Viral Acharya,New York University,Olivier Jeanne,Johns Hopkins University,Luigi Zingales,University of Chicago,Juan Carlos Hatchondo,Federal Reserve Bank of Richmond,,,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA,,
Adrien Verdelhan,Countercyclical Currency Risk Premia,Massachusetts Institute of Technology,Jan 07 2011,8:00 AM,"Marriott, Colorado Salons I & J",American Finance Association,International Financial Markets 1,G1,George Karolyi,Cornell University,Paolo Pasquariello,University of Michigan-Ann Arbor,Nelson Mark,University of Notre Dame,Eric Ghysels,University of North Carolina-Chapel Hill,Christopher Telmer,Carnegie Mellon University,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA,,
Adrien Verdelhan,Countercyclical Currency Risk Premia,Massachusetts Institute of Technology,Jan 08 2011,10:15 AM,"Sheraton, Governor's Square 17",American Economic Association,Predicting Exchange Rates,F3,David Papell,University of Houston,David Papell,University of Houston,Jan Groen,Federal Reserve Bank of New York,Jian Wang,Federal Reserve Bank of Dallas,Magnus Dahlquist,Stockholm University,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA,,
Ahmed Rahman,Naval Engineers and the Origins of Technology-Skill Complementarity,U.S. Naval Academy,Jan 07 2011,12:30 PM,"Hyatt Regency, Mineral Hall G",Cliometrics Society,Capital: Human and Otherwise,N7,TBA TBA,TBA,TBA TBA,TBA,TBA TBA,TBA,TBA TBA,TBA,TBA TBA,TBA,,,Ahmed Rahman,Male,,,,,,NA,NA,NA,NA,NA,,
Ahmed Tahoun,The Role of Stock Ownership by U.S. Members of Congress on the Market for Political Favors,London School of Economics,Jan 08 2011,10:15 AM,"Marriott, Colorado Salons G & H",American Finance Association,Personal Motives and Interpersonal Effects,G1,Enrico Perotti,University of Amsterdam,David Skeie,Federal Reserve Banks,Amy Dittmar,University of Michigan-Ann Arbor,Anup Agrawal,University of Alabama,,,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA,,
Ahmed Tahoun,Personal Wealth Interests of Politicians and Government Intervention in the Economy: The Bailout of the U.S. Financial Sector,London School of Economics,Jan 08 2011,8:00 AM,"Sheraton, Terrace",American Economic Association,Political Economy,P1,Patrick Warren,Clemson University,,,,,,,,,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA,,
Aimee Chin,Peer Effects from Students with Limited English Proficiency: How Does Sharing a Classroom with LEP Students Affect Native English Speakers?,University of Houston and NBER,Jan 09 2011,10:15 AM,"Sheraton, Governor's Square 17",American Economic Association,Immigration and Education,I2,Aimee Chin,University of Houston and NBER,Joshua Angrist,Massachusetts Institute of Technology and NBER,Aimee Chin,University of Houston and NBER,Kevin Lang,Boston University and NBER,Kalena Cortes,Syracuse University,,,AIMEE CHIN,Female,,,,,,NA,NA,NA,NA,NA,,
Akito Matsumoto,International Risk Sharing During the Globalization Era,IMF,Jan 08 2011,10:15 AM,"Sheraton, Plaza Court 3",Econometric Society,Financial Integration and International Portfolios,F3,Eric van Wincoop,University of Virginia,Hui Tong,Research International Monetary Fund,Nicolas Coeurdacier,London Business School,Fabrizio Perri,University of Minnesota,Robert Kollmann,ECARES Universite Libre de Bruxelles,,,AKITO MATSUMOTO,Male,,,,,,NA,NA,NA,NA,NA,,
Alan B. Krueger,National Economic Policies of the President,U.S. Department of the Treasury,Jan 08 2011,2:30 PM,"Marriott, Mattie Silks",International Banking Economics & Finance Association,Andrew Brimmer Policy Forum,E5,Andrew Brimmer,Brimmer & Company and University of Massachusetts-Amherst,,,,,,,,,,,Alan B. Krueger,Male,,,,,,NA,NA,NA,NA,NA,,
Alan Deardorff,A Perspective on Regionalism,University of Michigan,Jan 07 2011,2:30 PM,"Marriott, Pomeroy",International Trade & Finance Association,Round Table on Regionalism,F1,Max Kreinin,Michigan State University,Sven Arndt,Claremont McKenna College,Max Kreinin,Michigan State University,,,,,,,ALAN DEARDORFF,Male,,,,,,NA,NA,NA,NA,NA,,
Alan Krueger,Build America Bonds: A New Approach to Municipal Finance,Princeton University and U.S. Treasury Department,Jan 07 2011,10:15 AM,"Sheraton, Silver",American Economic Association,Financial Markets and State and Local Government Borrowing,H7,James Poterba,Massachusetts Institute of Technology and NBER,Kim Rueben,Urban Institute,John Chalmers,University of Oregon,Andrew Biggs,American Enterprise Institute,David Joulfaian,U.S. Treasury Department,,,ALAN KRUEGER,Male,,,,,,NA,NA,NA,NA,NA,,
Alberto Abadie,"World Trade Center Tenant Relocation Patterns after September 11th, 2001",Harvard University,Jan 08 2011,10:15 AM,"Sheraton, Governor's Square 15",American Economic Association,Economic Impacts of the September 11 Attacks: A Ten-Year Retrospective,H8,Adam Rose,University of Southern California,Martin Feldstein,Harvard University and NBER,Edward Glaeser,Harvard University,Alan Krueger,Princeton University,Bryan Roberts,Dept of Homeland Security,,,ALBERTO ABADIE,Male,,,,,,NA,NA,NA,NA,NA,,
Alberto Salvo,Consumer Choice Between Gasoline and Sugarcane Ethanol,Northwestern University,Jan 07 2011,8:00 AM,"Sheraton, Governor's Square 17",American Economic Association,Motor Vehicle Fuel,Q5,Jonathan Edward Hughes,University of Colorado,,,,,,,,,,,ALBERTO SALVO,Male,,,,,,NA,NA,NA,NA,NA,,
Aldo Rustichini,Gender Differences in Cooperation with Group Membership,University of Minnesota,Jan 07 2011,2:30 PM,"Hyatt Regency, Mineral Hall F",Economic Science Association,Groups in Economic Decision Making,C9,Jingjing Zhang,University of Zurich,Marie Rigdon,University of Michigan,Marco Castillo,George Mason University,Guillaume Frechette,New York University,Sherry Li,University of Texas-Dallas,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA,,
Aldo Rustichini,"Self-confidence, Social Signaling, and Bayesian Updating",University of Minnesota,Jan 07 2011,10:15 AM,"Hyatt Regency, Mineral Hall A",Society for the Advancement of Behavioral Economics,"Self-Control, Self-Confidence, and Self-Deception",D3,Gary Charness,University of California-Santa Barbara,Uri Gneezy,University of California-San Diego,Zack Grossman,University of California-Berkeley,Stefano dellaVigna,University of California-Berkeley,Stephan Meier,Columbia University,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA,,
Aldo Rustichini,Skill Versus Luck in Social Comparisons: Causes of Social Reward Differences Encoded in the Human Orbitofrontal Cortex,University of Minnesota,Jan 09 2011,8:00 AM,"Sheraton, Director's Row I",American Economic Association,Relative Concerns and the Evolutionary Foundations of Preferences,D8,Ed Hopkins,University of Edinburgh,,,,,,,,,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA,,
Aleh Tsyvinski,Prizes and Patents: Using Market Signals to Provide Incentives for Innovations,Yale University,Jan 09 2011,8:00 AM,"Sheraton, Century",American Economic Association,Innovation and Mechanism Design,L5,Hugo Hopenhayn,University of California-Los Angeles,,,,,,,,,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA,,
Aleh Tsyvinski,Optimal Dynamic Taxes,Yale University,Jan 09 2011,1:00 PM,"Sheraton, Plaza Court 2",Econometric Society,Optimal Taxation and Insurance,H2,,,,,,,,,,,,,ALEH TSYVINSKI,Male,,,,,,NA,NA,NA,NA,NA,,
Alessandra Cassar,Warfare and Social Preferences in Children: Experimental Evidence from the Republic of Georgia,University of San Francisco,Jan 07 2011,8:00 AM,"Sheraton, Gold",American Economic Association,"Conflict: Beginnings, Ends, and Aftermaths",O1,Eva Vivalt,University of California-Berkeley,Patricia Justino,University of Sussex,Ioana Petrescu,American Enterprise Institute,Gianmarco Leon,University of California-Berkeley,Pauline Grosjean,University of San Francisco,,,Alessandra Cassar,Female,,,,,,NA,NA,NA,NA,NA,,
Alessandro Lizzeri,Deliberation,New York University,Jan 07 2011,8:00 AM,"Sheraton, Plaza Court 6",Econometric Society,Original Themes in Economic Theory,C6,,,Marzena Rostek,University of Wisconsin-Madison,John Morgan,University of California-Berkeley,Jin Li,,David Miller,University of California-San Diego,,,Alessandro Lizzeri,Male,,,,,,NA,NA,NA,NA,NA,,
Alessandro Pavan,Managerial Turnover in a Changing World,Northwestern University,Jan 09 2011,1:00 PM,"Sheraton, Plaza Court 2",Econometric Society,Optimal Taxation and Insurance,H2,,,,,,,,,,,,,ALESSANDRO PAVAN,Male,,,,,,NA,NA,NA,NA,NA,,
Alessandro Tarozzi,"Time Inconsistency, Expectations and Technology Adoption: The Case of Insecticide Treated Nets",Duke University,Jan 07 2011,10:15 AM,"Sheraton, Plaza Court 8",Econometric Society,Development I: Household Choices,O1,Robert Townsend,Massachusetts Institute of Technology,Nathaniel Hendren,Massachusetts Institute of Technology,Christophe Gouel,INRA,Maria Nieves Valdes,Universidad Carlos III de Madrid,Aprajit Mahajan,Stanford University,,,Alessandro Tarozzi,Male,,,,,,NA,NA,NA,NA,NA,,
Alex Edmans,"Risk and the CEO Market: Why Do Some Large Firms Hire Highly-Paid, Low-Talent CEOs?",University of Pennsylvania,Jan 09 2011,8:00 AM,"Marriott, Colorado Salons A & B",American Finance Association,Corporate Governance - Theory,G3,Paolo Fulghieri,University of North Carolina-Chapel Hill,Neng Wang,Columbia University,Naveen Khanna,Michigan State University,David Dicks,University of North Carlonia-Chapel Hill,,,,,ALEX EDMANS,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander David,What Ties Return Volatilities to Price Valuations and Fundamentals?,University of Calgary,Jan 08 2011,8:00 AM,"Marriott, Colorado Salons I & J",American Finance Association,Term Structure and Volatility,G1,Scott Joslin,Massachusetts Institute of Technology,David Bates,University of Iowa,Philippe Mueller,London School of Economics and Political Science,Peter Feldhutter,Copenhagen Business School,Andrea Vedolin,University of Lugano,,,ALEXANDER DAVID,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander David,Investor and Central Bank Uncertainty and Fear Measures Embedded in Index Options,University of Calgary,Jan 08 2011,2:30 PM,"Sheraton, Spruce",American Economic Association,Financial Market Reactions to News,G1,Douglas Pearce,North Carolina State University,,,,,,,,,,,ALEXANDER DAVID,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Michaelides,Quantifying the Distortionary Fiscal Cost of the 'Bailout',London School of Economics,Jan 09 2011,10:15 AM,"Sheraton, Gold",American Economic Association,Fiscal Interventions,E6,Stephen Buckles,Vanderbilt University,,,,,,,,,,,ALEXANDER MICHAELIDES,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Pfaff,Heterogeneous Forest Impacts of Transport Infrastructure: Spatial Frontier Dynamics & Impacts of Brazilian Amazon Road Changes,Duke University,Jan 08 2011,8:00 AM,"Hyatt Regency, Capitol 6",Association of Environmental & Resource Economists,Spatial Frontiers in Environmental and Resource Economics,Q2,David Zilberman,"University of California, Berkeley",Scott Lowe,Boise State University,Kelsey Jack,Harvard University,James Sanchirico,University of California-Davis,Antonio Bento,Cornell University,Matthew Kahn,University of California-Los Angeles,ALEXANDER PFAFF,Male,,,,,,NA,NA,NA,NA,NA,,
Alexander Strand,Does Disability Insurance Receipt Discourage Work? Using Examiner Assignment to Estimate Causal Effects of SSDI Receipt,Social Security Administration,Jan 08 2011,10:15 AM,"Sheraton, Spruce",American Economic Association,Labor Supply Effects of Disability Insurance,H5,Mark Duggan,University of Maryland,Hilary Hoynes,University of California-Davis,John Bound,University of Michigan,Richard Burkhauser,Cornell University,Julie Cullen,University of California-San Diego,,,Alexander Strand,Male,,,,,,NA,NA,NA,NA,NA,,
Ali Hortacsu,Are Consumers Affected by Durable Goods Makers' Financial Distress? The Case of Auto Manufacturers,University of Chicago,Jan 09 2011,1:00 PM,"Sheraton, Governor's Square 17",American Economic Association,Economics of the Automobile Sector,L9,James Sallee,University of Chicago,Florian Zettelmeyer,Northwestern University,Liran Einav,Stanford University,Erich Muehlegger,Harvard University,Severin Borenstein,University of California-Berkeley,,,ALI HORTACSU,Male,,,,,,NA,NA,NA,NA,NA,,
Ali Hortacsu,"Information, Default Risk and Liquidity Demand in Canada during the Financial Crisis",University of Chicago,Jan 07 2011,10:15 AM,"Sheraton, Governor's Square 9",Industrial Organization Society,"Markets, Regulation, and Firm Behavior",L1,Francine Lafontaine,University of Michigan,Daniel Ackerberg,University of Michigan,Jeremy Fox,University of Michigan,John Asker,New York University,Justine Hastings,Brown University,,,ALI HORTACSU,Male,,,,,,NA,NA,NA,NA,NA,,
Ali Shourideh,"Adverse Selection, Reputation and Sudden Collapses in Secondary Loan Markets",University of Minnesota and Federal Reserve Bank of Minneapolis,Jan 08 2011,2:30 PM,"Sheraton, Plaza Court 1",Econometric Society,Macroeconomics and Finance,E0,,,,,,,,,,,,,Ali Shourideh,Male,,,,,,NA,NA,NA,NA,NA,,
Allan Timmermann,The Predictability of European Mutual Fund Performance,University of California-San Diego,Jan 09 2011,8:00 AM,"Sheraton, Gold",American Economic Association,International Investments and Returns,F3,Ariane Szafarz,Universite Libre de Bruxelles,,,,,,,,,,,ALLAN TIMMERMANN,Male,,,,,,NA,NA,NA,NA,NA,,
Allan Timmermann,Forecast Rationality Tests Based on Multi-Horizon Bounds,University of California-San Diego,Jan 08 2011,10:15 AM,"Sheraton, Plaza Court 8",Econometric Society,Journal of Business and Economic Statistics Invited Paper: Forecast Rationality Tests Based on Multi-Horizon Bounds,C3,,,Dean Croushore,University of Richmond,Herman van Dijk,Erasmus University,Lennart Hoogerheide,Erasmus University,Kajal Lahiri,SUNY-Albany,Barbara Rossi,Duke University,ALLAN TIMMERMANN,Male,,,,,,NA,NA,NA,NA,NA,,
Allan Timmermann,Predictability of output growth and inflation: A multi-horizon survey approach,University of California-San Diego,Jan 08 2011,2:30 PM,"Sheraton, Governor's Square 11",American Economic Association,Monetary Policy and the Term Structure of Forecasts,E5,Kajal Lahiri,University at Albany,Todd Clark,Federal Reserve Bank of Kansas City,Ruslan Bikbov,Federal Reserve Board,Min Wei,Federal Reserve Board,Arturo Estrella,Rensselaer Polytechnic Institute,,,ALLAN TIMMERMANN,Male,,,,,,NA,NA,NA,NA,NA,,
Alp Simsek,Fire Sales in a Model of Complexity,Massachusetts Institute of Technology,Jan 07 2011,10:15 AM,"Sheraton, Denver",Econometric Society,Theoretical Models of Financial Crises,E4,George Pennacchi,University of Illinois,Peter DeMarzo,Stanford University,Gary B. Gorton,Yale University,George Pennacchi,University of Illinois,,,,,Alp Simsek,Male,,,,,,NA,NA,NA,NA,NA,,
Alvin Murphy,A Dynamic Model of Property Value Hedonics: Incorporating Forward-Looking Behavior into the Hedonic Approach,Washington University-St. Louis,Jan 08 2011,2:30 PM,"Sheraton, Gold",American Economic Association/Women in Real Estate Network,Re-Thinking House Price Models,R1,Marsha Courchane,Charles River Associates,David Harrison,Texas Tech University,Tsur Somerville,University of British Columbia,John Clapp,University of Connecticut,Tom Thibodeau,University of Colorado,,,ALVIN MURPHY,Male,,,,,,NA,NA,NA,NA,NA,,
Alvin Murphy,A Dynamic Model of Demand for Houses and Neighborhoods,Washington University-St. Louis,Jan 09 2011,8:00 AM,"Marriott, Denver Suite I, II & III",American Real Estate & Urban Economic Association,Interest Rates and House Price Dynamics,E5,Morris Davis,University of Wisconsin,Roberto Pinheiro,University of Colorado-Boulder,Andra Ghent,Baruch College,Yongqiang Chu,University of South Carolina,Morris Davis,University of Wisconsin,,,ALVIN MURPHY,Male,,,,,,NA,NA,NA,NA,NA,,
