author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Aaron Chalfin,Using Wide Data to Target Crime Control,University of Chicago,Jan 05 2016,8:00 AM,"Hilton Union Square, Imperial B",American Economic Association,"Predictive Cities (H7, C1)",,Edward L. Glaeser,Harvard University,Susan Athey,Stanford University,,,,,,,,,Aaron Chalfin,Male,,,,,,NA,NA,NA,NA,NA
Aaron Sojourner,The Role of Time Preferences and Exponential-Growth Bias in Retirement Savings,University of Minnesota,Jan 04 2016,2:30 PM,"Hilton Union Square, Yosemite A",American Economic Association,"New Evidence on Lifecycle Models of Retirement Saving (D1, D9)",,Olivia S. Mitchell,University of Pennsylvania,Alessandro Previtero,University of Texas-Austin,David Laibson,Harvard University,Robert Clark,North Carolina State University,Jeffrey R. Brown,University of Illinois-Urbana-Champaign,,,Aaron Sojourner,Male,,,,,,NA,NA,NA,NA,NA
Abe Dunn,What Medical Conditions Are Driving the Spending Slowdown? An Analysis Using the New Health Care Account from the Bureau of Economic Analysis,U.S. Bureau of Economic Analysis,Jan 04 2016,10:15 AM,"Marriott Marquis, Sierra I",Society of Government Economists,It’s All about Technology,O3,Rachel Soloveichik,US Bureau of Economic Analysis,Amitabh Chandra,Harvard University,David Mowery,University of California-Berkeley,Jon Samuels,U.S. Bureau of Economic Analysis,Traci L. Mach,Federal Reserve Board,,,Abe Dunn,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,"From Proof of Concept to Scalable Policies: Challenges and Solutions, with an Application",Massachusetts Institute of Technology,Jan 04 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Topics in Development Economics,I2,Christian Ahlin,Michigan State University,,,,,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Strategic Communication and Learning in Networks,Massachusetts Institute of Technology,Jan 03 2016,10:15 AM,"Marriott Marquis, Sierra B",Economic Science Association,"Economics Experiments on Networks (C9, D3)",,Gary Charness,University of California-Santa Barbara,,,,,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Changes in Social Network Structure in Response to Exposure to Formal Credit Markets,Massachusetts Institute of Technology,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 21",American Economic Association,Network Effects,I2,Rachel Kranton,Duke University,,,,,,,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Abhijit Banerjee,Can E-Governance Reduce Capture of Public Programs? Experimental Evidence from a Financial Reform of India's Employment Guarantee,Massachusetts Institute of Technology,Jan 05 2016,8:00 AM,"Hilton Union Square, Golden Gate 1 & 2",American Economic Association,"Using Information Technology to Improve Public Programs: Evidence from Asia, Africa, and Latin America (O1, H8)",,Karthik Muralidharan,University of California-San Diego,Paul Niehaus,University of California-San Diego,Clement Imbert,Oxford University,Ashok Kotwal,University of British Columbia,,,,,ABHIJIT BANERJEE,Male,,,,,,NA,NA,NA,NA,NA
Adair Morse,Stock Returns over the FOMC Cycle,University of California-Berkeley,Jan 05 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 14 & 15",American Finance Association,Governments and Stock Prices,G1,Jules van Binsbergen,University of Pennsylvania,David Lucca,Federal Reserve Bank of New York,Chester Spatt,Carnegie Mellon University,Lorenz Kueng,Northwestern University,,,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA
Adam Clark-Joseph,Sparse Signals in the Cross-Section of Returns,University of Illinois,Jan 05 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Uncovering Alpha: Informed Traders across the World,G1,Lauren Cohen,Harvard Business School,Bryan Kelly,University of Chicago,Huaizhi Chen,London School of Economics,Stefano DellaVigna,University of California-Berkeley,Karl Diether,Dartmouth College,,,Adam Clark-Joseph,Male,,,,,,NA,NA,NA,NA,NA
Adam Isen,The Effect of High-Skilled Immigration on Patenting and Employment: Evidence from H1B Visa Lotteries,U.S. Department of the Treasury,Jan 04 2016,8:00 AM,"Parc 55, Balboa",Labor & Employment Relations Association,Skilled Worker Immigration and the H1B Program,J6,Katharine G. Abraham,University of Maryland,William Kerr,Harvard Business School,,,,,,,,,Adam Isen,Male,,,,,,NA,NA,NA,NA,NA
Adam Isen,The Effect of Pension Income on Elderly Earnings: Evidence from the Social Security Notch and Full Population Data,U.S. Department of the Treasury,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 25",American Economic Association,Determinants of Labor Supply,J2,Lee Lockwood,Northwestern University,,,,,,,,,,,Adam Isen,Male,,,,,,NA,NA,NA,NA,NA
Adam Osman,Occupational Choice under Credit and Information Constraints,University of Illinois-Urbana Champaign,Jan 04 2016,2:30 PM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Information, Expectations, and Education Choices II (D8, I2)",,Basit Zafar,Federal Reserve Bank of New York,Arnaud Maurel,Duke University,Nathaniel Hilger,Brown University,Francisco Gallego,Universidad Catolica de Chile,Matthew Wiswall,Arizona State University,,,Adam Osman,Male,,,,,,NA,NA,NA,NA,NA
Adam Osman,Exporting and Firm Performance: Evidence from a Randomized Trial,UIUC,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,"Globalization, Organization, and Management: Empirical Evidence from Micro Level Data (F2, F6)",,Laura Alfaro,Harvard Business School,Raffaella Sadun,Harvard Business School,David Atkin,Massachusetts Institute of Technology,Claudia Steinwender,Harvard Business School,David Donaldson,Stanford University,,,Adam Osman,Male,,,,,,NA,NA,NA,NA,NA
Adam Sacarny,Healthcare Exceptionalism? Productivity and Allocation in the U.S. Healthcare Sector,Columbia University,Jan 05 2016,1:00 PM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Productivity, Regulation and Allocation: Macro, Industry- and Firm-Level Evidence (D2, O4)",,Catherine L. Mann,OECD,Jan K. De Loecker,Princeton University,Jonathan Haskel,Imperial College London,Catherine L Mann,OECD,Daniel Sichel,Wellesley College,,,Adam Sacarny,Male,,,,,,NA,NA,NA,NA,NA
Adi Sunderam,Gradualism in Monetary Policy: A Time-Consistency Problem?,Harvard Business School,Jan 03 2016,10:15 AM,"Hilton Union Square, Yosemite B",American Economic Association,"Macro, Money, and Finance (E5, G2)",,Markus K. Brunnermeier,Princeton University,Valentin Haddad,Princeton University,Samuel Hanson,Harvard Business School,Martin Oehmke,Columbia University,Skander Van den Heuvel,Federal Reserve Board,,,Adi Sunderam,Male,,,,,,NA,NA,NA,NA,NA
Adrian Buss,Where Experience Matters: Asset Allocation and Asset Pricing with Opaque and Illiquid Assets,INSEAD,Jan 03 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 10 & 11",American Finance Association,Institutional Investors and Alternative Assets,G1,Anna Pavlova,London Business School,Thomas Gilbert,University of Washington,Andrea M. Buffa,Boston University,Christian Heyerdahl-Larsen,London Business School,Ludovic Phalippou,University of Oxford,,,Adrian Buss,Male,,,,,,NA,NA,NA,NA,NA
Adrien Matray,Do Managers Overreact to Salient Risks? Evidence from Hurricane Strikes,Princeton University,Jan 04 2016,10:15 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Behavioral CEOs,G3,Geoffrey Tate,University of North Carolina,Ran Duchin,University of Washington,Mara Faccio,Purdue University,Vikram Nanda,Rutgers University,Tim Loughran,University of Notre Dame,,,Adrien Matray,Male,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,Nominal Exchange Rate Stationarity and Long-Term Bond Returns,Massachusetts Institute of Technology,Jan 04 2016,8:00 AM,"Marriott Marquis, Nob Hill A & B",American Finance Association,Advances in International Finance,G1,Matteo Maggiori,Harvard University,Stefano Giglio,University of Chicago,Pablo Ottonello,University of Michigan,Stavros Panageas,University of Chicago,Paolo Cavallino,New York University,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,The Volatility of International Capital Flows,Massachusetts Institute of Technology,Jan 05 2016,1:00 PM,"Hilton Union Square, Golden Gate 6 & 7",American Economic Association,"International Risks: Pass-Through in Currencies and Capital Flows (F4, F3)",,Christian Lundblad,University of North Carolina,Andreas Stathopoulos,University of Washington,Sylvain Leduc,Federal Reserve Bank of San Francisco,Andrea Vedolin,London School of Economics,Ivan Werning,Massachusetts Institute of Technology,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Adrien Verdelhan,Uncertainty and International Capital Flows,Massachusetts Institute of Technology,Jan 03 2016,8:00 AM,"Marriott Marquis, Nob Hill C & D",American Finance Association,Aggregate Volatility Shocks: Real and Financial Effects,G1,Stefano Giglio,University of Chicago,Helene Rey,London Business School,Eric Ghysels,University of North Carolina,Ian Dew-Becker,Northwestern University,,,,,ADRIEN VERDELHAN,Male,,,,,,NA,NA,NA,NA,NA
Ahmed Tahoun,The Power of the Street: Evidence from Egypt's Arab Spring,London Business School,Jan 04 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 12 & 13",American Finance Association,Social Media and Textual Analysis in Finance,G1,Lily Fang,Massachusetts Institute of Technology,Justin Wolfers,University of Michigan,David Lucca,Federal Reserve Bank of New York,Eugene Soltes,Harvard Business School,Joseph Engelberg,University of California-San Diego,,,Ahmed Tahoun,Male,,,,,,NA,NA,NA,NA,NA
Alan B. Krueger,Disruptive Change in the Taxi Business: The Case of Uber,Princeton University,Jan 05 2016,8:00 AM,"Hilton Union Square, Plaza B",American Economic Association,Labor Markets with Occupational Licensing: Their Economic Effects,J4,Alexandre Mas,Princeton University,Paul Joskow,Sloan Foundation and Massachusetts Institute of Technology,Jesse Rothstein,University of California-Berkeley,,,,,,,Alan B. Krueger,Male,,,,,,NA,NA,NA,NA,NA
Alan B. Krueger,Work in the Sharing Economy,Princeton University,Jan 03 2016,4:45 PM,"Parc 55, Cyril Magnin II",Labor & Employment Relations Association,Featured Plenary: The Changing Job Market: What to Expect,J1,Jesse Rothstein,University of California-Berkeley,,,,,,,,,,,Alan B. Krueger,Male,,,,,,NA,NA,NA,NA,NA
Alan J. Auerbach,Effects of Fiscal Shocks in a Globalized World,University of California-Berkeley and NBER,Jan 04 2016,8:00 AM,"Hilton Union Square, Continental Parlors 7 & 8",American Economic Association,"Macroeconomic Effects of Fiscal Policy Changes (E6, C8)",,Dmitriy Sergeyev,Bocconi University,Ethan Ilzetzki,London School of Economics,Johannes Wieland,University of California-San Diego,Steven Pennings,World Bank,Wataru Miyamoto,Bank of Canada,,,ALAN J. AUERBACH,Male,ALAN AUERBACH,,,,,NA,NA,NA,NA,NA
Alan M. Taylor,UK Monetary and Credit Policy around the Radcliffe Report,University of California-Davis,Jan 03 2016,2:30 PM,"Hilton Union Square, Union Square 24",Cliometric Society,Money and Banking: Local and Global,N2,Claude Diebolt,University of Strasbourg,Vincent Bignon,Banque of France,Eric Monnet,Bank of France,Sumner La Croix,University of Hawaii,Gary Richardson,University of California-Irvine,,,Alan M. Taylor,Male,ALAN TAYLOR,,,,,NA,NA,NA,NA,NA
Alan Olmstead,The ‘New History of Capitalism’ and Slavery,University of California-Davis,Jan 03 2016,10:15 AM,"Hilton Union Square, Union Square 24",Cliometric Society,"New Wine in Old Bottles: Capitalism, Monetary Policy, Panics and War",N4,Claude Diebolt,University of Strasbourg,Robert Margo,Boston University,Michael Haupert,University of Wisconsin-La Crosse,Jon Moen,University of Mississippi,Claude Diebolt,University of Strasbourg,,,ALAN OLMSTEAD,Male,,,,,,NA,NA,NA,NA,NA
Alberto Bisin,On the Joint Evolution of Culture and Institutions,New York University,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 3 & 4",American Economic Association,"Persistence and Culture in Political Economy (Z1, D7)",,Filipe Campante,Harvard University,Saumitra Jha,Stanford University,Noam Yuchtman,University of California-Berkeley,,,,,,,ALBERTO BISIN,Male,,,,,,NA,NA,NA,NA,NA
Alejandro Molnar,Substituting Bike Rides for Taxi Trips: Evidence from the Launch of the Citibike Program in New York City,Vanderbilt University,Jan 05 2016,12:30 PM,"Parc 55, Powell I",Transportation & Public Utilities Group,Topics in Transportation Economics,L9,Patrick McCarthy,Georgia Institute of Technology,James Nolan,University of Saskatchewan,Jeffrey Cohen,University of Connecticut,Jenny Lin,Oregon State University,Matthew Holien,San Jose State University,,,Alejandro Molnar,Male,,,,,,NA,NA,NA,NA,NA
Alessandra Voena,"Selling Daughters: Age of Marriage, Income Shocks and Bride Price Tradition",University of Chicago,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 22",American Economic Association,"Causes and Consequences of Women's Empowerment (D1, I3)",,Anja Tolonen,University of Gothenburg,Marcella Alsan,Stanford University,Michèle Tertilt,University of Mannheim,Jesse Anttila-Hughes,University of San Francisco,Diana Greenwald,University of Oxford,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA
Alessandra Voena,Bride Price and the Returns to Education for Women,University of Chicago,Jan 05 2016,10:15 AM,"Hilton Union Square, Golden Gate 3 & 4",American Economic Association,Micro and Macro Perspectives on Families and Development,O1,Michele Tertilt,University of Mannheim,Erica Field,Duke University,Alice Schoonbroodt,University of Iowa,Nava Ashraf,Harvard University,Marianne Bertrand,University of Chicago,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA
Alessandro Barattieri,Asymmetric Trade Liberalizations and Current Account Dynamics,ESG UQAM and Collegio Carlo Alberto,Jan 03 2016,8:00 AM,"Hilton Union Square, Yosemite A",American Economic Association,International Trade and Macroeconomics,F4,Fabio Ghironi,University of Washington and NBER,Julien Martin,ESG UQAM,Paul R. Bergin,University of California-Davis and NBER,Stefania Garetto,Boston University,Giancarlo Corsetti,University of Cambridge and CEPR,,,ALESSANDRO BARATTIERI,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Barattieri,Financial Sector Interconnectedness and Monetary Policy Transmission,ESG UQAM and Collegio Carlo Alberto,Jan 05 2016,1:00 PM,"Hilton Union Square, Union Square 19",Econometric Society,Debt Constraints and the Macroeconomy,A1,Patrick J. Kehoe,University of Minnesota,,,,,,,,,,,ALESSANDRO BARATTIERI,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Dovis,Indeterminacy in Sovereign Debt Market: A Quantitative Analysis,Pennsylvania State University,Jan 04 2016,10:15 AM,"Hilton Union Square, Union Square 1 & 2",Society for Economic Dynamics,"Multiple Equilibria in Models of Sovereign Debt (F3, G1)",,Luigi Bocola,Northwestern University,,,,,,,,,,,Alessandro Dovis,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Lizzeri,"Frictions in a Competitive, Regulated Market: Evidence from Taxis",New York University,Jan 03 2016,10:15 AM,"Marriott Marquis, Pacific I",Society for Institutional and Organizational Economics,"Institutional Design and Organizational Performance (D2, D7)",,F. Andrew Hanssen,Clemson University,Jean Francois Houde,University of Pennsylvania,J. Anthony Cookson,University of Colorado,Robert K. Fleck,Clemson University,Stephen Haber,Stanford University,,,Alessandro Lizzeri,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Pavan,Matching Plans for Agents with Vertically and Horizontally Differentiated Preferences,Northwestern University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 20",Econometric Society,Advances in Matching Theory,A1,Alessandro Pavan,Northwestern University,,,,,,,,,,,ALESSANDRO PAVAN,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Previtero,The Fetal Origins Hypothesis in Finance: Prenatal Environment and Investor Behavior,University of Texas-Austin,Jan 04 2016,8:00 AM,"Marriott Marquis, Yerba Buena Salons 1 & 2",American Finance Association,Behavioral Finance,G1,Christopher Parsons,University of California-San Diego,Yuval Rottenstreich,University of California-San Diego,John Beshears,Harvard University,Malcolm Baker,Harvard Business School,Richard Townsend,Dartmouth College,,,Alessandro Previtero,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,Capital Controls or Real Exchange Rate Policy?,Johns Hopkins University,Jan 04 2016,8:00 AM,"Hilton Union Square, Union Square 17 & 18",American Economic Association,"Capital Controls (F3, E6)",,Zheng Liu,Federal Reserve Bank of San Francisco,Nicolas Magud,International Monetary Fund,Michael B. Devereux,University of British Columbia,Martin Uribe,Columbia University,Kinda Hachem,University of Chicago,,,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
Alessandro Rebucci,Does Easing Monetary Policy Increase Financial Instability?,Johns Hopkins University,Jan 03 2016,2:30 PM,"Marriott Marquis, Sierra H","International Banking, Economics and Finance Association","The Market Microstructure of Monetary Policy (G1, E5)",,Michael Ehrmann,Bank of Canada,Allen Zhang,U.S. Department of Treasury,David Lucca,Federal Reserve Bank of New York,Sascha Steffen,University of Mannheim and ZEW,Zheng Liu,Federal Reserve Bank of San Francisco,,,ALESSANDRO REBUCCI,Male,,,,,,NA,NA,NA,NA,NA
