paper_title,author,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation
An Anatomy of Arbitrageurs: Evidence from Open-End Structured Funds,Jie Li,INSEAD,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
When Good News Is Not That Good: The Asymmetric Effect of Correlation Uncertainty,Junya Jiang,University of North Carolina-Charlotte,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Are Mortgage Regulations Affecting Entrepreneurship?,Stephanie Johnson,Northwestern University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
As Uncertain as Taxes,Peter Brok,Tilburg University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Banking Competition Revisited: Shadow Banks vs. Commercial Banks,Chong Shu,University of Southern California,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
From Banks’ Macrofinancing to Endogenous Money Creation under Flexible Prices,Xuan Wang,University of Oxford,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Best Friend or Worst Enemy? --Dynamics and Multiple Equilibria with Arbitrage, Production and Collateral Constraints",Ally Quan Zhang,Swiss Finance Institute and University of Zurich,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Capital Intensity and Investment Shocks: Implications for Stock Returns,Jiri Knesl,University of British Columbia,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Cash and Connections: The Importance of CFO Networks,Yaoyi Xi,University of Kansas,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
CEO Buying: Strategic News Tone Dispersion Around Purchasing Months,Dewan Mostafizur Rahman,University of Queensland,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
The Market with Negative Expected Return: Shrouded Fees and Ex-Post Returns of High Yield Structured Products,Petra Vokatá,Aalto University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Cheaper Is Not Better: On the Superior Performance of High-Fee Mutual Funds,Jinfei Sheng,University of British Columbia,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Cheaper Is Not Better: On the Superior Performance of High-Fee Mutual Funds,Mikhail Simutin,University of Toronto,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Cheaper Is Not Better: On the Superior Performance of High-Fee Mutual Funds,Terry Zhang,University of British Columbia,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Diversification in Lottery-Like Features and Portfolio Pricing Discounts,Xin Liu,University of Hong Kong,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Competition and Adverse Selection in an Online Lending Market,Don Carmichael,University of Houston,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Corporate Bond Dealers' Inventory Risk and FOMC,Wojciech Zurowski,"Duke University, Swiss Finance Institute and University of Lugano",Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Corporate Bond Dealers' Inventory Risk and FOMC,Alessio Ruzza,University of Lugano & Swiss Finance Institute,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Corporate Inversions and Cost of Equity: A Tale of Two Strategies,Tianpeng Zhou,Michigan State University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Credit Spreads, Daily Business Cycle, and Corporate Bond Returns Predictability",Alexey Ivashchenko,University of Lausanne,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"December Doldrums, Investor Distraction, and Stock Market Reaction to Unscheduled News Events",Nikhil Paradkar,Georgia Institute of Technology,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Demand Shocks, Financial Integration, and Local Economic Conditions",Minh Phan,Columbia University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Capital Controls and Misallocation in the Market for Risk,Lorena Keller,Northwestern University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Idiosyncratic Shocks, Geographic Spillovers, and Asset Prices",Sima Jannati,University of Miami,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Do Peer Firms Affect Corporate Cash Saving Decisions?,Yuan Zhuang,Singapore Management University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Homophily, Information Asymmetry and Performance in the Angels Market",Buvaneshwaran Venugopal,University of Houston,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Do We Want These Two to Tango? On Zombie Firms and Stressed Banks in Europe,Manuela Storz,Frankfurt School of Finance & Management,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Do We Want These Two to Tango? On Zombie Firms and Stressed Banks in Europe,Michael Koetter,Halle Institute for Economic Research,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Do We Want These Two to Tango? On Zombie Firms and Stressed Banks in Europe,Ralph Setzer,European Central Bank,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Do We Want These Two to Tango? On Zombie Firms and Stressed Banks in Europe,Andreas Westphal,European Central Bank,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Does Political Corruption Impede Firm Innovation? Evidence from the United States,Qianqian Huang,City University of Hong Kong,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Does Political Corruption Impede Firm Innovation? Evidence from the United States,Tao Yuan,City University of Hong Kong,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Uniform Mortgage Regulation and Distortion in Capital Allocation,Teng Zhang,Georgia Institute of Technology,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Effect of Financial Globalization on Bank Risk: Role of Rollover Risk,Xiang Li,Peking University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Effect of Financial Globalization on Bank Risk: Role of Rollover Risk,Dan Su,University of Minnesota,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Endogenous Rare Disaster Risk: Solution for Counter-Cyclical Excess Return and Volatility?,Ville Savolainen,Hanken School of Economics,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Environmental Social (ES) Engagement and Stock Returns: A Dynamic Perspective,Jiali Yan,Lancaster University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Environmental Social (ES) Engagement and Stock Returns: A Dynamic Perspective,Mark Shackleton,Lancaster University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Environmental Social (ES) Engagement and Stock Returns: A Dynamic Perspective,Chelsea Yao,Lancaster University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
From Playground to Boardroom: Endowed Social Status and Managerial Performance,Fangfang Du,Arizona State University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Fundamental Risk and Capital Structure,Jakub Hajda,University of Lausanne and SFI,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Health Care Costs, Worker Mobility and Firm Leverage: Evidence from State Health Mandates",S.Lakshmi Naaraayanan,Hong Kong University of Science and Technology,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Health Care Costs, Worker Mobility and Firm Leverage: Evidence from State Health Mandates",Manpreet Singh,Georgia Institute of Technology,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Hedge Fund Activism and CEO Compensation,Jana Fidrmuc,University of Warwick,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Hedge Fund Activism and CEO Compensation,Swati Kanoria,University of Warwick,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
"Hispanic Culture, Stock Preferences, and Asset Prices",Carina Cuculiza,University of Miami,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
How Does Investor Protection Affect Innovation? Historical Evidence from Blue Sky Laws,Huseyin Akkoyun,Northwestern University,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Illuminating the Dark Side of Financial Innovation: The Role of Investor Information,Manuel Ammann,University of St. Gallen,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Illuminating the Dark Side of Financial Innovation: The Role of Investor Information,Marc Arnold,University of St. Gallen,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
Illuminating the Dark Side of Financial Innovation: The Role of Investor Information,Simon Straumann,University of St. Gallen,Jan. 5 2018,7:30 AM - 6:00 PM,"Loews Philadelphia, Commonwealth Pre-function",American Finance Association,AFA Ph.D. Student Poster Session,G0,,
