"first_name","author","paper_title","author_affiliation","date","time","location","association","session_title","session_jel_code","session_chair","session_chair_affiliation","discussant_1","discussant_1_affiliation","discussant_2","discussant_2_affiliation","discussant_3","discussant_3_affiliation","discussant_4","discussant_4_affiliation","discussant_5","discussant_5_affiliation","firstname","total_male","total_female","prob_male","prob_female","total_names","male_75","female_75","male_95","female_95"
"Aaron","Aaron Pancost","The Effects of Capital Requirements on Good and Bad Risk Taking","University of Texas-Austin","Jan. 7 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 109-A","American Economic Association","Financial Intermediaries and the Macroeconomy: New Advances","E0, G2",NA,NA,"Javier Bianchi","Federal Reserve Bank of Minneapolis","Juliane Begenau","Harvard Business School","Pablo D'Erasmo","Federal Reserve Bank of Philadelphia","Jennifer La'O","Columbia University","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aaron","Aaron Cornell","Why Do Reforms Occur in Crisis Times?","University of California-Los Angeles","Jan. 6 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Grand Ballroom Salon D","Association for Comparative Economic Studies","Innovation and Structural Reforms","E6, O3",NA,NA,"Daniel Berkowitz","University of Pittsburgh","Iikka Korhonen","BOFIT Finland","Catherine L. Mann","OECD","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aaron","Aaron Bodoh-Creed","How Efficient are Decentralized Auction Platforms?","University of California-Berkeley","Jan. 7 2018","1:00 PM - 3:00 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon I","American Economic Association","Auctions Theory and Its Applications","D4, D8",NA,NA,"Donghang Zhang","University of South Carolina","Zhe Wang","Pennsylvania State University","Maryam Saeedi","Carnegie Mellon University","","","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Aaron","Aaron Chaflin","Intergenerational Effects of Education on Delinquency","University of Pennsylvania","Jan. 5 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Meeting Room 309","National Economic Association","Crime, Education, and Racial Disparities","I2, K4",NA,NA,"Alberto Ortega","Whitman College","Luisa Blanco","Pepperdine University","Bradley L. Hardy","American University","Patrick Mason","Florida State University","","","AARON",880,1,0.9988649,0.0011351,881,1,0,1,0
"Abdullah","Abdullah Yavas","How Does Mortgage Debt Affect Household Consumption? Micro Evidence From China","University of Wisconsin-Madison","Jan. 7 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Washington C","American Real Estate and Urban Economics Association","Mortgages III","G2, E4",NA,NA,"Michael Fratantoni","Mortgage Bankers Association","Gary Engelhardt","Syracuse University","Lauren Lambie-Hanson","Federal Reserve Bank of Philadelphia","Benjamin Kay","U.S. Office of Financial Research","","","ABDULLAH",26,0,1,0,26,1,0,1,0
"Abel","Abel Brodeur","Has Uber Made It Easier to Get a Ride in the Rain?","University of Ottawa","Jan. 7 2018","1:00 PM - 3:00 PM","Marriott Philadelphia Downtown, Meeting Room 403","American Economic Association","Economics of Taxis and Uber","R4",NA,NA,"","","","","","","","","","","ABEL",57,0,1,0,57,1,0,1,0
"Abel","Abel Brodeur","War, Migration and the Origins of the Thai Sex Industry","University of Ottawa","Jan. 7 2018","10:15 AM - 12:15 PM","Marriott Philadelphia Downtown, Meeting Room 305","Peace Science Society International","Old and Modern Wars: New Considerations","F5, I3",NA,NA,"Carmen Carrion Flores","State University of New York-Binghamton","Carlos Seiglie","Rutgers University","Phanindra Wunnava","Middlebury College and IZA","Charles Anderton","College of the Holy Cross","","","ABEL",57,0,1,0,57,1,0,1,0
"Abigail","Abigail Wozniak","Reconciling the Decline in Job Changing With Trends in Employment Tenure","University of Notre Dame","Jan. 6 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 111-A","American Economic Association","Resolving Puzzles and Contradictions in Job Tenure Trends","J6, E2",NA,NA,"Jesse Rothstein","University of California-Berkeley","Jason Faberman","Federal Reserve Bank of Chicago","Sam Schulhofer-Wohl","Federal Reserve Bank of Chicago","","","","","ABIGAIL",0,165,0,1,165,0,1,0,1
"Abraham","Abraham S. Ravid","Turnover Stars and the Value of Human Capital: A Pseudo-natural Experiment with Evidence From Broadway Shows","Yeshiva University","Jan. 7 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Lescaze","Association of Financial Economists","Talent, Human Capital and Finance","G3, J5",NA,NA,"Thomas Philippon","New York University","Edward D. Vanwesep","University of Colorado","Darren Filson","Claremont McKenna College","Abraham S. Ravid","Yeshiva University","","","ABRAHAM",123,0,1,0,123,1,0,1,0
"Adam","Adam Looney","The Rise of Alternative Work Arrangements: Evidence and Implications for Tax Filing and Benefit Coverage","U.S. Treasury Department","Jan. 5 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 202-B","Labor and Employment Relations Association","New Evidence on the Prevalence and Implications of Contract Work","J0, A1",NA,NA,"Arindrajit Dube","University of Massachusetts-Amherst","Alexandre Mas","Princeton University","Barbara Robles","Federal Reserve Board","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam McCloskey","Estimation and Inference with a (Nearly) Singular Jacobian","Brown University","Jan. 7 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Meeting Room 410","Econometric Society","Inference and Identification Issues in Econometrics","C12, C26",NA,NA,"","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adam","Adam Ozimek","Aging and the Productivity Puzzle","Moody's Analytics","Jan. 6 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 201-B","American Economic Association","What Can We Learn from Private Sector Data About the Labor Market?","J0, J2",NA,NA,"","","","","","","","","","","ADAM",1802,4,0.9977852,0.0022148,1806,1,0,1,0
"Adela","Adela Luque","Self-employment Duration of Opportunity and Necessity Entrepreneurs: A Closer Look at Female-male Differences","U.S. Census Bureau","Jan. 6 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 106-A","Society of Government Economists","Job Flows","J0",NA,NA,"Jamin Speer","University of Memphis","Marinos Tsigas","U.S. International Trade Commission","Sabrina Wulff Pabilonia","U.S. Bureau of Labor Statistics","Ryan Decker","Federal Reserve Board","","","ADELA",1,18,0.0526316,0.9473684,19,0,1,0,0
"Adele","Adele Morris","Do Gasoline Prices Affect Residential Property Values?","Brookings Institution","Jan. 6 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Washington B","American Real Estate and Urban Economics Association","Congestion and Transportation","R1",NA,NA,"William Larson","U.S. Federal Housing Finance Agency","Raven Molloy","Federal Reserve Board","Leah Brooks","George Washington University","Richard Arnott","University of California-Riverside","","","ADELE",0,72,0,1,72,0,1,0,1
"Aditi","Aditi Sen","Consumer Choice and Learning in Private Insurance Markets: Evidence From the ACA Marketplaces","Johns Hopkins University","Jan. 5 2018","10:15 AM - 12:15 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon J","Health Economics Research Organization","Eight Years Later: Analyses of ACA Health Insurance Markets","I1",NA,NA,"Jonathan Gruber","Massachusetts Institute of Technology","Sarah Miller","University of Michigan","Michael Chernew","Harvard University","","","","","ADITI",1,15,0.0625,0.9375,16,0,1,0,0
"Aditi","Aditi Sengupta","Communicating Clean Technology, Green Premium, Competition and Ecolabels","Auburn University","Jan. 5 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 203-B","Association of Indian Economic and Financial Studies","Economic Growth, Development and Environment","Y9, Y9",NA,NA,"Rama Seth","Indian Institute of Management-Calcutta","Meenakshi Rishi","Seattle University","Banani Nandi","AT&T","Basanta Chaudhuri","Rutgers University","Saktinil Roy","Athabasca University","ADITI",1,15,0.0625,0.9375,16,0,1,0,0
"Adriana","Adriana Robertson","What Matters to Individual Investors? Evidence from the Horse's Mouth","University of Toronto","Jan. 6 2018","10:15 AM - 12:15 PM","Loews Philadelphia, Commonwealth Hall D","American Finance Association","Market Risk Factors","G1",NA,NA,"Raymond Kan","University of Toronto","Juhani T. Linnainmaa","University of Southern California","Jianfeng Yu","Tsinghua University","","","","","ADRIANA",1,255,0.0039063,0.9960938,256,0,1,0,1
"Adrienne","Adrienne Colella","See Me, Not the Disability: Examining Employer Responses to Applicants With Disabilities","Tulane University","Jan. 6 2018","8:00 AM - 10:00 AM","Pennsylvania Convention Center, 104-A","American Economic Association","Disability Insurance and Disability Discrimination","J2, J7",NA,NA,"Patrick Button","Tulane University","Wendy Stock","Montana State University","Phil Armour","RAND Corporation","Nicole Maestas","Harvard University","","","ADRIENNE",0,250,0,1,250,0,1,0,1
"Agnieszka","Agnieszka Chlon-Dominczak","Retreat From Mandatory Pension Funds in Countries of the Eastern and Central Europe in Result of Financial and Fiscal Crisis: Causes, Effects and Recommendations for Fiscal Rules","Warsaw School of Economics (SGH)","Jan. 6 2018","10:15 AM - 12:15 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon D","Association for Comparative Economic Studies","Reform Reversal in Central and Eastern Europe: Dangerous Aberration or Inherent Characteristic of the Process?","O5, H1",NA,NA,"John Bonin","Wesleyan University","Mitchell Ornstein","University of Pennsylvania","Sergei Guriev","European Bank for Reconstruction and Development and Sciences Po","","","","","AGNIESZKA",0,41,0,1,41,0,1,0,1
"Ahmad","Ahmad Osmani","Gender-specific cancer survivorship and labor market attachments: Evidence from 2008-2014 MEPS data","University of Memphis","Jan. 7 2018","10:15 AM - 12:15 PM","Pennsylvania Convention Center, 202-A","American Economic Association","Health and Employment","I0",NA,NA,"","","","","","","","","","","AHMAD",89,1,0.9888889,0.0111111,90,1,0,1,0
"Ahmad","Ahmad Peivandi","On Fragmented Markets","Georgia State University","Jan. 5 2018","10:15 AM - 12:15 PM","Marriott Philadelphia Downtown, Meeting Room 410","Econometric Society","Information in Networked Markets","D85",NA,NA,"William Fuchs","University of Texas-Austin and University Carlos III of Madrid","Alireza Tahbaz-Salehi","Columbia University","Sevgi Yuksel","University of California-Santa Barbara","Tibor Alejandro Heumann","Princeton University","","","AHMAD",89,1,0.9888889,0.0111111,90,1,0,1,0
"Ai","Ai He","Relationship Lending in Shadow Banking: Impacts of Financial Firms' Cross-Holding Relation in Money Market Funds","Emory University","Jan. 5 2018","7:30 AM - 6:00 PM","Loews Philadelphia, Commonwealth Pre-function","American Finance Association","AFA Ph.D. Student Poster Session","G0",NA,NA,"","","","","","","","","","","AI",2,22,0.0833333,0.9166667,24,0,1,0,0
"Ajay","Ajay Agrawal","Human Judgment and A.I. Pricing","University of Toronto","Jan. 6 2018","2:30 PM - 4:30 PM","Marriott Philadelphia Downtown, Grand Ballroom Salon E","American Economic Association","Economic Consequences of Artificial Intelligence and Robotics","O4, O4",NA,NA,"Benjamin Jones","Northwestern University","Shane Greenstein","Harvard Business School","Susan Helper","Case Western Reserve University","Miguel Villas-Boas","University of California-Berkeley","","","AJAY",59,0,1,0,59,1,0,1,0
"Ajit","Ajit Zacharias","The Time and Consumption Poverty of Employed Individuals in Ghana","Levy Economics Institute of Bard College","Jan. 6 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Adams","Union for Radical Political Economics","Care, Time Use and Work","J1, B5",NA,NA,"Thomas Masterson","Levy Institute","Ellen Mutari","Stockton University","","","","","","","AJIT",11,0,1,0,11,1,0,1,0
"Akio","Akio Yamazaki","Do Carbon Taxes Kill Jobs? New Heterogeneous Evidence from British Columbia","University of Calgary","Jan. 5 2018","8:00 AM - 10:00 AM","Marriott Philadelphia Downtown, Independence Ballroom II","Association of Environmental and Resource Economists","Energy Policy","Q4, Q5",NA,NA,"Yoram Bauman","Standupeconomist.com","Ama Baafra Abeberese","Wellesley College","Daniel Shawhan","Resources for the Future","Marc Hafstead","Resources for the Future","","","AKIO",1,1,0.5,0.5,2,0,0,0,0
"Alain","Alain Naef","Does Sterilized Central Bank Intervention Have Long Term Effects on Exchange Rates? The Case of the British Exchange Equalization Account, 1952-1972","University of Cambridge","Jan. 5 2018","8:00 AM - 10:00 AM","Loews Philadelphia, Congress B","Union for Radical Political Economics","Stabilizing an Unstable International Monetary System - Current and Historical Perspectives","F3, E5",NA,NA,"Gerald Epstein","University of Massachusetts-Amherst","Ilene Grabel","University of Denver","Peter Bent","University of Massachusetts-Amherst","Devika Dutt","University of Massachusetts-Amherst","Alain Naef","University of Cambridge","ALAIN",68,2,0.9714286,0.0285714,70,1,0,1,0
