author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
A. Mushfiq Mobarak,The Economics of Enforcement,Yale University,Jan. 6 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Meeting Room 305",American Economic Association,Environment and Development,"Q5, O1",NA,NA,Marshall Burke,Stanford University,Kyle Meng,University of California-Santa Barbara,Benjamin A. Olken,Massachusetts Institute of Technology,Michelle Marcus,Brown University,,,A. Mushfiq Mobarak,Male,Ahmed Mushfiq Mobarak,MUSHFIQ MOBARAK,,,,NA,NA,NA,NA,NA
A. Mushfiq Mobarak,The Welfare Effects of Encouraging Rural-urban Migration,Yale University,Jan. 5 2018,10:15 AM - 12:15 PM,"Pennsylvania Convention Center, 104-A",American Economic Association,Sectoral Wage Gaps and the Returns to Migration,"O4, J6",NA,NA,Taryn Dinkelman,Dartmouth College,Jeremy Magruder,University of California-Berkeley,Samuel Bazzi,Boston University,Kathleen Beegle,World Bank,,,A. Mushfiq Mobarak,Male,Ahmed Mushfiq Mobarak,MUSHFIQ MOBARAK,,,,NA,NA,NA,NA,NA
Abhiroop Mukherjee,Inside Brokers,Hong Kong University of Science and Technology,Jan. 6 2018,2:30 PM - 4:30 PM,"Loews Philadelphia, Commonwealth Hall C",American Finance Association,Information Transmission and Trading: Empirical,G1,NA,NA,Kenneth Ahern,University of Southern California,David R. McLean,Georgetown University,Charles Jones,Columbia University,Brad Barber,University of California-Davis,,,Abhiroop Mukherjee,Male,,,,,,NA,NA,NA,NA,NA
Abhiroop Mukherjee,The Effect of Superstar Firms on College Major Choice,Hong Kong University of Science and Technology,Jan. 7 2018,10:15 AM - 12:15 PM,"Marriott Philadelphia Downtown, Meeting Room 306",American Economic Association,Cohort Effects: Sources and Implications,"A1, J0",NA,NA,James Choi,Yale University and NBER,Scott Baker,Northwestern University,Na'ama Shenhav,Dartmouth College,Kelly Shue,University of Chicago and NBER,,,Abhiroop Mukherjee,Male,,,,,,NA,NA,NA,NA,NA
Achyuta Adhvaryu,Dust and Death: Evidence From the West African Harmattan,University of Michigan,Jan. 6 2018,8:00 AM - 10:00 AM,"Marriott Philadelphia Downtown, Meeting Room 305",American Economic Association,Environment and Development,"Q5, O1",NA,NA,Marshall Burke,Stanford University,Kyle Meng,University of California-Santa Barbara,Benjamin A. Olken,Massachusetts Institute of Technology,Michelle Marcus,Brown University,,,Achyuta Adhvaryu,Male,,,,,,NA,NA,NA,NA,NA
Adair Morse,Agency in Public Pension Performance,University of California-Berkeley,Jan. 7 2018,10:15 AM - 12:15 PM,"Loews Philadelphia, Regency Ballroom C2",American Finance Association,Portfolio Choice and Asset Allocation of Households and Long-Term Investors,G1,NA,NA,Jules van Binsbergen,University of Pennsylvania,Christian Lundblad,University of North Carolina-Chapel Hill,Joshua Rauh,Stanford University,Clemens Sialm,University of Texas-Austin and NBER,,,ADAIR MORSE,Female,,,,,,NA,NA,NA,NA,NA
Adam Guren,Housing Wealth Effects: The Long View,Boston University,Jan. 6 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 201-A",American Economic Association,Macro-economic Implications of Incomplete Markets,"E2, E4",NA,NA,Stijn Van Nieuwerburgh,New York University,Urban Jerman,University of Pennsylvania,David López-Salido,Federal Reserve Board,Hanno Lustig,Stanford University,,,Adam Guren,Male,,,,,,NA,NA,NA,NA,NA
Adam Isen,Parental Resources and College Attendance: Evidence From Lottery Wins,U.S. Treasury Department,Jan. 5 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 104-B",American Economic Association,Issues Relating to Higher Education Financing,"J0, I2",NA,NA,Seth Zimmerman,University of Chicago,Lesley Turner,University of Maryland,,,,,,,Adam Isen,Male,,,,,,NA,NA,NA,NA,NA
Adam Jorring,Sharing R&D Risk in Healthcare Via FDA Hedges,University of Chicago,Jan. 6 2018,8:00 AM - 10:00 AM,"Loews Philadelphia, Commonwealth Hall A2",American Finance Association,Risk Management,G3,NA,NA,Alex Edmans,London Business School,Olivier Dessaint,University of Toronto,Martin Oehmke,London School of Economics,Claudia Custodio,Imperial College London,,,Adam Jorring,Male,,,,,,NA,NA,NA,NA,NA
Adi Sunderam,Consumer Surplus and Bank Value,Harvard Business School,Jan. 5 2018,8:00 AM - 10:00 AM,"Pennsylvania Convention Center, 106-A",Society of Government Economists,Empirical Studies of Bank Deposits and Bank Lending,G1,NA,NA,Emily Johnston-Ross,Federal Deposit Insurance Corporation,Justin Vitanza,Temple University,Alexander Ufier,Federal Deposit Insurance Corporation,Mark Kutzbach,Federal Deposit Insurance Corporation,,,Adi Sunderam,Male,,,,,,NA,NA,NA,NA,NA
