"author","gender"
"Aaron J. Sojourner","Male"
"Abby Pai","Female"
"Abdul Munasib","Male"
"Abdulaziz B. Shifa","Male"
"Abdullah Yavas","Male"
"Abdullah Al-Bahrani","Male"
"Abhinav Narayanan","Male"
"Abhishek Ganguly","Male"
"Abi Adams","?"
"Abigail Peralta","Female"
"Abu S. Shonchoy","Male"
"Adam McCloskey","Male"
"Adam Telek","Male"
"Adam Looney","Male"
"Adam Nowak","Male"
"Adam T. Jones","Male"
"Adem Atmaz","Male"
"Aditya Sunderam","Male"
"Agostino Capponi","Male"
"Ahmed Elsayed","Male"
"Ahmed Rostom","Male"
"Ahn Jaebin","Female"
"Ai He","?"
"Aislinn Bohren","Female"
"Ajay Chaudry","Male"
"Akito Kamei","Male"
"Akshay Bhatnagar","Male"
"Al Campbell","Male"
"Alain Béraud","Male"
"Alain Pirotte","Male"
"Alan D. Viard","Male"
"Alan Kirman","Male"
"Alan Benson","Male"
"Alan Finkelstein Shapiro","Male"
"Alan Kwan","Male"
"Alan Crane","Male"
"Albert Hu","Male"
"Alberto Ciancio","Male"
"Alberto Ortega","Male"
"Alberto Sepulveda","Male"
"Alejandrina Correa","Female"
"Alejandro Francetich","Male"
"Alejandro Garay-Huaman","Male"
"Aleksandr V. Gevorkyan","Male"
"Alessandro Bonatti","Male"
"Alex Chudik","?"
"Alex Bernasek","?"
"Alex Imas","?"
"Alex van de Minne","?"
"Alex Arnon","?"
"Alex Hsu","?"
"Alexander Kempf","Male"
"Alexander Chinco","Male"
"Alexander Rodnyansky","Male"
"Alexander Hillert","Male"
"Alexander Plekhanov","Male"
"Alexander Teytelboym","Male"
"Alexander Kontoghiorghes","Male"
"Alexander V. Giczy","Male"
"Alexander Zentefis","Male"
"Alexander Westkamp","Male"
"Alexander Willen","Male"
"Alexander Meyer-Gohde","Male"
"Alexander Gorbenko","Male"
"Alexander Muermann","Male"
"Alexandra Tabova","Female"
"Alexandra Niessen-Ruenzi","Female"
"Alexandre Lauwers","Male"
"Alexandre Jeanneret","Male"
"Alexandre Kohlhas","Male"
"Alexandru Nichifor","Male"
"Alexey Zhukovskiy","Male"
"Alexey Kushnir","Male"
"Alexey Ivashchenko","Male"
"Alexis Stenfors","?"
"Alfredo Rosete","Male"
"Ali M. Kutan","?"
"Ali Tarhan","?"
"Ali Enami","?"
"Ali Sharifkhani","?"
"Ali Palida","?"
"Alice Favero","Female"
"Alicia Giron","Female"
"Alicia Sasser Modestino","Female"
"Alison Aughinbaugh","Female"
"Allen Huang","Male"
"Allen C. Stansbury","Male"
"Allen N. Berger","Male"
"Allison Green","Female"
"Allison Witman","Female"
"Alp Atakan","Male"
"Altan Pazarbasi","Male"
"Alyssa Schneebaum","Female"
"Alyssa Harris","Female"
"Amalia Di Girolamo","Female"
"Amanda Baumle","Female"
"Amanda Eng","Female"
"Amanda Bayer","Female"
"Amanda Ross","Female"
"Amel Farhat","?"
"Amira Alghumgham","Female"
"Amit Ghosh","Male"
"Amit Batabyal","Male"
"Amy Ellen Schwartz","Female"
"Ana Maria Munoz Boudet","Female"
"Ana Babus","Female"
"Ana Gombovic","Female"
"Ana Androsik","Female"
"Ana Maria Santacreu","Female"
"Ana Balsa","Female"
"Analisa Packham","Female"
"Anastasia Cozarenco","Female"
"Anastasia Burkovskaya","Female"
"Anastasios Karantounias","Male"
"Anastassia Fedyk","Female"
"Anat Bracha","?"
"Ander Perez-Orive","?"
"Anders Anderson","Male"
"Andras Danis","Male"
"Andre F. Silva","Male"
"Andre Kurman","Male"
"Andre K. Anundsen","Male"
"Andrea Lucchesi","?"
"Andrea Polo","?"
"Andrea Jacob","?"
"Andrea Chegut","?"
"Andrea Barbon","?"
"Andrea Presbitero","?"
"Andrea Pescatori","?"
"Andreas Landmann","Male"
"Andreas Milidonis","Male"
"Andreas Mense","Male"
"Andreas Brøgger","Male"
"Andreas Steinhauer","Male"
"Andreas Reuter","Male"
"Andreas Hauptmann","Male"
"Andreas Friedl","Male"
"Andreas Peichl","Male"
"Andreas Born","Male"
"Andrew Schreiber","Male"
"Andrew J. Jalil","Male"
"Andrew Grant","Male"
"Andrew Karolyi","Male"
"Andrew Langan","Male"
"Andrew Chamberlain","Male"
"Andrew Sutherland","Male"
"Andrew J. Hill","Male"
"Andrew Cumbers","Male"
"Andrew F. Newman","Male"
"Andrew Royal","Male"
"Andrew Foote","Male"
"Andrew H. McCallum","Male"
"Andrew Barr","Male"
"Andrew Clark","Male"
"Andrew M. Yuengert","Male"
"Andrew Johnston","Male"
"Andrew Bibler","Male"
"Andrew Bird","Male"
"Andrew A. Toole","Male"
"Andrew Hill","Male"
"Andrew Hanson","Male"
"Andrew Lilley","Male"
"Andrey Ordin","Male"
"Andrey Pvlov","Male"
"Andria Smythe","Female"
"Andriy Norets","Male"
"Angelica Gonzalez","Female"
"Angelo Ranaldo","Male"
"Aniko Oery","Female"
"Anil Ari","Male"
"Anja Prummer","Female"
"Anja Kunzmann","Female"
"Anke Becker","Female"
"Ankit Kalda","Male"
"Ankur Patel","Male"
"Ann Backus","Female"
"Ann Davis","Female"
"Anna Agapova","Female"
"Anna Klimina","Female"
"Anna Saave-Harnack","Female"
"Anna Raute","Female"
"Anna Lo Prete","Female"
"Anna Grosman","Female"
"Anna Josephson","Female"
"Anna Sandberg","Female"
"Annalisa Scognamiglio","Female"
"Anne Wetherilt","Female"
"Anne Price","Female"
"Anne Hannusch","Female"
"Anthony Sanders","Male"
"Anthony Sanford","Male"
"Anthony DeFusco","Male"
"Anthony Pennington-Cross","Male"
"Anthony Orlando","Male"
"Antoine Berthou","Male"
"Antoine Champetier","Male"
"Antonio M. Bento","Male"
"Antonio Galvao","Male"
"Antonios M. Koumpias","Male"
"Anuj Gangopadhyaya","Male"
"Anup Kumar Jha","Male"
"Anya Kleymenova","Female"
"Aparna Mathur","Female"
"Aparna Soni","Female"
"Ariadna Jou","Female"
"Ariane Szafarz","Female"
"Ariel Ben Yishay","?"
"Armando Freitas Rocha","Male"
"Armando Rungi","Male"
"Armando N. Meier","Male"
"Arno Van Der Vlist","Male"
"Arpan Ganguly","?"
"Artem Neklyudov","Male"
"Arthur Lewbel","Male"
"Arun Chandrasekhar","Male"
"Asha Sundaram","Female"
"Ashish Mishra","Male"
"Ashley Ann Tharayil","Female"
"Ashley Wong","Female"
"Ashley Whillans","Female"
"Ashna Arora","Female"
"Ashok K. Mishra","Male"
"Ashwini Chhatre","?"
"Asmaa Yaseen Yaseen","Female"
"Attila Lindner","?"
"Aurelia Lepine","?"
"Aurelie Charles","Female"
"Aurelien Genty","Male"
"Austin Nichols","Male"
"Austin Hill-Kleespie","Male"
"Austin C. Smith","Male"
"Avner Seror","Male"
"Avraham Izhar Baranes","Male"
"Avraham Ebenstein","Male"
"Axel Ockenfels","Male"
"Aytekin Ertan","Male"
"Azam Mehtabul","Male"
"Balazs Reizer","Male"
"Balazs Murakozy","Male"
"Banu Demir Pakel","?"
"Baran Doda","Male"
"Barbara Rindi","Female"
"Barbara Bliss","Female"
"Barbara Boelmann","Female"
"Barbara Bukhvalova","Female"
"Barry Hirsch","Male"
"Bart Yueshen","Male"
"Barton Hamilton","Male"
"Basil Halperin","Male"
"Beatrice Cherrier","Female"
"Beatrice Weder di Mauro","Female"
"Ben Sopranzetti","Male"
"Ben Le","Male"
"Ben Morley","Male"
"Ben Greiner","Male"
"Ben Bernanke","Male"
"Ben Meiselman","Male"
"Benedikt Fritz","Male"
"Benedikt Herz","Male"
"Beni Kouevi-Gath","Male"
"Benjamin Grosse-Rueschkamp","Male"
"Benjamin Loos","Male"
"Benjamin Ho","Male"
"Benjamin Castleman","Male"
"Benjamin Lipsius","Male"
"Benjamin Heebsh","Male"
"Benjamin S. Smith","Male"
"Benjamin Lindy","Male"
"Benjamin Wirth","Male"
"Benjamin Bernard","Male"
"Benjamin Lockwood","Male"
"Benjamin Klopack","Male"
"Benjamin M. Marx","Male"
"Benjamin Leyden","Male"
"Bennie Waller","?"
"Benoit Schmutz","Male"
"Benoit Papillon","Male"
"Bernard Fingleton","Male"
"Bernd Schlusche","Male"
"Bernhard Schoelkopf","Male"
"Bhavik Parikh","Male"
"Bibo Liu","?"
"Bin Wei","?"
"Bing Jiang","?"
"Bo Xing","?"
"Bo Bian","?"
"Bo Liu","?"
"Boaz Abramson","Male"
"Boris Fays","Male"
"Brad Jensen","Male"
"Bradley Childs","Male"
"Bradley Hardy","Male"
"Brandon Pecoraro","Male"
"Bree Lang","Female"
"Brent Sohngen","Male"
"Brian Beach","Male"
"Brian McManus","Male"
"Brian Wolfe","Male"
"Brian Roberson","Male"
"Brian Sloboda","Male"
"Brian Asquith","Male"
"Brian Weller","Male"
"Brian McCaig","Male"
"Brian Stacy","Male"
"Brian Cadena","Male"
"Brittany Street","Female"
"Brittney Goodrich","Female"
"Brooke Conaway","Female"
"Bruce Li","Male"
"Bruce Wade","Male"
"Bruno Pellegrino","Male"
"Bryan Weber","Male"
"Bryant Hopkins","Male"
"Burhan Kuruscu","Male"
"Caitlin Brown","Female"
"Caitlin Carroll","Female"
"Caleb Wroblewski","Male"
"Camila Orozco Espinel","Female"
"Camilla Roncoroni","Female"
"Camille Terrier","Female"
"Camilo Garcia-Jimeno","Male"
"Campbell Harvey","?"
"Can Sever","?"
"Carl Liebersohn","Male"
"Carl Heese","Male"
"Carles Vergara-Alert","?"
"Carlo Alcaraz","Male"
"Carlo D'Ippoliti","Male"
"Carlo Perronib","Male"
"Carlos Carrillo-Tudela","Male"
"Carlos Aguiar de Medeiros","Male"
"Carlos F. Avenancio","Male"
"Carlos da Costa","Male"
"Carlos Eduardo Hernández","Male"
"Carlos Asarta","Male"
"Carly Urban","Female"
"Carmelo Salleo","Male"
"Carol Graham","Female"
"Carol A. Jones","Female"
"Carola Schenone","Female"
"Carola Mueller","Female"
"Carolina Fugazza","Female"
"Carolina Alves","Female"
"Caroline Palmer","Female"
"Carolyn Chisadza","Female"
"Carson Reeling","?"
"Carter Davis","?"
"Casey Wichman","?"
"Catalina Amuedo-Dorantes","Female"
"Catarina Reis","Female"
"Caterina Mendicino","Female"
"Catherine Massey","Female"
"Catherine Pakaluk","Female"
"Catherine Balfe","Female"
"Catherine Laffineur","Female"
"Catherine Kavanagh","Female"
"Catherine Casamatta","Female"
"Cathy Ge Bao","Female"
"Cecilia Fieler","Female"
"Cecilia Parlatore","Female"
"Celine Bonnet","Female"
"Cem Ozguzel","Male"
"Chad Hazlett","Male"
"Chandra Sekhar Mangipudi","?"
"Chandra Childers","?"
"Chang Ma","?"
"Chang Hong","?"
"Channing Arndt","?"
"Chao Ma","?"
"Chao Ying","?"
"Chao Huang","?"
"Charlene Marie Kalenkoski","Female"
"Charles J. Whalen","Male"
"Charles Gordon Nathanson","Male"
"Charles Z. Zheng","Male"
"Charles Hokayem","Male"
"Charles R. Pierret","Male"
"Charles M. A. Clark","Male"
"Charles Noussair","Male"
"Charles Zelek","Male"
"Charles Ka Yui Leung","Male"
"Charles Kahn","Male"
"Charles P. Himmelberg","Male"
"Charlie Eaton","Male"
"Charlie Costello","Male"
"Charlotte Bartels","Female"
"Charlotte Sandoz Dit Bragard","Female"
"Charlotte Otabor","Female"
"Chau Nguyen","?"
"Chen Cheng","?"
"Chen Wang","?"
"Cheng Sun","?"
"Cher Li","Female"
"Cheryl Doss","Female"
"Chi Zhang","?"
"Chi Man Yip","?"
"Chiara Margaria","Female"
"Chiara Piovani","Female"
"Chihiro Shimizu","Female"
"Chloe East","Female"
"Chris Bidner","Male"
"Chris Schwarz","Male"
"Chris Tyson","Male"
"Christian Skov Jensen","Male"
"Christian Biener","Male"
"Christian König Kersting","Male"
"Christian Nsiah","Male"
"Christian Flachsland","Male"
"Christian Dorion","Male"
"Christian Wolf","Male"
"Christian Peukert","Male"
"Christian Goulding","Male"
"Christian Michel","Male"
"Christian Redfearn","Male"
"Christian Moser","Male"
"Christian Krekel","Male"
"Christian Friedrich","Male"
"Christian Schmidt","Male"
"Christiana Stoddard","Female"
"Christina M. Fong","Female"
"Christina Houseworth","Female"
"Christine Laudenbach","Female"
"Christine Exley","Female"
"Christo Pirinsky","Male"
"Christoffer Kok","Male"
"Christoph Scheuch","Male"
"Christoph Basten","Male"
"Christoph Schneider","Male"
"Christoph Böhringer","Male"
"Christoph Wolf","Male"
"Christophe Bisiere","Male"
"Christopher Clark","Male"
"Christopher S. Carpenter","Male"
"Christopher Bollinger","Male"
"Christopher Walters","Male"
"Christopher Hansman","Male"
"Christopher David Absell","Male"
"Christopher Culp","Male"
"Christopher J. Cronin","Male"
"Christopher Hartwell","Male"
"Christopher Findlay","Male"
"Christopher Ody","Male"
"Christopher Smith","Male"
"Christopher Hennessy","Male"
"Chun Kuang","?"
"Claire Brennecke","Female"
"Claire Gavard","Female"
"Clara Jean","Female"
"Claude Diebolt","?"
"Claudio Daminato","Male"
"Claus Michelsen","Male"
"Clemens Otto","Male"
"Clotilde Mahé","Female"
"Cody Tuttle","?"
"Colin Green","Male"
"Colleen Cunningham","Female"
"Connie Mao","Female"
"Conor Lennon","Male"
"Constantine Yannelis","Male"
"Corey White","?"
"Corina Mommaerts","Female"
"Corina Ledergerber","Female"
"Corrado Macchiarelli","Male"
"Craig Rennie","Male"
"Craig McIntosh","Male"
"Craig Allen","Male"
"Craig Gundersen","Male"
"Cristian Vasquez","Male"
"Cristian Badarinza","Male"
"Cristian Sanchez","Male"
"Cristina Tello-Trillo","Female"
"Cristina D. Miller","Female"
"Cruz Caridad Bueno","?"
"Crystal Zhan","Female"
"Curtis Reynolds","Male"
"Cynthia L. Doniger","Female"
"Cyrus Cyrus","Male"
"Dae Yong Lee","?"
"Dag Einar Sommervoll","Male"
"Dai Duong","Male"
"Dale Manning","?"
"Damir Esenaliev","Male"
"Dan Goldhaber","Male"
"Dan Black","Male"
"Dan Berger","Male"
"Dan Bloom","Male"
"Dan Zeltzer","Male"
"Dana Kassem","?"
"Dana Foarta","?"
"Daniel Brent","Male"
"Daniel Hubbard","Male"
"Daniel Bauer","Male"
"Daniel Treisman","Male"
"Daniel Sumner","Male"
"Daniel Nuckols","Male"
"Daniel Streitz","Male"
"Daniel Brady Jones","Male"
"Daniel Tannenbaum","Male"
"Daniel M. Sturm","Male"
"Daniel Waldinger","Male"
"Daniel Graeber","Male"
"Daniel Garrett","Male"
"Daniel Krahmer","Male"
"Daniel Urban","Male"
"Daniel Crown","Male"
"Daniel G. Arce M","Male"
"Daniel Soques","Male"
"Daniel Sacks","Male"
"Daniel Bradley","Male"
"Daniel McMillen","Male"
"Daniel Kreisman","Male"
"Daniel Dominik Schnitzlein","Male"
"Daniel Fehder","Male"
"Daniel Hoang","Male"
"Daniel Ferreira","Male"
