session_title,paper_title,author
 Richard T. Ely Lecture,Does the Current Account Still Matter?,[' Maurice Obstfeld ']
 Implications of Rational Inattention,Simple Market Equilibria with Rationally Inattentive Consumers,"[' Filip Matějka ', ' Alisdair McKay ']"
 Implications of Rational Inattention,Information Processing and Limited Liability,"[' Bartosz Mackowiak ', ' Mirko Wiederholt ']"
 Implications of Rational Inattention,Information Choice Technologies,"[' Christian Hellwig', ' Sebastian Kohls ', ' Laura Veldkamp ']"
 Attention and Choice,Prospect Theory as Efficient Perceptual Distortion,[' Michael Woodford ']
 Attention and Choice,Salience in Experimental Tests of the Endowment Effect,"[' Pedro Bordalo', ' Nicola Gennaioli ', ' Andrei Shleifer ']"
 Measuring Systemic Risk,Getting at Systemic Risk via an Agent-Based Model of the Housing Market,"[' John Geanakoplos', ' Robert Axtell', ' J. Doyne Farmer', ' Peter Howitt', ' Benjamin Conlee', ' Jonathan Goldstein', ' Matthew Hendrey', ' Nathan M. Palmer ', ' Chun-Yi Yang ']"
 Measuring Systemic Risk,Capital Shortfall: A New Approach to Ranking and Regulating Systemic Risks,"[' Viral Acharya', ' Robert Engle ', ' Matthew Richardson ']"
 Measuring Systemic Risk,Privacy-Preserving Methods for Sharing Financial Risk Exposures,"[' Emmanuel A. Abbe', ' Amir E. Khandani ', ' Andrew W. Lo ']"
 Fiscal Policy During and After the Financial Crisis,Fiscal Policy and the Great Recession in the Euro Area,"[' Günter Coenen', ' Rol', 'Straub ', ' Mathias Trabandt ']"
 Fiscal Policy During and After the Financial Crisis,Fiscal Policy in a Financial Crisis: Standard Policy versus Bank Rescue Measures,"[' Robert Kollmann', ' Werner Roeger ', "" Jan in't Veld ""]"
 Bubbles and Financial Crisis,Bubbles and Total Factor Productivity,"[' Jianjun Miao ', ' Pengfei Wang ']"
 Bubbles and Financial Crisis,Debt Financing in Asset Markets,"[' Zhiguo He ', ' Wei Xiong ']"
 Bubbles and Financial Crisis,Understanding Bubbly Episodes,"[' Vasco M. Carvalho', ' Alberto Martin ', ' Jaume Ventura ']"
 Financial Reform—What's Really Needed?,The Safe-Asset Share,"[' Gary Gorton', ' Stefan Lewellen ', ' Andrew Metrick ']"
 Financial Reform—What's Really Needed?,Three Principles for Market-Based Credit Regulation,[' Perry Mehrling ']
 Financial Reform—What's Really Needed?,"Limited-Purpose Banking--Moving from ""Trust Me"" to ""Show Me"" Banking","[' Christophe Chamley', ' Laurence J. Kotlikoff ', ' Herakles Polemarchakis ']"
 Very Local House Price Dynamics,Within-City Variation in Urban Decline: The Case of Detroit,"[' Veronica Guerrieri', ' Daniel Hartley ', ' Erik Hurst ']"
 Very Local House Price Dynamics,Housing Booms and City Centers,"[' Edward L. Glaeser', ' Joshua D. Gottlieb ', ' Kristina Tobio ']"
 Very Local House Price Dynamics,"Heterogeneity in Neighborhood-Level Price Growth in the United States, 1993-2009","[' Fernando Ferreira ', ' Joseph Gyourko ']"
 Asset Prices and Wealth Dynamics with Heterogenous Beliefs,"Market Prices of Risk with Diverse Beliefs, Learning, and Catastrophes","[' Timothy Cogley', ' Thomas J. Sargent ', ' Viktor Tsyrennikov ']"
 Asset Prices and Wealth Dynamics with Heterogenous Beliefs,Financial Innovation and Asset Price Volatility,"[' Felix Kubler ', ' Karl Schmedders ']"
 Asset Prices and Wealth Dynamics with Heterogenous Beliefs,International Robust Disagreement,"[' Riccardo Colacito ', ' Mariano M. Croce ']"
 Asset Prices and Wealth Dynamics with Heterogenous Beliefs,"Heterogeneous Beliefs, Wealth Distribution, and Asset Markets with Risk of Default",[' Viktor Tsyrennikov ']
 Empirical Approaches to Sovereign Debt Default and Monetary-Fiscal Interactions,Estimating Sovereign Default Risk,"[' Huixin Bi ', ' Nora Traum ']"
 Empirical Approaches to Sovereign Debt Default and Monetary-Fiscal Interactions,Evolving Monetary/Fiscal Policy Mix in the United States,[' Francesco Bianchi ']
 Empirical Approaches to Sovereign Debt Default and Monetary-Fiscal Interactions,Monetary-Fiscal Policy Interactions and Indeterminacy in Postwar US Data,"[' Saroj Bhattarai', ' Jae Won Lee ', ' Woong Yong Park ']"
 Managing Currency Pegs,Real Exchange Rate Adjustment in and out of the Eurozone,"[' Martin Berka', ' Michael B. Devereux ', ' Charles Engel ']"
 Managing Currency Pegs,Fiscal Consolidation in an Open Economy,"[' Christopher J. Erceg ', ' Jesper Lindé ']"
 Managing Currency Pegs,Managing Currency Pegs,"[' Stephanie Schmitt-Grohé ', ' Martín Uribe ']"
 International Monetary Reform,Can Asia Overcome the IMF Stigma?,[' Takatoshi Ito ']
 International Monetary Reform,Capital Flow Management,[' Olivier Jeanne ']
 International Monetary Reform,International Liquidity in a Multipolar World,[' Barry Eichengreen ']
 The International Transmission of Financial Shocks: Bank-Level Evidence from the 2007-2009 Crisis,Follow the Money: Quantifying Domestic Effects of Foreign Bank Shocks in the Great Recession,"[' Nicola Cetorelli ', ' Linda S. Goldberg ']"
 The International Transmission of Financial Shocks: Bank-Level Evidence from the 2007-2009 Crisis,"Flight Home, Flight Abroad, and International Credit Cycles","[' Mariassunta Giannetti ', ' Luc Laeven ']"
 The International Transmission of Financial Shocks: Bank-Level Evidence from the 2007-2009 Crisis,From Financial Crisis to Great Recession: The Role of Globalized Banks,[' Shekhar Aiyar ']
 The International Transmission of Financial Shocks: Bank-Level Evidence from the 2007-2009 Crisis,International Shock Transmission after the Lehman Brothers Collapse: Evidence from Syndicated Lending,"[' Ralph De Haas ', ' Neeltje Van Horen ']"
 Coping with Economic and Environmental Shocks: Institutions and Outcomes,Moving to Higher Ground: Migration Response to Natural Disasters in the Early Twentieth Century,"[' Leah Platt Boustan', ' Matthew E. Kahn ', ' Paul W. Rhode ']"
 Coping with Economic and Environmental Shocks: Institutions and Outcomes,Nature versus Nurture: The Environment's Persistent Influence through the Modernization of American Agriculture,[' Richard Hornbeck ']
