paper_title,author
The Phillips Curve: Back to the '60s?,Olivier Blanchard
Dealing with Long-Term Deficits,Martin Feldstein
"Monetary Policy, Financial Stability, and the Zero Lower Bound",Stanley Fischer
How to Restore Equitable and Sustainable Economic Growth in the United States,Joseph E. Stiglitz
Can We Restart the Recovery All Over Again?,John B. Taylor
A Century of Growth and Improvement,Benjamin M. Friedman
The Rise and Fall of American Growth: Exploring the Numbers,Nicholas Crafts
State Capacity and American Technology: Evidence from the Nineteenth Century,Daron Acemoglu
Winter Is Coming: Robert Gordon and the Future of Economic Growth,Gregory Clark
Perspectives on The Rise and Fall of American Growth,Robert J. Gordon
"Infrastructure, Incentives, and Institutions",Nava Ashraf
"Guns, Latrines, and Land Reform: Dynamic Pigouvian Taxation",Michael Kremer
Appliance Ownership and Aspirations among Electric Grid and Home Solar Households in Rural Kenya,Kenneth Lee
Firm-Level Dispersion in Productivity: Is the Devil in the Details?,Lucia Foster
Productivity Dispersion in Medicine and Manufacturing,Amitabh Chandra
"Market Regulations, Prices, and Productivity",Gilbert Cette
"Regulation, Institutions, and Productivity: New Macroeconomic Evidence from OECD Countries",Balázs Égert
Crowdsourcing City Government: Using Tournaments to Improve Inspection Accuracy,Edward L. Glaeser
Personalized Risk Assessments in the Criminal Justice System,Sharad Goel
Productivity and Selection of Human Capital with Machine Learning,Aaron Chalfin
Cities Are Physical Too: Using Computer Vision to Measure the Quality and Impact of Urban Appearance,Nikhil Naik
The Rapid Adoption of Data-Driven Decision-Making,Erik Brynjolfsson
Copyright Infringement in the Market for Digital Images,Hong Luo
Agglomeration of Invention in the Bay Area: Not Just ICT,Chris Forman
International Data on Measuring Management Practices,Nicholas Bloom
Making Private Data Accessible in an Opaque Industry: The Experience of the Private Capital Research Institute,Leslie Jeng
Modernizing Federal Economic Statistics,William G. Bostic Jr.
Battling over Jobs: Occupational Licensing in Health Care,Morris M. Kleiner
Should the US Eliminate Entry Barriers to the Practice of Law? Perspectives Shaped by Industry Deregulation,Clifford Winston
Disruptive Change in the Taxi Business: The Case of Uber,Judd Cramer
Patents and Research Investments: Assessing the Empirical Evidence,Eric Budish
"Patent Licensing, Technology Transfer, and Innovation",Mark A. Lemley
Patent Quality and Examination in Europe,Dietmar Harhoff
Patent Remedies,Carl Shapiro
Declining Business Dynamism: What We Know and the Way Forward,Ryan A. Decker
Wage Posting and Business Cycles,Giuseppe Moscarini
Firm Entry and Macroeconomic Dynamics: A State-Level Analysis,François Gourio
The Role of Startups in Structural Transformation,Robert C. Dent
Popular Attitudes toward Markets and Democracy: Russia and United States Compared 25 Years Later,Maxim Boycko
"War, Inflation, and Social Capital",Sergei Guriev
Russia's Billionaires,Daniel Treisman
Paid Parental Leave Laws in the United States: Does Short-Duration Leave Affect Women's Labor-Force Attachment?,Tanya S. Byker
Has the Increased Attachment of Women to the Labor Market Changed a Family's Ability to Smooth Income Shocks?,Olga Gorbachev
Evolution of the Marriage Earnings Gap for Women,Chinhui Juhn
The Math Gender Gap: The Role of Culture,Natalia Nollenberger
Does the Market Value CEO Styles?,Antoinette Schoar
Gender Diversity on Corporate Boards: Do Women Contribute Unique Skills?,Daehyun Kim
Playing the Boys Game: Golf Buddies and Board Diversity,Sumit Agarwal
Women on Boards in Finance and STEM Industries,Renée B. Adams
Childhood Environment and Gender Gaps in Adulthood,Raj Chetty
