paper_title,author,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation
Capabilities and Social Justice: Why Economics Needs Philosophy,Martha Nussbaum,University of Chicago,Jan 02 2014,6:30 pm,"Loews Philadelphia Hotel, Regency Ballroom A & B",Association for Social Economics,Opening Plenary Session and Reception,A1,Mark D. White,City University New York
Transboundary Allocation of Groundwater for Fracking under Threat of Salt Water Intrusion,Krishna Paudel,Louisiana State University,Jan 03 2014,8:00 am,"Loews Philadelphia Hotel, Commonwealth Hall A1",Agricultural & Applied Economics Association,The Groundwater-Energy Nexus,Q2,Krishna Paudel,Louisiana State University,Nicholas Brozovic,University of Illinois,David Zilberman,University of California-Berkeley
Transboundary Allocation of Groundwater for Fracking under Threat of Salt Water Intrusion,Biswo Poudel,Louisiana State University,Jan 03 2014,8:00 am,"Loews Philadelphia Hotel, Commonwealth Hall A1",Agricultural & Applied Economics Association,The Groundwater-Energy Nexus,Q2,Krishna Paudel,Louisiana State University,Nicholas Brozovic,University of Illinois,David Zilberman,University of California-Berkeley
The Effects of Energy Prices on Groundwater Extraction in Agriculture in the High Plains Aquifer,C.-Y. Cynthia Lin,University of California-Davis,Jan 03 2014,8:00 am,"Loews Philadelphia Hotel, Commonwealth Hall A1",Agricultural & Applied Economics Association,The Groundwater-Energy Nexus,Q2,Krishna Paudel,Louisiana State University,Nicholas Brozovic,University of Illinois,David Zilberman,University of California-Berkeley
The Effects of Energy Prices on Groundwater Extraction in Agriculture in the High Plains Aquifer,Lisa Pfeiffer,NOAA Fisheries,Jan 03 2014,8:00 am,"Loews Philadelphia Hotel, Commonwealth Hall A1",Agricultural & Applied Economics Association,The Groundwater-Energy Nexus,Q2,Krishna Paudel,Louisiana State University,Nicholas Brozovic,University of Illinois,David Zilberman,University of California-Berkeley
The Role of Energy Costs in Groundwater Pricing and Investments in Desalination and Wastewater Recycling,James Roumasset,University of Hawaii,Jan 03 2014,8:00 am,"Loews Philadelphia Hotel, Commonwealth Hall A1",Agricultural & Applied Economics Association,The Groundwater-Energy Nexus,Q2,Krishna Paudel,Louisiana State University,Nicholas Brozovic,University of Illinois,David Zilberman,University of California-Berkeley
The Role of Energy Costs in Groundwater Pricing and Investments in Desalination and Wastewater Recycling,Christopher Wada,University of Hawaii,Jan 03 2014,8:00 am,"Loews Philadelphia Hotel, Commonwealth Hall A1",Agricultural & Applied Economics Association,The Groundwater-Energy Nexus,Q2,Krishna Paudel,Louisiana State University,Nicholas Brozovic,University of Illinois,David Zilberman,University of California-Berkeley
"How Large Are the Gains from Economic Integration? Theory and Evidence from United States Agriculture, 1880-2002",Arnaud Costinot,Massachusetts Institute of Technology,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
"How Large Are the Gains from Economic Integration? Theory and Evidence from United States Agriculture, 1880-2002",Dave Donaldson,Massachusetts Institute of Technology,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
The Global Welfare Impact of China: Trade Integration and Technological Change,Julian di Giovanni,International Monetary Fund,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
The Global Welfare Impact of China: Trade Integration and Technological Change,Andrei Levchenko,University of Michigan,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
The Global Welfare Impact of China: Trade Integration and Technological Change,Jing Zhang,University of Michigan,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
The Link Between Fundamentals and Proximate Causes of Development,Wolfgang Keller,University of Colorado,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
The Link Between Fundamentals and Proximate Causes of Development,Carol H. Shiue,University of Colorado,Jan 03 2014,8:00 am,"Pennsylvania Convention Center, 202-B",American Economic Association,Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries,F6,John Brown,Clark University,Cecilia Fieler,University of Pennsylvania,Marius Brülhart,University of Lausanne,Sascha O. Becker,University of Warwick,Douglas A. Irwin,Dartmouth College
