paper_title,author,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation
What We Learned from the Global Financial Crisis,Jan Kregel,Levy Economics Institute of Bard College,Jan 02 2016,6:30 pm,"Marriott Marquis, Yerba Buena Salon 8",Association for Social Economics,"Plenary Session and Reception: What We Learned from the Global Financial Crisis (E4, G2)",,Giuseppe Fontana,University of Leeds and University of Sannio
The Gravity of Water: Water Trade Frictions in California,Charles Regnacq,Université de Pau et des Pays de l’Adour,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
The Gravity of Water: Water Trade Frictions in California,Ariel Dinar,University of California-Riverside,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
The Gravity of Water: Water Trade Frictions in California,Ellen Hanak,Public Policy Institute of California Water Policy Center,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Implications of Climate Change for Adaptations through Water Infrastructure and Conservation,Yang Xie,University of California-Berkeley,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Implications of Climate Change for Adaptations through Water Infrastructure and Conservation,David Roland-Holst,University of California-Berkeley,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Implications of Climate Change for Adaptations through Water Infrastructure and Conservation,David Zilberman,University of California-Berkeley,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Bargaining for Recharge: An Analysis of Cooperation and Conjunctive Surface Water-Groundwater Management,Kelly Cobourn,Virginia Tech,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Bargaining for Recharge: An Analysis of Cooperation and Conjunctive Surface Water-Groundwater Management,Levan Elbakidze,West Virginia University,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Bargaining for Recharge: An Analysis of Cooperation and Conjunctive Surface Water-Groundwater Management,Gregory Amacher,Virginia Tech,Jan 03 2016,8:00 am,"Marriott Marquis, Sierra C",Agricultural & Applied Economics Association,Water Resource Management Challenges: Efficient Institutions and Policies,Q5,Levan Elbakidze,West Virginia University,Jeffrey Peterson,University of Minnesota
Family Planning and Fertility in South Africa under Apartheid,Johannes Norling,University of Michigan,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
"The Natural Limits of Segregation and Re-Integration: Race, Space, and Voting in the New South Africa",Daniel de Kadt,Massachusetts Institute of Technology,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
"The Natural Limits of Segregation and Re-Integration: Race, Space, and Voting in the New South Africa",Melissa Sands,Harvard University,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
The persistence or reversal of subnational fortune in South Africa,Johan Fourie,Stellenbosch University,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
The persistence or reversal of subnational fortune in South Africa,Dieter von Fintel,Stellenbosch University,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
Labor Migration and Structural Change in Rural Labor Markets: Evidence from Malawi,Taryn Dinkelman,Dartmouth College,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
Labor Migration and Structural Change in Rural Labor Markets: Evidence from Malawi,Grace Kumchulesi,University of Malawi,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
Labor Migration and Structural Change in Rural Labor Markets: Evidence from Malawi,Martine Mariotti,Australian National University,Jan 03 2016,8:00 am,"Hilton Union Square, Golden Gate 5",American Economic Association,Apartheid as Natural Experiment,N3,James A. Robinson,Harvard University,Martine Mariotti,Australian National University,Katherine Eriksson,University of California-Davis,Remi Jedwab,George Washington University,Paulo Bastos,World Bank
Ethnic Complementarities after the Opening of China: How Chinese Graduate Students Affected the Productivity of Their Advisors,George J. Borjas,Harvard University,Jan 03 2016,8:00 am,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Brain Drain, Gain and Circulation (F2, O3)",,Caglar Ozden,World Bank,Caglar Ozden,World Bank,Kirk B. Doran,University of Notre Dame,David McKenzie,World Bank,Frederic Docquier,University Catholic Louvain
Ethnic Complementarities after the Opening of China: How Chinese Graduate Students Affected the Productivity of Their Advisors,Kirk B. Doran,University of Notre Dame,Jan 03 2016,8:00 am,"Hilton Union Square, Continental – Parlor 1",American Economic Association,"Brain Drain, Gain and Circulation (F2, O3)",,Caglar Ozden,World Bank,Caglar Ozden,World Bank,Kirk B. Doran,University of Notre Dame,David McKenzie,World Bank,Frederic Docquier,University Catholic Louvain
