"author"
"Biswo Poudel"
"C.-Y. Cynthia Lin"
"Simon Halphen Boserup"
"Young-Il Kim"
"Tomas Rodriguez Barraquer"
"Hanzhe Zhang"
"Taejong Kim"
"Jungho Kim"
"Sunjin Kim"
"Bing-ru Teh"
"Honbin Li"
"Heinrich Ursprung"
"Juanna Joensen"
"Sugato Chakravarty"
"Daifeng He"
"Osea Giuntella"
"Kalena Cortes"
"Incheol Kim"
"Oscar A. Mitnik"
"Hyungsik Roger Moon"
"Sohnke m Bartram"
"Dakshina G. De Silva"
"Viplav Saini"
"Thushyanthan Baskaran"
"Zohal Hessami"
"Amrei Lahno"
"André F. Veiga"
"Simon Gervais"
"Baolian Wang"
"Rangarajan K. Sundaram"
"Hongjun Yan"
"Kari Sigurdsson"
"Casidhe Horan"
"Jerry Tsai"
"Xiaodan Gao"
"Jean-Sebastien Fontaine"
"Sermin Gungor"
"Seow Eng Ong"
"Chamna Yoon"
"Carsten Holz"
"Yanrui Wu"
"Haizheng Li"
"Zohreh Emami"
"Danling Jiang"
"Jianqing Fan"
"Zhipeng Liao"
"Pär Holmberg"
"Zhenyu Lai"
"Che-Lin Su"
"Ayse Ozgur Pehlivan"
"Eiichiro Kazumori"
"Leonard Tchuindjo"
"Sephorah Joanne Mangin"
"Avanidhar Subrahmanyam"
"Wen-Jui Han"
"Jun-Ji Shih"
"Christaan Hogendorn"
"J. A. Tapia Granados"
"Özgür Orhangazi"
"Armagan Gezici"
"Shaianne Osterreich"
"Rajen Mookerjee"
"A.N. Orisakwe"
"Akpan Ekpo"
"Xiaoxue Du"
"H. Holly Wang"
"Nicolas Magud"
"Jan-Emmanuel De Neve"
"Femke De Keulenaer"
"Ejindu Ume"
"Erwann Michel-Kerjan"
"Nidhiya Menon"
"Xiaobing Feng"
"Beom Jun Kim"
"Liangfei Qiu"
"Huaxia Rui"
"Berardino Palazzo"
"M. Udara Peiris"
"Vilsa Curto"
"Y. Peter Chung"
"Jinqiang Yang"
"Ngoc-Khanh Tran"
"Kadiri Karamon"
"Sewin Chan"
"Weizheng Xiao"
"Pegaret Pichler"
"T.C.C. Lai"
"Jose Carrasco-Gallego"
"Ruben Hernandez-Murillo"
"Jesus Ferreiro"
"C. McInnis-Bowers"
"Berhanu Nega"
"Diksha Arora"
"Changzheng Liu"
"Dae-Wook Kim"
"Jong-Ho Kim"
"YinWong Cheung"
"Menzie Chinn"
"Xingwang Qian"
"ShangJin Wei"
"Binglin Gong"
"Braz Camargo"
"Kyungmin Kim"
"Yuanchuan Lien"
"J. Daniel Hammond"
"Oregon Health Study Group"
"Rudiger Bachman"
"Boromeus Wanengkirtyo"
"Dadhi Adhikari"
"Kosali Simon"
"Hyeon-Kyeong Kim"
"L. Randall Wray"
"Parke Wilde"
"Kiplan Womack"
"University of Hull"
"Anusa Datta"
"Sushanta K. Mallick"
"Bansi Sawhney"
"W.C.M. van Veen"
"J. Huang"
"H. Qiu"
"M.A. Keyser"
"Quilin Chen"
"Bjorn Gustafsson"
"Brendan Livingston"
"Jose J. Vazquez"
"Bibek Adhikari"
"Caine Rolleston"
"Jadwiga R. Ziolkowska"
"Stéphane Hallegatte"
"Xiaohui Tian"
"Garett Jones"
"Ludger Woessmann"
"Coady Wing"
"Bastiaan Oud"
"Patricia Andreski"
"Brandice Canes-Wrone"
"Tano Santos"
"Raul Sampognaro"
"Agnes Quisumbing"
"Jinnat Ara"
"Rozina Haque"
"Raymindo M. Campos-Vazquez"
"Kewei Hou"
"Jongha Lim"
"Arjen Siegmann"
"Denitsa Stefanova"
"Ioanid Rosu"
"Yajun Wang"
"Leonard Kiefer"
"Yongheng Deng"
"Hartmut Lehmann"
"Anzelika Zaiceva"
"Basab Dasgupta"
"Pushkar Maitra"
"Santanu Mitra"
"Ananta Neelim"
"Svenn Jensen"
"Gernot Wagner"
"Julapa Jagtiani"
"Amitrajeet Batabyal"
"Nisvan Erkal"
"Saktinil Roy"
"Madanmohan Ghosh"
"Yanqun Zhang"
"Yothin Jinjarak"
"Zhanhui Chen"
"Baozhong Yang"
"Haitao Li"
"Xuewei Yang"
"Donghoon Lee"
"V. Joseph Hotz"
"Myongjin Kim"
"Jafar M. Olimov"
"Seung-Gyu (Andrew) Sim"
"Shoya Ishimaru"
"Haichao Fan"
"M. Kate Bundorf"
"Sjoerd Van Bekkum"
"Carsteb Hubensack"
"Ata Can Bertay"
"Tsutomu Watanabe"
"Yoto Yotov"
"Myeong-Su Yun"
"Ophira Vishkin"
"Ruedi Epple"
"Alpay Filiztekin"
"Nooman Rebei"
"Xuguang Sheng"
"Sevinc Rende"
"LaPorchia Collins"
"Heekyung Hellen Kim"
"Chaithanya Bandi"
"Kyungho Jang"
"Maxim Mironov"
"Ekatherina V. Zhuravskaya"
"Songman Kang"
"Per-Olof Robling"
"Shahe Emran"
"Asadul Islam"
"Quoc-Anh Do"
"Andres Fernandez"
"Yahong Zhang"
"Youchang Wu"
"Daiji Kawaguchi"
"Hideo Owan"
"Bilesha Weeraratne"
"Jee-Yeon K. Lehmann"
"Firouz Gahvari"
"Jingzhi Huang"
"Zhenzhen Sun"
"Merih Sevilir"
"B. Espen Eckbo"
"Veljko Fotak"
"Omrane Guedhami"
"Chenxi Luo"
"N. Edward Coulson"
"Neeltje van Horen"
"Jaap Bos"
"Subhrendu K. Pattanayak"
"V. Brian Viard"
"Shihe Fu"
"Yiseon Yoo"
"Jungwon Yeo"
"Ivan Jaccard"
"Sendhil Mullanaithan"
"Floris Heukelom"
"Lenno Uuskyla"
"Jean-Edouard Colliard"
"Kyuil Chung"
"Hail Park"
"Julia R. Henly"
"Jaeseung Kim"
"Dr. Jeffrey Pfeffer"
"Dr. Byron Y. Lee"
"G. Steven McMillan"
"Rana Hendy"
"B. Can Karahasan"
"Léonce Ndikumana"
"University of Kansas"
"Depankar Basu"
"Mwangi wa Githinji"
"Mthuli Ncube"
"Abebe Shimeles"
"Thouraya Triki"
"Imen Kouki"
"Graton Gathright"
"Zhongjin Li"
"Matias Vernengo"
"Kerk Phillips"
"Erlend Bø"
"Juhani Linnainmaa"
"Huasheng Gao"
"C. Wei Li"
"Bige Kahraman"
"Yingdi Wang"
"W. Scott Frame"
"Diana Hancock"
"Hong Lee"
"Kristle Romero Cortes"
"Zackary Hawley"
"J David Cummins"
"Tzuting Lin"
"J Tyler Leverty"
"Raimond Maurer"
"Shinichi Kamiya"
"Rojhat Avsar"
"René Reich-Graefe"
"Codrina Rada"
"Na Liu"
"Nabamita Dutta"
"Sanjukta Roy"
"U. Vinodhini"
"Nicolas Querou"
"Agnes Tomini"
"Adrian Lopes"
"Oscar Valencia"
"H. E. Frech, III"
"Jaap Abbring"
"Pierre-André Chiappori"
"Kai-Uwe Kuhn"
"Cesar Calderon"
"Sunghyun Henry Kim"
"Yoonseok Choi"
"Ines Zapf"
"Tunay Oguz"
"François-Xavier Devetter"
"Wassim Shahin"
"Shawkat Hammoudeh"
"G. Gulsun Akin"
"Victor Matheson"
"Signe-Mary McKernan"
"Thesia Garner"
"Jesus Felipe"
"Jean-Charles Rochet"
"Kellin Stanfield"
"Pim Heijnen"
"A. H. van der Weijde"
"E. T. Verhoef"
"V.A.C. van den Berg"
"Yu-Hsi Liu"
"R.J. Briggs"
"Fuhito Kojima"
"Yeon-Koo Che"
"Byung-Cheol Kim"
"Jeongsik Lee"
"Jose Fernandez"
"Stephan Gohmann"
"Pingfan Hong"
"Yulai Wan"
"Anming Zhang"
"Athena Roumboutsos"
"University of Memphis"
"Mwanza Nkusu"
"Linguère Mously Mbaye"
"Malokele Nanivazo"
"Gueourgui Kambourov"
"Denrick Bayot"
"Kalvinder Shields"
"Simon van Norden"
"Sandile Hlatshwayo"
"See-Jik Kim"
"Cherly Grim"
"Jón Steinsson"
"Xiaoxia Shi"
"Yu-Chin Hsu"
"Nesse Yildiz"
"Brendan Price"
"Rajashri Chakrabarti"
"Patricia Navarro-Palau"
"Jeromin Zettelmeyer"
"Mitu Gulati"
"Björn Tyrefors-Hinnerich"
"Patricia Funk"
"Tomoé Bourdier"
"Hyunseob Kim"
"Jiaping Qiu"
"Zacharias Sautner"
"Seung-Hyun Hong"
"Risheng Mao"
"Balasz Egert"
"Zdravka Todorova"
"A. Abigail Payne"
"María P. Recalde"
"C. Yiwei Zhang"
"Min-Dong Paul Lee"
"Tanju Yorulmazer"
"Y. Stephen Chiu"
"HughBoqun Wang"
"Yanjiao Song"
"Jerry Lao"
"Luis Angeles"
"Geoffroy de Clippel"
"J. David Lopez-Salido"
"Damba Lkhagvasuren"
"J. Michael McWilliams"
"Somesh Nigam"
"Nantiya Ruan"
"Tin-Chun Lin"
"Esben Schultz"
"Khusrav Gaibulloev"
"S. Brock Blomberg"
"Wenhua Di"
"Shushanik Hakobyan"
"Mehrene Larudee"
"Cédric Jean-Laurent Elie Gorinas"
"Mallesh Pai"
"Huigang Chen"
"Aparajita Goyal"
"Bakhrom Mirkasimov"
"Kebin Ma"
"Byoung-Hyoun Hwang"
"Chengxi Yin"
"Ranadeb Chaudhuri"
"Qinghai Wang"
"J. Mulherin"
"K. Janean Westby-Gibson"
"Mevlude Akbulut-Yuksel"
"Ming-jen Lin"
"Jesus Hernandez"
"Lanse Minkler"
"F. Gregory Hayden"
"Stephan Nuesch"
"J. Scott Holladay"
"Muhamet Yildiz"
"Amartya Lahiri"
"Junmin Liao"
"Stephan Lauermann"
"Sambuddha Ghosh"
"Seungjin Han"
"Tymofiy Mylovanov"
"Ayca Kaya"
"Qianyun Xie"
"C. Jeffrey Waddoups"
"Julia A. Cottle"
"Gunseli Berik"
"Varadarajan Chari"
"Peer Skov"
"Soohyung Lee"
"Namwook Kang"
"Samuli Knüpfer"
"Vojtech Bartos"
"Rodney J. Andrews"
"Horag Choi"
"Margarida Duarte"
"Tanjim Hossain"
"Sissel Jensen"
"Vanitha Raguratham"
"Markku Kaustia"
"Jiading Gai"
"Oguzhan Ozbas"
"Heikki Rantakari"
"Yingmei Cheng"
"Yildiray Yildirim"
"Mouhcine Guettabi"
"Harounan Kazianga"
"C. Lockwood Reynolds"
"Adrian Babin"
"Tareque Nasser"
"Debopam Bhattacharya"
"Pengfei Zhang"
"Loretti Isabella Dobrescu"
"Costantinos Daskalakis"
"Martín Valdivia"
"Vellore Arthi"
"Françoise Carré"
"Brandynn Holgate"
