"author"
"Malokele Nanivazo"
"Mackensie Bluedorn"
"Hyunok Lee"
"Jisang Yu"
"Xiaoxue Du"
"Simon Quinn"
"Leeat Yariv"
"Gilat Levy"
"Nicolas Ernesto Magud"
"Luis Felipe Cespedes"
"Josse-Luis Peydro"
"Lant Pritchett"
"Patricia Anderson"
"Zhihong Yu"
"Daifeng He"
"Yuping Tsai"
"Helene Bourguignon"
"Gurdip Bakshi"
"Fousseni Chabi-Yo"
"Ctirad Slavik"
"Jinqiang Yang"
"Gaiyan Zhang"
"Arito Ono"
"Iichiro Uesugi"
"Maria-Teresa Marchica"
"Hung-Chia Scott Hsu"
"Wenyu Wang"
"Donghua Chen"
"Mingming Zhou"
"Chunhua Lan"
"Zacharias Sautner"
"Seow Eng Ong"
"Meijun Qian"
"Sheharyar Bokhari"
"Anjeza Kadilli"
"Kustrim Reka"
"Jianqing Ruan"
"Necati Celik"
"Florens Flues"
"Yen-Cheng Chang"
"Na Wang"
"Chunxin Jia"
"Yaping Wang"
"Hyungsik Roger Moon"
"Xianhua Peng"
"Kosali Simon"
"Rodney Garratt"
"Diana Bonfim"
"Françoise Carré"
"J. David Brown"
"Tsz Lueng Yip"
"Mehrene Larudee"
"Victor Lippit"
"Julia Poznik"
"Ruchira Sen"
"Victor Zhorin"
"Asuman Ozdaglar"
"Victor Aguirregabiria"
"Maoyong Fan"
"Guojun He"
"Maigeng Zhou"
"B. Kelsey Jack"
"Joseba Martinez"
"Dan-Olof Rooth"
"Quoc-Anh Do"
"Wenbiao Cai"
"Minwen Li"
"Ugur Lel"
"Nagpurnanand Prabhala"
"Shiyang Huang"
"Sangho Yi"
"Pavol Povala"
"Bochao Zhang"
"Raimond Maurer"
"Olivia Mitchell"
"Tae-Hee Jo"
"Zdravka Todorova"
"Wen-Tai Hsu"
"Guiying Laura Wu"
"Yin-Wong Cheung"
"Xingwang Qian"
"Yannay Spitzer"
"Darracq Paries"
"Jean-Stephane Mesonnier"
"Jacobus Cilliers"
"Miguel A. Melendez-Jimenez"
"H. E. Frech"
"Malathy Duraisamy"
"Palanigounder Duraisamy"
"Petit Pascal"
"Mthuli Ncube"
"Bichaka Fayissa"
"Laureline Pla"
"Thouraya Triki"
"Stergios Skaperdas"
"Guohua Feng"
"Kuochih Huang"
"Ivan Kandilov"
"Jikun Huang"
"Satyanarain Rengarajan"
"Leilei Shen"
"Rajashri Chakrabarti"
"Amitrajeet A. Batabyal"
"University of Hull"
"Sushanta Mallick"
"Myuang Zhang"
"Yongzheng Liu"
"Taoxiong Liu"
"Shihe Fu"
"José M. Edwards"
"Ivan Moscati"
"Risikat Oladoyin S. Dauda"
"Sunčica Vujić"
"Carsten Herrmann-Pillath"
"Kodjo Aflagah"
"E. Frank Stephenson"
"Pingfan Hong"
"Orley Ashenfelter"
"Jan-Egbert Sturm"
"Hoonsuk Park"
"Martín Uribe"
"Hosung Jung"
"Joao Paulo Vieto"
"Jongsub Lee"
"Youqing Fan"
"Linxiang Ye"
"Liqiu Zhao"
"Johanna Francis"
"Ayse Sapci"
"Graton M. Gathright"
"Kris-Stella Trump"
"Jakina Debnam"
"S. \"Vish\" Viswanathan"
"Yrjo Koskinen"
"Avanidhar Subrahmanyam"
"Maik Schmeling"
"Lubomir Petrasek"
"Pengjie Gao"
"Xiaoxia Lou"
"Bingxu Chen"
"Shimeng Liu"
"Tingyu Zhou"
"Pratish Patel"
"Hong Ma"
"Shuichiro Nishioka"
"Chong-En Bai"
"Md. Nazmul Ahsan"
"Debdulal Mallick"
"Kenmei Tsubota"
"Wolfram Elsner"
"Merijn Knibbe"
"Paramita Sinha"
"Xiaohan Ma"
"Guofang Huang"
"Yinghua He"
"Yaohui Zhao"
"M. Clement Joubert"
"M. Bumin Yenmez"
"Willemien Kets"
"Anqi Li"
"Miltiadis Makris"
"Cars H. Hommes"
"Shin-Yi Chou"
"Shailender Swaminathan"
"Johanna Mollerstrom"
"Seza Danisoglu"
"Nuray Guner"
"Jón Steinsson"
"Özgür Orhangazi"
"Tanadej Vechsuruck"
"Jerry Hionis"
"Yiping Huang"
"Binkai Chen"
"Rudai Yang"
"Abhiroop Mukhopadhyay"
"Subha Mani"
"Prudhvikar Reddy"
"J. Michael Collins"
"Sangsuk Yoon"
"Heiwai Tang"
"Xiaoyu Tian"
"Ines Buono"
"Jinwen Xu"
"V. Joseph Hotz"
"Ljubica Nedelkoska"
"Simon Wiederhold"
"Julia M. Schwenkenberg"
"Tarjei Havnes"
"Tuomas Pekkarinen"
"Roope Uusitalo"
"Jennjou Chen"
"Tsui-Fang Lin"
"Radhakrishnan Gopalan"
"Xiaodan Gao"
"Azizjon Alimov"
"Hadiye Aslan"
"Xuanjuan Chen"
"Zhenzhen Sun"
"Xisong Jin"
"Zhenyu Gao"
"Yongqiang Chu"
"Feven Wordofa"
"Y. Jane Zhang"
"Stale Navrud"
"Morley Gunderson"
"T.H. Gindling"
"Xinxin Ma"
"Taisuke Otsu"
"Zhengyuan Gao"
"Ilwoo Hwang"
"Francesc Dilme"
"Tymofiy Mylovanov"
"Ivan Fernandez-Val"
"Stephan Lauermann"
"Geetesh Bhardwaj"
"María Teresa Martínez-García"
"Abderrezak Benhabib"
"Rana Hendy"
"Chahir Zaki"
"Kalena Cortes"
"Swarna Sadasivam Vepa"
"R.V. Bhavani"
"Kari Heerman"
"Gopinath Munisamy"
"Suting Hong"
"Andres Vargas"
"Luosha Du"
"Xinshen Diao"
"Siyu Wang"
"Arunima Sinha"
"Odilon Camara"
"Jose Ursua"
"Li-an Zhou"
"Shilin Zheng"
"Yougou Zhang"
"Marie-Helene Hubert"
"Berardino Palazzo"
"Bhaskaran Swaminathan"
"Zhongzhi Song"
"Chishen Wei"
"Dexin Zhou"
"Fabian Eser"
"Harjoat Bhamra"
"Jiro Yoshida"
"M. Shahid Ebrahim"
"V. Brian Viard"
"Gernot Wagner"
"Xiumin Martin"
"Mintra Dwarkasing"
"Chandan K. Jha"
"Philadelphia University"
"Sudipta Sarangi"
"Shrabani Saha"
"Arusha Cooray"
"Shreyasee Das"
"Jayati Sarkar"
"Been-Lon Chen"
"Shian-Yu Liao"
"Hsien-Ming Lien"
"Ching-to Albert Ma"
"Siu-Kai Choy"
"Tat-kei Lai"
"Chaojun Wang"
"Sidartha Gordon"
"Nicolas Alexandre Klein"
"Yingni Guo"
"Modibo Sidibe"
"Nicolas Pistolesi"
"Cavit Pakel"
"Tuan-Hwee Sng"
"Cesar Mantilla"
"A. Mark Fendrick"
"Mizuki Komura"
"J. Y. Suchitra"
"Jean-Stéphane Mésonnier"
"José Lopez"
"Kebin Ma"
"Danielken Molina"
"Yuhta Ishii"
"In-Uck Park"
"Jooyeon Son"
"Maharouf Oyolola"
"Areerat Kichkha"
"Dong-Min Rieu"
"Jose Fernandez"
"Stephan Gohmann"
"K. Tamara Konetzka"
"Yueming Qiu"
"Diana Knyazeva"
"Jeno Pal"
"Doh-Shin Jeon"
"Byung-Cheol Kim"
"Almas Heshmati"
"Wasseem Mina"
"Lingxiao Zhao"
"T. Randolph Beard"
"Nicolas Aguelakakis"
"Shimeles Abebe"
"African Development Bank"
"Inoussa Boubacar"
"Oluyemisi Kuku-Shittu"
"Mekongcho T. Metuge"
"Gayaneh Kyureghian"
"Cesar Revoredo-Giha"
"Faical Akaichi"
"Yoto Yotov"
"Jerry Hausman"
"Andres Aradillas-Lopez"
"Julia Lane"
"Gopa Biswas"
"Yildiray Yildirim"
"Janneke Ratcliffe"
"Hartmut Lehmann"
"Anzelika Zaiceva"
"Kellin Chandler Stanfield"
"Abhilasha Srivastava"
"Guangliang Le"
"Antung A. Liu"
"S. Katie Moon"
"Neophytos Lambertides"
"Qun Zhang"
"Vikkas Kakkar"
"Iikka Korhonen"
"Yanqun Zhang"
"Clément de Chaisemartin"
"Hwan-sik Choi"
"Sagiri Kitao"
"Avihai Lifschitz"
"Aubhik Khan"
"Julia Thomas"
"Taisuke Nakata"
"Cléo Chassonnery-Zaigouche"
"Tumer Kapan"
"W. David Bradford"
"Afrasiab Mirzayand"
"Yong-Gook Jung"
"Natarajan Balasubramanian"
"Raul Caruso"
"Charalampos Konstantinidis"
"Yorghos Tripodis"
"and Friends"
"Vulcan Productions and Cinelan Films"
"Huaxia Rui"
