session_title,year,number_of_authors,number_of_papers
"""Keynes and the International Monetary System"": The Centennial of Keynes (1913) Indian Currency and Finance",2013,5,4
"""Preferences"" and the Social Responsibility of Production and Consumption",2012,7,4
"(Feminist) Economic Decision Making: Marriage, Mobility, and Fertility",2015,10,4
$15 Minimum Wage Policies: Early Evidence,2018,12,3
"200 Years of Women Economists (Co-Hosted with CSWEP) (B1, B2)",2016,5,4
2018 David Gordon Memorial Lecture,2018,1,1
50 Years of the Journal of Economic Education,2019,5,4
5th Annual Music Session,2015,15,4
60 Million Refugees,2016,4,4
6th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter,2014,3,3
7th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter,2015,14,8
8th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter,2016,3,3
A Dialog on the Transformation Problem,2018,4,4
"A Discussion of Thomas Piketty's ""Capital in the 21st Century""",2015,5,4
A New International Monetary Order?,2012,4,4
A New Supplemental Poverty Measure for the United States,2011,5,4
A Tale of Two Methods - Confronting Empirical Economics,2013,4,4
A Woman's Touch: Women in Senior Leadership Positions,2014,8,3
Abundance Denied: Consequences of the Great Recession,2013,7,5
Academic and Market Power in Scholarly Publishing,2014,9,4
"Accountability, Collective Action, and Information in Economic Development",2014,11,4
Accounting for Earnings Capacity and Worklife Expectancy,2019,7,3
Accounting for Gender Differential Outcomes,2019,9,5
Acquisitions: Novel Aspects,2012,9,4
Active and Passive Investors,2019,11,4
Addressing Youth Unemployment: New Evidence From Field Experiments,2018,16,4
Adjusting to Globalization: The Americas Perspective,2019,14,4
Advance in the Theory of Contests and Tournaments,2012,8,4
Advances in Asset Pricing,2016,9,4
Advances in Behavioral Economics,2013,5,3
"Advances in Behavioral Economics (C9, D9)",2016,14,4
Advances in Big Data Research in Economics,2018,13,3
"Advances in Collusion and Antitrust Policy (K2, L4)",2015,5,3
Advances in Contest Theory,2018,6,4
Advances in Contract and Tax Theory,2016,8,4
Advances in Dynamic Mechanism Design,2019,7,4
"Advances in Empirical Climate Economics (Q5, O4)",2015,10,4
Advances in Energy Economics Research,2013,12,4
Advances in Energy Economics Research,2014,6,4
Advances in International Economics,2018,12,4
Advances in International Finance,2016,11,4
Advances in International Finance,2018,9,4
Advances in International Macroeconomics,2011,10,4
Advances in International Trade,2012,11,4
Advances in International Trade,2018,14,4
Advances in Macroeconometrics,2014,11,4
Advances in Matching Theory,2016,10,5
Advances in Micro-Econometrics,2019,11,4
Advances in Modeling Human Capital and Education,2019,8,5
Advances in Natural Resource Economics,2014,9,4
Advances in Open Macroeconomics,2014,11,4
"Advances in Open Macroeconomics (F3, E4)",2015,9,4
"Advances in Open Macroeconomics: Frictions in Goods and Financial Markets (F4, F3)",2016,9,4
Advances in Optimal Taxation,2012,6,3
Advances in Public Policy Analysis and Race/Ethnicity,2011,10,6
Advances in Search Theory,2018,6,4
Advances in Strategic Human Resource Management Theory and Practice,2014,5,4
Advances in the Economics of Education,2013,3,2
"Adverse Selection and Risk Adjustment (I1, D8)",2015,12,4
AEA Awards Ceremony and Presidential Address,2014,1,1
AEA Committee on Economic Education Poster Session,2018,28,19
AEA Committee on Economic Education Poster Session,2019,35,18
AEA Committee on the Status of Minority Groups in the Economics Profession--Dissertation Session,2011,5,5
AEA Committee on the Status of Minority Groups in the Economics Profession--Dissertation Session,2012,5,5
AEA/AFA Joint Luncheon - Fee Event,2014,1,1
"AEA/CSMGEP Dissertation Session (J1, I1)",2016,4,4
AEA/ODE Faculty Advisor Session,2013,5,4
"AEA/ODE Graduate-Student Session (G,H)",2012,4,4
AFA LECTURE - Neuroscience and Finance,2016,1,1
AFA Ph.D. Student Poster Session,2018,112,78
AFA Ph.D. Student Poster Session,2019,156,94
AFA/AFE Panel - Innovation and Finance,2011,9,3
Affordable Care Act Issues in the Trump Era,2019,9,3
Affordable Housing,2012,11,4
Affordable Housing,2019,10,4
Africa Development Issues,2011,8,6
African Development,2013,10,6
African Development,2014,12,6
African Economic Development I,2012,8,6
African Economic Development II,2012,10,6
African Economic Development: Regional Economic Integration,2018,8,6
African Economic Growth and Development,2012,7,5
African Economic Growth and Development,2014,10,6
"African Leaders, Longevity, Policies, and Impacts",2018,5,4
Aftermath of the Great Recession: Labor Markets in Flux,2016,4,4
Agency and Bargaining,2018,11,4
"Agency and Brokerage (R3, J4)",2016,10,4
Agency and Investment,2014,11,4
Agency Conflicts and Asset Pricing,2014,8,4
Agency Problems,2013,7,3
Agency Problems,2019,11,4
Agency Problems and Marketing of Real Estate,2014,9,4
Agglomeration and Entrepreneurship,2011,10,4
Agglomeration and Herding,2012,11,4
Agglomeration Economies and Development,2018,8,4
"Aggregate Demand Externalities (E6, E2)",2015,6,3
Aggregate Fluctuations,2013,11,4
Aggregate Implications of Belief Heterogeneity,2018,12,4
Aggregate Implications of International Capital Flows and Offshoring,2015,9,4
Aggregate Models in International Economics,2014,10,5
Aggregate Shocks and Investment Dynamics: Lessons From the Micro Data,2018,8,4
Aggregate Volatility Shocks: Real and Financial Effects,2016,8,3
"Aging and its Economic Consequences (J1, I1)",2016,7,3
"Aging, Cognitive Ability and Financial Literacy",2019,8,3
Agricultural Economics,2018,9,4
Agricultural Export Restrictions,2011,5,3
"Agricultural Extension, Transactions Costs and Supply Response",2011,13,3
"Agricultural Insurance in Developing and Emerging Economics: Demand, Impacts, and Future Prospects",2019,6,3
Agricultural Mechanization in Developing Countries,2013,15,4
"Agricultural Production, Diets and Health",2018,15,4
"Agricultural Productivity, With an International Perspective",2018,7,4
"Agricultural R&D, Productivity and Greenhouse Gas Emissions",2013,12,4
"Agriculture, Land Use and Climate",2014,8,4
AILR/LERA Best Papers Session,2011,6,5
AILR/LERA Best Papers Session,2012,7,4
Air Pollution and Development,2012,13,4
Air Pollution and Public Health,2013,8,4
Air Pollution in Developing Countries,2014,11,4
"Air Pollution, Sorting and Human Capital",2018,8,4
Allocation Decisons in Uncertain Dynamic Environments,2012,7,4
Alternative Credit and Consumer Rationality,2012,6,4
Alternative Forms of Worker Representation: Lessons from Selected Sectors and Countries,2012,5,4
Alternative Views of the Business Cycle: Quantitative Analyses,2016,9,4
"Altruism and Religiosity (H4, D6)",2015,8,3
Analysis and Computation of Large Games and Mechanisms,2012,8,4
Analysis of Trade and Localization in Agricultural Products and Processed Foods,2016,6,3
Analyst and Stock Price Information,2011,14,4
"Analysts, News, Media and Market Sentiment",2018,9,3
"Analysts, News, Media and Market Sentiment",2019,7,4
"Analysts: Forecasts, Following, etc.",2012,8,4
"Analysts: Forecasts, Following, etc.",2013,14,4
Analyzing Institutions and Institutional Change,2018,5,5
"Analyzing Market Interactions with Microdata (J2, J3)",2015,9,4
Analyzing Occupational Licensing across Institutional Settings,2012,12,4
"Analyzing the Dynamics of Social Networks in Developing Economies - Methods of Linking Theory to Data (O1, O3)",2015,6,4
Anchoring and Reference Points,2012,7,3
Ancient States and Civilizations,2016,8,3
Andrew Brimmer Policy Forum,2011,5,5
Annual Poster Session on Active Learning Strategies,2012,41,24
Annuity Markets and Retirement Income Security,2018,11,4
Anomalies,2011,9,3
Anomalies,2012,8,3
Anomalies - Behavioral,2012,8,3
Anomalies - Individuals or Institutions,2011,6,3
Anomalies and Inefficiency 1,2012,7,3
Anomalies and Inefficiency 2,2012,8,3
Anomalies and Inefficiency I,2013,7,3
