"","session_title","session_jel_code","number_of_authors","n"
"1","","",83,8
"2","""Keynes and the International Monetary System"": The Centennial of Keynes (1913) Indian Currency and Finance","B1",5,4
"3","A Tale of Two Methods - Confronting Empirical Economics","B4",4,4
"4","Abundance Denied: Consequences of the Great Recession","E2",7,5
"5","Advances in Behavioral Economics","D0",5,3
"6","Advances in Energy Economics Research","Q4",12,4
"7","Advances in the Economics of Education","I2",3,2
"8","AEA/ODE Faculty Advisor Session","E6",5,4
"9","African Development","O1",10,6
"10","Agency Problems","G3",7,3
"11","Aggregate Fluctuations","E1",11,4
"12","Agricultural Mechanization in Developing Countries","Q1",16,4
"13","Agricultural R&D, Productivity and Greenhouse Gas Emissions","Q1",12,4
"14","Air Pollution and Public Health","Q5",8,4
"15","Analysts: Forecasts, Following, etc.","G1",14,4
"16","Anomalies and Inefficiency I","G1",7,3
"17","Anomalies and Inefficiency II","G1",13,4
"18","Anomalies and Inefficiency III","G1",5,4
"19","Arbitrage, Trading, and Frictions","G1",7,3
"20","Are Asia's Workplaces at the Mercy of New Economic Realities or Not?","J5",5,5
"21","Are Health and Health Care Getting Better in the United States?","I1",6,3
"22","Artistic Careers and the Creative Workforce","J5",7,4
"23","Assessing the Damage: The Emerging Consequences of the Great Recession","J5",7,4
"24","Assessing the Impacts of Job Loss","J6",10,4
"25","Assessing Unconventional Monetary Policy","E5",10,3
"26","Asset Pricing","G1",20,8
"27","Auction Theory","D4",3,3
"28","Bad Behavior","K4",9,5
"29","Bank Governance and Crises","G2",11,4
"30","Banking and Financial Institutions I","G2",7,3
"31","Banking and Financial Institutions II","G2",10,3
"32","Banking and Financial Institutions III","G2",8,3
"33","Bankruptcy and Distress","G3",10,4
"34","Behavioral Approaches to Adoption of Green Technologies","Q4",9,4
"35","Behavioral Corporate Finance","G3",6,3
"36","Behavioral Finance-Individuals","G1",8,4
"37","Behavioral Responses to Nonlinear Insurance Prices","D4",10,4
"38","Belief Heterogeneity in Asset and Insurance Markets","D4",7,4
"39","Beliefs Distortions and Welfare","D9",7,3
"40","Big Data, New Data","Y1",12,4
"41","Bounded Rationality","D8",6,4
"42","Bounded Rationality, Switching Costs and Competitive Strategies","L1",4,3
"43","Bubbles and Real Estate Cycles","R2",9,4
"44","Business Cycles, Household Formation, and Demographic Changes","E3",7,4
"45","Capital Controls and the International Monetary System","F3",10,4
"46","Capital Flows, Financial Stability and Macroprudential Policies","E2",9,4
"47","Capital Structure","G3",8,4
"48","Causes and Consequences of Credit Default Swap Trading","G1",10,4
"49","Causes and Consequences of Split-Household Migration","O1",12,4
"50","Central Bank Independence: Reality or Myth?","E5",5,4
"51","Challenges for the Chinese Labor Market","J3",12,5
"52","Child Care, Mother's Time, and Familial Well- being","J1",8,4
"53","Child Health in Developing Countries","I1",9,4
"54","China and the World Economy","O5",9,4
"55","Choosing a College and Finishing College","I2",9,4
"56","Climate Change and Valuation","Q5",9,4
"57","College Access, College Choice, and College Success","I2",8,4
"58","Commercial Real Estate","R1",7,3
"59","Compensation and Incentives","G3",8,3
"60","Competing Monetary Strategies, Where Do We Go from Here?","E5",7,4
"61","Consequences of Health Reform for Private Markets: Evidence from Public Sector Regulations","I1",8,4
"62","Consumer Choice and Energy Demand: Empirical Policy Evaluations","Q4",9,4
"63","Contraception and Abortion","J1",6,5
"64","Contract Theory","D8",7,4
"65","Contributed Papers on the Economics of Rising Health Insurance Costs, Physician Prescription Behavior, and Emergency Department Use","I1",6,3
"66","Corporate Finance and Product Markets","G3",11,4
"67","Corporate Finance Theory","G3",5,3
"68","Corporate Governance (Empirical)","G3",5,3
"69","Corporate Governance, Product Market Competition and Acquisitions","G3",11,4
"70","Corporate Investments and Liquidations","G3",11,4
"71","Corruption","O1",7,4
"72","Covenants, Leverage and Banks","G2",11,4
"73","Credit and Bankruptcy","G3",8,4
"74","Credit Relationships and Constraints","G2",11,4
"75","CSMGEP Dissertation Session","",6,6
"76","Culture, Institutions, and Historical Persistence","Z1",5,3
"77","Current Research on the Rate Of Profit","P1",8,4
"78","David Gordon Memorial Lecture","N1",1,1
"79","Deception and Persuasion","D7",6,4
"80","Deception, Self-Deception and Incentives","D6",7,4
"81","Default Risk and Aggregate Fluctuations","E3",7,4
"82","Deindustrialization and Financialization 1970-2012","L6",7,4
"83","Demand Systems and Imperfect Competition","D4",12,4
"84","Departures from Rationality","G1",7,3
"85","Determinants of Time Preferences","D9",8,4
"86","Developments in Health and Insurance","I1",9,4
"87","Developments in Health and Population Economics","I1",7,4
"88","Differentiation and Change in Low-wage Labor Markets","J5",4,3
"89","Dignity, Status, and Social Exchange","D6",5,5
"90","Dividends, Repurchases, and Private Placements","G3",11,4
"91","Dynamic Games","C7",6,3
"92","Early Effects of the 2010 Affordable Care Act","I1",9,3
"93","Econometrics","C1",13,5
"94","Econometrics of Derivatives Markets","C5",6,4
"95","Economic Analysis of Environmental Policy","Q5",8,4
"96","Economic Analysis of Subjective Well-being","D6",8,3
"97","Economic Development","O1",17,5
"98","Economic History","N0",10,5
"99","Economics and Well-Being","D6",12,4
"100","Economics of Management and Organizations","L1",9,4
"101","Economics of National Security","H5",5,4
"102","Economics of the Internet","D1",8,3
"103","Ecosystems and Common-Pool Resources","Q2",9,4
"104","Effects of Education and Access to Education","I2",14,6
"105","Effects of Fiscal Policy in Deep Recessions: Simple and Hopefully Credible Empirical Evidence","H3",8,4
"106","Emerging Issues in Commodity Markets","G1",8,4
"107","Empirical Assessments of International Shock Transmission for Asia","F4",7,4
"108","Empirical Behavioral Industrial Organization","L2",12,4
"109","Empirical Methods and Estimation","G1",7,3
"110","Employment of Women, Minorities, Immigrants Session I--LERA Competitive Papers","J5",2,2
