"","session_title","session_jel_code","number_of_authors","number_of_papers"
"1","","",46,5
"2","6th Annual Economics Humor Session in Honor of Caroline Postelle Clotfelter","Y9",3,3
"3","A Woman's Touch: Women in Senior Leadership Positions","G3",8,3
"4","Academic and Market Power in Scholarly Publishing","O3",9,4
"5","Accountability, Collective Action, and Information in Economic Development","O1",11,4
"6","Advances in Energy Economics Research","Q4",6,4
"7","Advances in Macroeconometrics","C3",11,4
"8","Advances in Natural Resource Economics","Q2",9,4
"9","Advances in Open Macroeconomics","F3",11,4
"10","Advances in Strategic Human Resource Management Theory and Practice","J5",5,4
"11","AEA Awards Ceremony and Presidential Address","J1",1,1
"12","AEA/AFA Joint Luncheon - Fee Event","",1,1
"13","African Development","O1",12,6
"14","African Economic Growth and Development","O1",10,6
"15","Agency and Investment","G3",11,4
"16","Agency Conflicts and Asset Pricing","G1",8,4
"17","Agency Problems and Marketing of Real Estate","R2",9,4
"18","Aggregate Models in International Economics","F4",10,5
"19","Agriculture, Land Use and Climate","Q1",8,4
"20","Air Pollution in Developing Countries","Q5",11,4
"21","Antitrust Enforcement in Innovating Industries: ICT and Telecommunications","L9",7,4
"22","Applied Econometrics and Schooling","C1",8,3
"23","Asia and Its External Relations","F1",6,4
"24","Assessing the Welfare Impacts of Economic Integration: Evidence from the 19th and 20th Centuries","F6",9,4
"25","Assessment of Economic and Financial Knowledge: An International Perspective","A1",8,3
"26","Asset Management and Market Efficiency","G2",9,4
"27","Asset Pricing Theory","G1",5,3
"28","Asset Pricing-Theory","G1",6,4
"29","Automobiles, Fuel Markets and Energy Efficiency","Q4",10,4
"30","Banking","N2",7,3
"31","Banking and Financial Crises","G2",8,3
"32","Banking Supervision and Regulation","G2",12,4
"33","Banks, Sovereign Risk and Currency Wars","F5",7,3
"34","Barriers to Education in Developing Countries","O1",6,3
"35","Behavioral Asset Pricing","G1",7,3
"36","Behavioral Economics and Public Policy","H3",12,4
"37","Behavioral Responses to Taxation","H2",8,4
"38","Big Data and High-Dimensional Problems","C3",6,4
"39","Big Data In Macroeconomics: New Insights from Large Administrative Datasets","E6",10,3
"40","Board Composition and Firm Performance","G3",9,4
"41","Bounded Rationality and Markets","D4",7,4
"42","Bridging the Academy and Public Policy: A Session in Honor of Marcus Alexis","J1",7,4
"43","Building a Sustainable Biomedical Research Workforce","J5",6,3
"44","Business and Financial Issues in Minority Economic Development","L2",5,4
"45","Business Cycle Effects: Hours and Gender Gap","J5",4,3
"46","Capital Constraints in the Crisis: Empirical Evidence","G2",7,3
"47","Capital Controls and Macro-Prudential Policies","F4",10,4
"48","Capital Structure Theory","G3",6,3
"49","Capital Structure, Production, and Labor","G3",9,4
"50","Changes in State Right-to-Work and Prevailing Wage Laws","J3",7,3
"51","Changing Conditions of Work: Garment Industry, Casinos, Self Service","J5",4,3
"52","Charitable Giving and Tax Policy","H2",8,4
"53","Charitable Giving: Explaining Contributions","H3",13,4
"54","Chasing Alpha","G1",9,4
"55","Children","J1",7,5
"56","Children, Family Structures, and Human Capital","B5",6,4
"57","Climate","Q5",15,5
"58","Climate Change Policy after Kyoto","Q5",11,4
"59","Cognitive and Selection Biases: Implications for Interpreting and Identifying Subjective Well-Being Models","C1",10,4
"60","Cognitive Human Capital, Growth and Wealth – Perspectives of Economics and Psychology","J2",9,5
"61","Cognitive, Non-Cognitive Skills, and Contracts on Marital Outcomes","J1",7,4
"62","Commercial Real Estate","G1",11,4
"63","Commons Approach to Social Control in the 21st Century: Firms, Communities and Households as Going Concerns","B5",8,5
"64","Computational Solutions to Optimal Policy Problems","C6",11,4
"65","Consumption and Debt Response to Income Shocks","E2",11,4
"66","Contributed Papers in the Economics of Hospital Productivity, Financial Incentives, and Vertical Integration","I1",7,3
"67","Corporate Governance","G3",9,4
"68","Corporate Investment","G3",7,3
"69","Credit and Collateral","G2",13,5
"70","Credit Rating Agencies","G2",9,3
"71","Credit Ratings, Creditor Protection and Compliance","G3",13,4
"72","Credit Risk I","G1",7,3
"73","Credit Risk II","G2",14,4
"74","Crime & Corruption","K4",15,5
"75","Cross Sectional Asset Pricing","G1",11,4
"76","Cross-Sectional Variation in Average Returns and Volatilities","G1",10,4
"77","CSMGEP Dissertation Session","E0",6,4
"78","Cultural Roots of Finance","G0",6,3
"79","Data Revisions and Macroeconomic Analysis","E5",9,4
"80","David Gordon Memorial Lecture","B5",1,1
"81","Debating the Marginal Productivity Theory of Distribution","D3",4,3
"82","Decarbonizing Transportation: Implications for Alternative Fuels and Agricultural Markets","Q1",4,3
"83","Deforestation, Land-Use Change and Contracts","Q5",11,4
"84","Democratic Workplace Practices and Employee Ownership","J5",8,4
"85","Determinants and Consequences of Corporate Cash Holdings","G3",5,3
"86","Determinants of Student Achievement in High School and Undergraduate Economics and Personal Finance Classrooms","A2",7,4
"87","Developing Country Lessons for Advanced Economy Growth","F4",6,3
"88","Development Issues in Some MENA Countries","O1",7,5
"89","Discounting for the Long Run","D8",7,4
"90","Diversity in Business: International Evidence","B5",9,4
"91","Do Unions (Still) Matter?","J5",5,3
"92","Domestic Environmental Policy","Q5",7,4
"93","Dynamics of Health Insurance Choice","I1",4,3
"94","Dynamics of Medical Treatment and Decision-Making","I1",6,3
"95","Economic Development","O1",12,6
"96","Economic Growth and Development","E2",7,4
"97","Economic Impacts of Natural Disasters","Q5",9,4
"98","Economics Education in the Digital Age: The Implications of Online Technologies and MOOCs","A1",8,4
"99","Economics of Charitable Giving and Volunteering","H4",9,4
"100","Economics of Commodity Markets","G1",9,4
"101","Economics of Crime","K4",12,4
"102","Economics of Digital Advertising","M3",8,4
"103","Economics of Intergenerational Transfers and Wealth","J1",12,4
"104","Economics of Revolutions","D7",10,4
"105","Economics of the Internet and Mobile Computing","L1",7,3
"106","Economics of Time Outside the Workplace","J2",1,1
"107","Education Policy in Developing Countries","I2",10,4
"108","Education, Health and Labor Market Outcomes: Comparative Evidence from Natural Experiments","I2",9,4
"109","Education, Human Capital and Gender (J16)","",9,4
"110","Effects of Public Policy Changes","H4",8,4
"111","Effects on Preferences Regarding Risk & Ambiguity","D8",15,6
"112","Empirical Models for Policy Evaluation","H3",7,4
"113","Empirical Studies in International Trade","F1",12,5
"114","Empirical Studies of Contracts","D8",12,4
"115","Employer Search and Hiring in Organizations","D2",8,4
"116","Employment Policies for the Modern Era: Understanding Who Has Access to Policies on Care and How they Affect Employment","J5",9,3
"117","Employment Structure and Inequality","J2",8,4
"118","Enabling Myths as Social Control","B5",5,5
"119","Energy in the Developing World","Q4",6,3
"120","Energy, Environment, and Local Economic Spillovers","Q4",11,4
"121","Enterprising America: Businesses, Banks, and Credit Markets in Historical Perspective","N2",4,3
"122","Entrepreneurship, Innovation, and Management","L2",14,4
"123","Estimation of Education Models","J1",11,4
"124","Estimation of Industrial Organization Models","L2",11,5
"125","Estimation of Models of Wage Determination and Wage Dynamics","J3",6,4
"126","European Banking and Monetary Transmission","G2",12,4
"127","European Economic Association Lecture","",1,1
"128","Eurozone Crisis","E3",5,5
"129","Evaluating Health Insurance Reform","H5",10,4
"130","Evaluation of Social Programs","H4",12,5
"131","Exchange Rate Developments and Labor Markets: What do the Theory and the Data Tell Us?","F4",9,4
"132","Exchange Rates and Fundamentals","F4",10,4
"133","Experiments in Economic Development","C9",9,3
"134","Experiments in Economics: Historical and Methodological Perspectives","B2",3,3
"135","Experiments with Small Enterprises","O1",9,3
"136","Explaining Commodity Price Fluctuations","Q4",7,4
"137","Exploration of New and Existing Data for the Chinese Economy: Food, Health, and Economic Well Being","O5",13,4
"138","Exploration of New and Existing Macro Data for the Chinese Economy","E2",4,4
"139","Externalities and the Power of Perceptions for Cash Transfer Programs","D1",6,4
"140","Faith-Based Institutions, Education and Choices","L3",8,4
"141","Fertility Decisions","J1",12,6
"142","Field Experiments in Tax Compliance","H2",16,4
"143","Finance and Asset Markets","G1",13,5
"144","Finance and Development/ International Finance","G2",10,4
"145","Financial Analysts","G1",10,4
"146","Financial and Labor Market Frictions","E3",8,5
"147","Financial Crises and Their Resolution in the History of Economic Thought","E5",4,4
"148","Financial Decision-Making and the Household Balance Sheet","G2",13,4
"149","Financial Distress and Corporate Bankruptcy","G3",9,4
"150","Financial Frictions and the Macroeconomy","E5",8,4
"151","Financial Frictions, Business Cycles and Investment Dynamics","E2",10,4
"152","Financial Intermediation and Bank Risk Taking","G2",8,4
"153","Financial Markets, Institutions and Regulations","G1",13,5
"154","Financial Regulation and Information","G1",8,4
"155","Financial Stability and Cross-Border Capital Flows During the Great Recession","F3",9,4
"156","Firm Behavior, Standards, and the Provision of Energy Efficiency","Q4",8,4
"157","Firms, Finance and Global Recessions","F4",12,3
"158","Firms, Uncertainty and the Business Cycle","E3",9,5
"159","Fiscal and Debt Policies for the Future","B5",8,5
"160","Fiscal Policy, Financial Policy & Default","F3",10,4
"161","Fixing Jobs, Activities and Value: Policy Challenges in a More Open World","J5",4,4
"162","Food Price Shocks, Health and Minority Groups","O1",14,4
