author,author-corrected,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,,,,,
ALBERT ANDO,Albert Ando,Male,,,,,,,,,,
ALEXANDER MICHAELIDES,Alexander Michaelides,Male,,,,,,,,,,
GUGLIELMO WEBER,Guglielmo Weber,Male,,,,,,,,,,
STEFAN HOCHGUERTEL,Stefan Hochguertel,Male,,,,,,,,,,
ROB ALESSIE,Rob Alessie,Male,,,,,,,,,,
AMIR YARON,Amir Yaron,Male,,,,,,,,,,
KJETIL STORESLETTEN,Kjetil Storesletten,Male,,,,,,,,,,
CHRIS TELMER,Chris Telmer,Male,,,,,,,,,,
DIRK KRUEGER,Dirk Krueger,Male,,,,,,,,,,
JESÚS FERNÁNDEZ-VILLAVERDE,JesÅs FernÁndez-Villaverde,Male,JESUS FERNADEZ-VILLAVERDE,JESUS FERNANDEZ VILLAVERDE,JESUS VILLAVERDE,JESUS FERNANDEZ-VILLAVERDE,Jesús Fernández-Villaverde,,,,,
CAROL BERTAUT,Carol Bertaut,Female,,,,,,,,,,
MICHAEL HALIASSOS,Michael Haliassos,Male,,,,,,,,,,
MARK HUGGETT,Mark Huggett,Male,,,,,,,,,,
GUSTAVO VENTURA,Gustavo Ventura,Male,,,,,,,,,,
VINCENZO QUADRINI,Vincenzo Quadrini,Male,,,,,,,,,,
MICO MRKAIC,Mico Mrkaic,Male,,,,,,,,,,
MARCO CAGETTI,Marco Cagetti,Male,,,,,,,,,,
MARIACRISTINA DE NARDI,Mariacristina De Nardi,Female,,,,,,,,,,
SULE ALAN,Sule Alan,Female,,,,,,,,,,
MARTIN BROWNING,Martin Browning,Male,,,,,,,,,,
JEREMY TOBACMAN,Jeremy Tobacman,Male,,,,,,,,,,
ANDREA REPETTO,Andrea Repetto,Female,,,,,,,,,,
MUHAMMET FATIH GUVENEN,Muhammet Fatih Guvenen,Male,MUHAMMET FAITH GUVENEN,M. FATIH GUVENEN,FAITH GUVENEN,FATIH GUVENEN,,,,,,
NICHOLAS SOULELES,Nicholas Souleles,Male,,,,,,,,,,
JOHN JONES,John Jones,Male,,,,,,,,,,
ERIC FRENCH,Eric French,Male,,,,,,,,,,
LUIGI PISTAFERRI,Luigi Pistaferri,Male,,,,,,,,,,
GIUSEPPE BERTOLA,Giuseppe Bertola,Male,,,,,,,,,,
LUIGI GUISO,Luigi Guiso,Male,,,,,,,,,,
ARIE KAPTEYN,Arie Kapteyn,Male,,,,,,,,,,
CHRISTINA PAXSON,Christina Paxson,Female,,,,,,,,,,
DOUG MILLER,Doug Miller,Male,,,,,,,,,,
JEROME BOURDIEU,Jerome Bourdieu,Male,,,,,,,,,,
GILLES POSTEL-VINAY,Gilles Postel-Vinay,Male,,,,,,,,,,
AKIKO SUWA-EISENMANN,Akiko Suwa-Eisenmann,Female,,,,,,,,,,
ANTHONY WEBB,Anthony Webb,Male,,,,,,,,,,
JULIA CORONADO,Julia Coronado,Female,,,,,,,,,,
MARIA PEROZEK,Maria Perozek,Female,,,,,,,,,,
