"","session_title","session_jel_code","number_of_authors"
"1","50 Years of the Journal of Economic Education","A2",7
"2","Accounting for Earnings Capacity and Worklife Expectancy","K1, J2",7
"3","Accounting for Gender Differential Outcomes","J1, J2",9
"4","Active and Passive Investors","G3",11
"5","Adjusting to Globalization: The Americas Perspective","F6",14
"6","Advances in Dynamic Mechanism Design","D8, C7",7
"7","Advances in Micro-Econometrics","C1, C4",11
"8","Advances in Modeling Human Capital and Education","J2, I2",8
"9","AEA Committee on Economic Education Poster Session","A2",35
"10","AFA Ph.D. Student Poster Session","G0",158
"11","Affordable Care Act Issues in the Trump Era","I0, I1",9
"12","Affordable Housing","R1, R3",10
"13","Agency Problems","R3, D8",11
"14","Aging, Cognitive Ability and Financial Literacy","D1, J1",8
"15","Agricultural Insurance in Developing and Emerging Economics: Demand, Impacts, and Future Prospects","F0",6
"16","Analysts, News, Media and Market Sentiment","G1",7
"17","Application of Behavioral Economics to Asia","D9, O5",8
"18","Applications of Auctions and Negotiations","D4, L1",9
"19","Applications of Machine Learning in Microeconomics for Public Policy","C1",12
"20","Applied Machine Learning","C2",7
"21","Applying Regulation, Medication and Big Data to the Opioid Crisis","I1, I0",5
"22","Are Men and Women Different Economic Agents?","J1, J7",10
"23","Artificial Intelligence, Data Science and Economics at the Crossroads","C8, A1",11
"24","Assessing the Globalization Backlash","F1, F6",15
"25","Asset Markets and Financial Crises in Historical Perspective","N1, N2",7
"26","Asset Pricing","G1",13
"27","Asset Pricing and Volatility","C2, C5",8
"28","Asset Pricing Anomalies","G1",6
"29","Asset Pricing: Implications of Financial Constraints","G1",9
"30","Asset Pricing: Stock Markets","G1",7
"31","Auctions","D4",9
"32","Auctions & Mechanism Design","D4, D8",5
"33","Authoritarianism and the Media","P5, H0",10
"34","Automation, Jobs, and Productivity: Aggregate and Micro Evidence","O3, J2",12
"35","Bailouts, Bail-ins and Resolution","G1",11
"36","Bank Lending and Asset Holding","G2",15
"37","Bank Lending and Cross-border Flows","G2, F3",13
"38","Bank Lending and Firm Financing","G2",12
"39","Banking Regulation","G2, G1",7
"40","Banking Regulation in the Macroeconomy","G2, E3",10
"41","Barriers to Boardrooms","G0",10
"42","Bayesian and Likelihood Methods","C1, C5",10
"43","Behavioral Corporate Finance","G3",11
"44","Behavioral Hedonics: New Insights for Environmental Valuation","Q5, R3",8
"45","Big Data in Spatial Economics","F1, R1",17
"46","Big Data in the Modern Economy","O4, L1",15
"47","Big Data, Consumer Behavior, Energy and Climate Change","Q4, C5",15
"48","Black Women and Work","B5, J1",6
"49","Blockchain and Cryptocurrencies","G0",6
"50","Blockchain and Tokenomics","E4, G1",11
"51","Blockchain Economy and Cryptocurrency Markets","O3, G1",7
"52","Borrower Behavior, and Mortgage Losses","G2, R3",8
"53","Bringing Economic Research into Public Policy Discussions","J0, H0",5
"54","Buddhist Economics","Z1",4
"55","Bunching Evidence on Responses to Taxation and Regulation","H2, H3",11
"56","Capital Flows, Currencies, and International Arbitrage","F3, F4",13
"57","Capital Requirements and Monetary Policy","G2",11
"58","Capital Structure (Leverage)","G3",8
"59","Capitalist Development in the Periphery","O1, B5",4
"60","Carrots and Coercion in Labor Mobility and Economic Development","N3",9
"61","Causes and Consequences of Rising Concentration in the United States Economy","D2, D4",8
"62","Censorship","D8, O3",9
"63","Central Banks’ Corporate Bond Purchases: Impact and Channels","E5, E4",13
"64","Challenges for Latin America","O1, B5",3
"65","Charter Schools: Replication, Selection, and Spillovers","I2, H4",11
"66","China","L5, F1",13
"67","Climate Change Adaptation","Q5, D0",7
"68","Climate Change: Impacts and Opportunities for Adaptation","Q5, I0",9
"69","Co-Operation, Conflict and Power: Households, Markets and the Policy Domain","J6, F6",7
"70","Cognitive Economics","D8, D9",10
"71","Commercial Real Estate 2","G1, R0",10
"72","Commercial Real Estate I","R3, G1",9
"73","Common-Pool Resources","Q5, Q2",9
"74","Conceptualizing Labor","J0, J1",5
"75","Conflict and Governance","D7",6
"76","Consumer Finance:  Demand, Public Policy, and Market Equilibrium","D1, G2",12
"77","Consumption and Space","R2, F0",12
"78","Contracts and Complexity","G3",7
"79","Contracts and Incentives","G3",12
"80","Contributed Papers in Health Economics","I1, I0",6
"81","Cooperation, for Good or Ill","Z1",8
"82","Coordination in Social and Political Environments","D7, C7",6
"83","Corporate Bonds and Derivatives","G1",7
"84","Corporate Borrowing","G3",10
"85","Corporate Culture","G3",15
"86","Corporate Governance: Creditor and Shareholder Monitoring","G3",11
"87","Credit Markets","E3",10
"88","Credit: Empirical Macroeconomic Implications","E2, G2",8
"89","Crime and Development","O1, J2",4
"90","Cronyism, Corruption and Growth","O4, P0",9
"91","Cross-Sectional Asset Pricing","G1, C5",5
"92","Crypto-currency Markets","G1",11
"93","CSMGEP Dissertation Session","I0, J0",5
"94","Cultural Practices and Women's Lives","J1, J7",7
"95","Cycles","O1, E3",9
"96","Debt Management and Optimal Taxation","E6, H6",11
"97","Decision Making:  The More You Know…","A2",9
"98","Decision-Making on Behalf of Others","D9, D7",8
"99","Default and Foreclosure","G0, E5",10
"100","Demand for Labor","J2",12
"101","Density, Spillovers and Amenities","G1, R1",10
"102","Derivatives","G1",7
"103","Determinants of Academic Persistence and Success","I2",12
"104","Determinants of Children's Health","I1",12
"105","Development and Financial History","N3, N2",7
"106","Different Perspectives on Time Use: Nature, Norms, Crisis and Policy","J3, F6",3
"107","Disclosure, Regulation, and Banking","G2",8
"108","Discrimination in Health Care","I1, J1",5
"109","Distributional Diversity in the National Accounts","E6, D3",7
"110","Dynamic Behavioral Theory","D9, D8",10
"111","Dysfunction in the Real Estate Market","R3, D4",12
"112","Earnings Dynamics in the United States: Trends and Reconciliation","J3, C5",10
"113","Econometric Methods for Endogenous Networks","C4, C1",9
"114","Econometrics of Network and Panel data","C2, D8",5
"115","Econometrics of Policy Evaluation","C2",8
"116","Economic Consequences of Dominant Currencies","F0",9
"117","Economic Effects of Fiscal Shocks","E6, H3",12
"118","Economic Inequality and Air Pollution","Q5",8
"119","Economic Issues Involving Race","J1",12
"120","Economic Perspectives on Potential Future Developments of the EU Emissions Trading Scheme: Multilateral Linkages, Price Floors, and Use of Auction Revenues","Q5, H2",13
"121","Economic Policy and Vulnerable Populations","J6, O1",12
"122","Economic Trade and Development","F1, F5",6
"123","Economics and Engineering: Institutions, Practices and Cultures","B2, B1",4
"124","Economics of Altruism: Evidence from the Field","H4",9
"125","Economics of Conflict","C7, F5",9
"126","Economics of Crime","K4",12
"127","Economics of Data","D4, L1",8
"128","Economics of Fertility","J1",9
"129","Economics of Financial Technology","E5, G2",5
"130","Economics of National Security","H5, F5",9
"131","Economics of Networks","E1, D2",5
"132","Economics of SNAP Using Administrative Data","D0, I0",11
"133","Economics of the Pharmaceutical Industry: Current Issues","I1, I1",8
"134","Economics of Transportation II","L9, L9",11
"135","Economics with Ancient Data","N7, O4",17
"136","Electricity Markets","Q4, Q5",5
"137","Electricity Markets and the Environment","Q4, Q5",7
"138","Empirical Compensation and Incentives","G3",9
"139","Empirical Studies of Bank Regulation and Bank Market Structure","G2",10
"140","Empirical Studies of Collusion","L1, L4",12
"141","Empirical Studies of Growth and Distribution","O1, E6",4
"142","Energy and Macroeconomics","E2, Q4",6
"143","Energy Economics","Q4",10
"144","Entrepreneurial Finance/Venture Capital","G2",16
"145","Environment and Health","Q5, I1",10
"146","Environmental Externalities and Agriculture","Q5, Q1",7
"147","Environmental Risk, Justice, and Amenities in Housing Markets","Q5, R3",8
"148","Environmental Taxes and Subsidies","Q5, H2",8
"149","Ethics in Agricultural and Applied Economics Research","Y9",4
"150","Evictions and Housing Stability","I3, R3",8
"151","Exchange Rate Determination","F3",9
"152","Exchange Rates","G1",10
"153","Exchange Rates and Capital Flows","F3, F4",6
"154","Expectations and the Real Estate Boom and Bust of the Late 2000s","E3, G0",12
"155","Expectations in Household Finance","G2",12
"156","Experimentation: Product Adoption, Bargaining and Asymmetric Information","D8, L2",7
"157","Experiments on Financial Markets","C6, C9",4
"158","Explaining the Decline in Labor Force Participation in the United States","J2",8
"159","Explorations in Christian Thought and Economic Analysis","B4, B5",4
"160","Exploring Mechanisms Underlying the Gender Gap: Promotion, Perceptions, and Professional Networks","Z0",6
"161","Field Experiments","O1",8
"162","Finance and Development","G3",10
"163","Finance and Politics","P0, G2",10
"164","Finance and Resource Allocation over Space and Time","G1",9
"165","Financial Advisors and Financial Advice","G2",7
"166","Financial Constraints, Interest Rates and Productivity Growth","O4, E5",12
"167","Financial Crises and Transmission of Shocks","G2",7
"168","Financial Development","O1, F3",15
"169","Financial Distress and Resolution","G3, K2",15
"170","Financial Fragility, Secular Stagnation, and Income Distribution","E2, D3",8
"171","Financial Imbalances, Fragilities and Policy Solutions","F3, F4",4
"172","Financial Innovation in Developing Countries: How Novel Savings and Loan Products Relax Liquidity Constraints and Improve Welfare","O1, G2",12
"173","Financial Instability and the Macroeconomy","E3, G1",14
"174","Financial Institutions","G1",8
"175","Financial Intermediation","G2, G1",10
"176","Financial Literacy and Choices","A2",6
"177","Financial Stability","E5, G2",7
"178","Financialized Economy, Imbalances, and Public Action in the Age of Uncertainty and Systemic Crises","B5, E0",7
"179","FinTech Applications in Credit and Asset Markets","G0",12
"180","Firm Responses to International Taxation","H3, F3",6
"181","Firms, Markets and Quality Provision in Developing Countries","L1, O1",12
"182","Fiscal Policy: Combining Micro Data and Macro Models","E6, H3",14
"183","Fixed Income and Credit Risk","G1",13
"184","Food Markets and Nutrition","I1",15
"185","Foreign Investment, Technology Transfer, and Firm Reorganization","F2, F1",14
"186","Forestry and Agriculture","Q2, Q1",8
"187","Foundations of Belief Formation: Perceptional and Cognitive Biases, Emotional Coloring, and the Role of Memory","D8, E7",11
"188","Gender and Development","J7, O1",10
"189","Gender and Employment in Africa","F1, J1",15
"190","Gender and Identity in Developing Economies","J1",7
"191","Gender Differences","J1",9
"192","Gender Differences and Economic Outcomes","J1",11
"193","Gender Differences in Skills and Effects on Educational and Labor Market Outcomes","J1, I2",11
"194","Gender Gaps","J1",10
"195","Gender in the Economics Profession I","J1, J7",11
"196","Gender in the Economics Profession II","J1, J7",6
"197","Gender Inequalities and Economic Processes","Z1, I3",10
"198","Gender Inequality and Policy","I3, Z1",6
"199","Gender Inequality: Sources and Solutions","J1, H3",7
"200","Gentrification","C1, R0",8
"201","Geography and Market Outcomes","L1, L2",10
"202","Getting From High School Through College: Policies to Raise Educational Attainment","I2, J0",11
"203","Globalization and Intellectual Property","F0, O3",15
"204","Growth Efficiency & Finance","O1, Y9",12
"205","Health Care Response to Prices and Reimbursement Policies","I1, H4",6
"206","Health Economics: Theory, Econometrics, and Data","I1, L1",14
"207","Health, Development and Behavior","I1",8
"208","Healthcare and Household Finance","I1, D8",10
"209","Hedge Funds","G1",9
"210","Heterogeneity and Aggregate Dynamics: Lessons from the Micro Data","E3",6
"211","Heterogeneous Firms and Credit Risk","E2, G1",10
"212","High-frequency Data and Real Economic Activity","E2, F4",16
"213","Historical Perspective on Cities, Institutions and Economic Activity","O4, N2",13
"214","History of Women's Economic Thought","B1, B2",8
"215","House Prices, Mortgages, and Monetary Policy","E5, G1",11
"216","Household Behavior and Public Policy","R2, H2",6
"217","Household Finance","G4, G2",15
"218","Households and Portfolio Choice","G1",11
"219","Housing, House Prices, and Airbnb","L2, R3",10
"220","How Networks Impact Stock Returns","G1",10
"221","How Racist Ideology Shapes Economic Outcomes","J1, H1",4
"222","Human Capital and Careers in Organizations: Theory and Evidence","M5",11
"223","Human Capital in Lower and Middle Income Countries","O1, I1",6
"224","Hysteresis in the Labor Market","E2, J2",8
"225","Identification and Estimation of Production Functions","C1, C5",10
"226","Identification and Inference in Limited Attention Models","C4, D9",13
"227","Impact of Health System Reforms","I1, P4",12
"228","Impacts of Family-Friendly Workplace Policies","J2, K2",10
"229","Improving Selection of Job Applicants: Harnessing Resume, Interview and Recommender Signals for K12 Teaching","M1",13
"230","Income and Wealth Distribution in Macroeconomics","E2, D3",14
"231","Income, Wealth and Inequality","E2",8
"232","Individual and Social Decisions","D8, D7",9
"233","Inequality, Poverty and Financial Inclusion in the Middle East and North Africa","I3, O1",7
"234","Inflation Expectations and Economic Decisions","E3, E7",9
"235","Information Aggregation in Markets, Elections and the Media","C7, D7",8
"236","Information and Competition in Banking","G2",9
"237","Information and Disclosure","G3",9
"238","Information and Trading in Financial Markets","G1",10
"239","Information Frictions and Asset Prices","G1",7
"240","Innovation and Competition in Drug Development","O3, L1",10
"241","Innovation and Inequality: The Role of Firms","J0, O0",8
"242","Innovative Approaches to Measuring Trends in Domestic and Global Output and Trade","E0, F0",8
"243","Insiders and Incentives","G3",8
"244","Institutional Persistence and Change","P5, O1",9
"245","Intentional and Unintentional Effects of Safety Net Programs","I3, H2",12
"246","Interest Rates and International Monetary Policy","F3",9
"247","International and Distributional Impact of Nonconventional Monetary Policy Measures","E5, G2",16
"248","International Business Cycles","F4, E3",6
"249","International Finance","G1",9
"250","International Trade","F1, F4",13
"251","Intra-household Allocations: Advances in Identification and Recent Applications","D1, I3",11
"252","Intra-household Production and Exchange","J1, D1",6
"253","Investments in Children with Disabilities and Behavioral Issues","I2, I1",14
"254","Investor Psychology","G1",7
"255","Investors and Firm Market Power: Does the Source of Capital Matter?","G3",8
"256","Is it Labor Supply or Labor Demand?","J2",8
"257","Job-to-Job Transitions, Labor Force Participation, and the Output Gap","E2, E3",12
"258","Journal of Business and Economic Statistics Invited Session","C5, D4",1
"259","Keynesianism: Its Rise, Fall, and Transformation in Europe and North America","B2, B3",4
"260","Labor and Investment","G3",9
"261","Labor Market Dynamics","E2, E3",10
"262","Labor Market in China","J6",5
"263","Labor Markets and the Macroeconomy","E2",8
"264","Labor Markets, Discrimination and the Academy","J7, I2",12
"265","Labor Migration, Microcredit and Economic Development Issues in South Asia","O1, J2",11
"266","Learning and Information Aggregation with Misspecified Models","C7, D8",9
"267","Lifecycle Impacts of Early Childhood Healthcare","I1",8
"268","Linking Farms, Firms and Consumers in LDCs to GVC","F1, O1",8
"269","Liquidity Provision","G3, E5",11
"270","Machine Learning","R3, R2",10
"271","Machine Learning and Shrinkage Estimation","C2, C5",9
"272","Macro Finance","G0",8
"273","Macro-Finance: Collateral and Currency Markets","F4, E5",10
"274","Macroeconomic and Development Policy in a Financially Globalized Economy: Current and Historical Perspectives","F3, O1",5
"275","Macroeconomic Implications of Debt Contracts","E2, G0",7
"276","Macroeconomics and Consumer Surveys","E2, D8",12
"277","Macroeconomics and Heterogeneity","E3, E2",13
"278","Macroeconomics and Housing","E0, R0",11
"279","Macroprudential Policy and Financial Stability","G2",7
"280","Making Sense of Tax Reform","H2, R3",5
"281","Market as Metaphor","Z1",5
"282","Market Design for Online Platforms","D4",13
"283","Market Forces for Nonprofits: Theory and Evidence","H4",8
"284","Market Mispricing: Extrapolation, Speculation, and Disclosure","G1",11
"285","Market Power and Firm Strategies in Health Insurance","I1, L1",9
"286","Market Risk Factors","G1",11
"287","Market Structure and the Environment","Q5, L5",8
"288","Markups, Consumption and Market Concentration","E3, D4",11
"289","Markups, Firm Performance and International Trade","F1, L1",10
"290","Matching Markets - Behavioral Issues and New Theoretical Approaches","D4, D9",8
"291","Measurement of Core Variables in Banking","G0, E3",9
"292","Measuring Gains from International Migration","F2, O1",10
"293","Mechanisms and Markets","D4, G2",10
"294","Media Coverage, Alternative Facts, War and Cyberwarfare","F5, H8",19
"295","Medical Treatment Effects","I0",11
"296","Mergers and Acquisitions","G3",14
"297","Methodological Advances in IO","L0, C5",13
"298","Methodological Issues in Behavioral Economics","B4",4
"299","Methodology in Heterodox Economics","B4, B5",9
"300","Micro Theory","D0",7
"301","Migrants, Terror, War and Well-Being","F5, I1",6
"302","Mispricing","G1",12
"303","Models of Politics","H0, D8",4
"304","Monetary Policy Frameworks and the Zero Lower Bound","E5",6
"305","Monetary Policy, Term Premia, and Macro Volatility","E3, C5",9
"306","Money, Credit, and Corporate Finance in Emerging Economies","F3, E4",15
"307","Monitoring by Shareholders and Directors","G3",14
"308","Mortgage Crisis","R1, R3",10
"309","Mortgage Default","G1, D8",8
"310","Mortgages","G0",8
"311","Mortgages and Monetary Policy Transmission","G2, E5",9
"312","Multi-dimensional Spatio-temporal and Network Modelling","C1, C3",10
"313","Mutual Fund Flows","G1",7
"314","Mutual Funds and Beyond","G1",9
"315","Myopia, Inattention, and Bounded Rationality","E7, E0",7
"316","NAFTA Revisited-Moving Forward","F1",5
"317","National and International Dimensions of Subjective Well-Being","I3, D6",11
"318","Neoliberalism and Protective Responses: Populist and Nationalist Insurgencies","B5, D7",6
"319","Networks","D8",10
"320","Networks, Markets, and Economic Performance","N5, N7",5
"321","Networks: Learning, Cooperation and Community Norms","D8, D0",6
"322","Neuroeconomics","G4, D9",7
"323","New Advances in Matching with Contracts","D4, C7",13
"324","New Data and New Facts for the Global Economy","F6",10
"325","New Methods for the Cross Section of Expected Returns","G1",11
"326","New Models of Search and Labor Market Institutions","J3, E2",8
"327","New Perspectives on Risk","G1",11
"328","New Research on Participation and Employee Ownership: International Evidence","M5",10
"329","News, Strategic Advertising and Corporate Finance","G3, K4",7
"330","Non-Bank Lending Behavior","G2",13
"331","Nonparametric and Machine Learning Approaches to Demand Estimation for Differentiated Products","C3, L1",11
"332","Nonstandard Inference Methods","C2, C5",10
"333","Occupations and Job Polarization","J2",8
"334","Omicron Delta Epsilon Chapter Advisor's Session","A1, A1",5
"335","Omicron Delta Epsilon Graduate Student Session","A1",5
"336","Origin and Evolution of Preferences","A1",21
"337","Payout","G3",6
"338","Peer Effects","I2",9
"339","People Helping People: Time as a Unique Input into Well Being","I0, C7",10
"340","Personalizing Health Care: Using Economics to Target Treatments","I1, L1",6
"341","Pink Papers 2: LGB Discrimination in Housing, Education, and Labor Markets","I2, J1",11
"342","Pink Papers: The Economics of Same-Sex Marriage","J1, J2",9
"343","Policies to Increase Employment Security: Federal Jobs Guarantee, Wage Subsidies and Beyond","J1",14
"344","Policy and Regulatory Issues","G3",5
"345","Policy Issues","R1, R5",9
"346","Political Selection and Intra-Party Conflicts in China","P2, H1",10
"347","Politics, and Bubbles","R1, D9",13
"348","Politics, Race and the Economy","D7, J1",6
"349","Pollination Economics: The Supply of Honey and Pollination Services in the Face of Pollinator Decline","Q0",9
"350","Poster Session for ACES","P2, P1",44
"351","Postsecondary Education and Labor Market","I2, J6",7
"352","Practical Considerations in Deploying Matching Mechanisms","D4, I2",10
"353","Preparing Undergraduates for Application to Graduate School","A2",4
"354","Private Equity and Firm Performance","D2, J3",13
"355","Productivity, Technical Change, and Public Policies","O3, O4",13
"356","Promoting Household Wellbeing: Markets or Public Policies?","D1, B5",6
"357","Public Finance and Development","H3, O1",9
"358","Public Finance Lessons from Past National Tax Association Dissertation Award Winners","H0, H2",8
"359","Public Policy in the Telecommunications Industries","L5, L8",13
"360","Public Utilities II","L9, O3",11
"361","Pure Mind, Applied Vision, and Social Conscience: Revisiting the Economics of Léon Walras","B1, B2",5
"362","Putting the ""Ec"" in Tech: Economics at Tech Firms","L1, D2",10
"363","R&D Spillovers and Innovation Policy","O3, H2",12
"364","R&D, Patents, and the Future of Innovation","G3",6
"365","Race and Policing","K4, J1",12
"366","Race, Immigration, Gender: Advances in Heterodox Methodology","B5",3
"367","Race, Inequality, and Criminal Justice Policy","J1, K4",8
"368","Rational Inattention and Beyond","E7, D8",8
"369","Real Effects of Lending Arrangements","G2, E2",14
"370","Real World and Model-Based Lessons from Beverage Tax Policy Designs Across the Globe","I1, H2",14
